app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-0,9,145.283,24.344,1307.5469999999998,219.096
expt-app-40,5,1249.702,1170.156,6248.51,5850.78
expt-app-54,3,1392.442,1387.455,4177.326,4162.365
expt-app-77,9,149.728,14.237,1347.5520000000001,128.133
expt-app-61,8,277.743,210.833,2221.944,1686.664
expt-app-11,6,674.497,530.025,4046.982,3180.1499999999996
expt-app-86,9,130.924,52.094,1178.316,468.846
expt-app-82,9,155.11700000000002,34.55,1396.053,310.95
expt-app-51,8,88.339,13.28,706.712,106.24
expt-app-79,7,146.557,93.832,1025.899,656.824
expt-app-41,6,785.169,679.695,4711.014,4078.17
expt-app-56,8,210.215,65.829,1681.72,526.632
expt-app-4,9,747.389,743.143,6726.501,6688.287
expt-app-42,5,760.126,692.761,3800.63,3463.805
expt-app-39,7,274.228,153.446,1919.596,1074.122
expt-app-15,8,121.194,60.14,969.552,481.12
expt-app-44,5,1097.3500000000001,962.026,5486.750000000001,4810.13
expt-app-72,5,901.261,771.618,4506.305,3858.09
expt-app-23,6,772.269,759.094,4633.614,4554.564
expt-app-6,10,199.488,129.884,1994.88,1298.84
expt-app-1,8,274.00600000000003,137.382,2192.0480000000002,1099.056
expt-app-83,4,1125.372,989.389,4501.488,3957.556
expt-app-35,7,762.257,682.951,5335.799,4780.657
expt-app-19,5,1210.4470000000001,1068.412,6052.235000000001,5342.06
expt-app-25,6,655.01,505.899,3930.06,3035.3940000000002
expt-app-67,9,175.133,62.114,1576.1970000000001,559.026
expt-app-96,8,299.006,232.124,2392.048,1856.992
expt-app-78,7,261.259,181.978,1828.813,1273.846
expt-app-29,6,314.93399999999997,203.233,1889.6039999999998,1219.3980000000001
expt-app-43,7,483.111,478.184,3381.777,3347.288
expt-app-68,8,647.039,512.125,5176.312,4097.0
expt-app-87,10,93.178,26.888,931.78,268.88
expt-app-21,5,678.728,619.757,3393.64,3098.785
expt-app-63,6,268.286,201.139,1609.716,1206.834
expt-app-88,6,698.834,623.986,4193.004,3743.916
expt-app-49,9,241.734,237.564,2175.606,2138.076
expt-app-22,9,201.927,113.389,1817.3429999999998,1020.501
expt-app-50,8,209.62900000000002,203.565,1677.0320000000002,1628.52
expt-app-73,10,258.445,116.171,2584.45,1161.71
expt-app-16,7,290.08299999999997,216.996,2030.5809999999997,1518.972
expt-app-13,9,153.778,18.274,1384.002,164.466
expt-app-97,5,646.7349999999999,525.091,3233.6749999999993,2625.455
expt-app-81,6,452.158,373.584,2712.9480000000003,2241.504
expt-app-89,8,224.892,75.934,1799.136,607.472
expt-app-53,7,392.007,286.805,2744.049,2007.635
expt-app-38,5,784.675,635.759,3923.375,3178.795
expt-app-90,7,254.62800000000001,188.0,1782.3960000000002,1316.0
expt-app-37,9,379.527,259.087,3415.743,2331.783
expt-app-45,6,552.705,403.845,3316.2300000000005,2423.07
expt-app-8,9,208.22299999999998,141.54,1874.0069999999998,1273.86
expt-app-36,9,542.59,393.644,4883.31,3542.7960000000003
expt-app-3,9,172.787,63.37,1555.083,570.3299999999999
expt-app-57,2,2327.2659999999996,2213.12,4654.531999999999,4426.24
expt-app-84,9,415.98,329.018,3743.82,2961.162
expt-app-91,7,690.9159999999999,555.799,4836.411999999999,3890.593
expt-app-17,4,973.1220000000001,837.193,3892.4880000000003,3348.772
expt-app-71,10,270.34999999999997,260.346,2703.4999999999995,2603.46
expt-app-93,6,617.873,565.443,3707.2380000000003,3392.658
