app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-71,10,259.414,253.961,2594.14,2539.61
expt-app-3,9,170.68800000000002,65.531,1536.1920000000002,589.779
expt-app-79,7,155.404,92.479,1087.828,647.353
expt-app-63,6,266.60200000000003,200.058,1599.612,1200.348
expt-app-57,2,2280.793,2175.045,4561.586,4350.09
expt-app-38,5,862.3960000000001,713.039,4311.9800000000005,3565.1949999999997
expt-app-91,7,671.25,535.191,4698.75,3746.3370000000004
expt-app-53,7,393.783,288.479,2756.481,2019.3529999999998
expt-app-0,9,153.089,24.422,1377.801,219.798
expt-app-43,7,419.06100000000004,413.761,2933.427,2896.327
expt-app-93,6,683.408,630.454,4100.448,3782.7239999999997
expt-app-45,6,559.936,402.772,3359.616,2416.632
expt-app-89,8,220.76100000000002,71.505,1766.0880000000002,572.04
expt-app-39,7,273.66499999999996,153.147,1915.6549999999997,1072.029
expt-app-77,9,148.727,13.824,1338.5430000000001,124.416
expt-app-17,4,991.853,845.392,3967.412,3381.568
expt-app-88,6,603.903,537.142,3623.418,3222.8520000000003
expt-app-35,7,771.5,681.509,5400.5,4770.563
expt-app-6,10,115.438,48.825,1154.38,488.25
expt-app-54,3,1363.0729999999999,1357.765,4089.2189999999996,4073.295
expt-app-40,5,1292.36,1204.656,6461.799999999999,6023.28
expt-app-25,6,713.14,556.52,4278.84,3339.12
expt-app-73,10,195.845,61.004,1958.45,610.04
expt-app-22,9,201.043,114.571,1809.3870000000002,1031.139
expt-app-72,5,975.101,853.792,4875.505,4268.96
expt-app-1,8,270.23999999999995,124.163,2161.9199999999996,993.304
expt-app-23,6,692.903,687.295,4157.418,4123.7699999999995
expt-app-4,9,749.8580000000001,744.499,6748.722000000001,6700.491
expt-app-84,9,447.11699999999996,368.337,4024.053,3315.033
expt-app-61,8,276.74100000000004,210.128,2213.9280000000003,1681.024
expt-app-16,7,331.611,254.592,2321.277,1782.144
expt-app-51,8,79.93,13.025,639.44,104.2
expt-app-13,9,152.013,16.669,1368.117,150.02100000000002
expt-app-8,9,207.49200000000002,140.617,1867.428,1265.5529999999999
expt-app-42,5,785.89,712.32,3929.45,3561.6000000000004
expt-app-82,9,159.502,38.211,1435.518,343.899
expt-app-50,8,207.714,203.193,1661.712,1625.544
expt-app-29,6,303.27,191.671,1819.62,1150.0259999999998
expt-app-21,5,647.856,594.803,3239.2799999999997,2974.015
expt-app-86,9,139.519,52.015,1255.671,468.135
expt-app-81,6,450.276,371.769,2701.656,2230.614
expt-app-68,8,587.202,451.422,4697.616,3611.376
expt-app-15,8,109.024,56.17,872.192,449.36
expt-app-83,4,1106.611,969.558,4426.444,3878.232
expt-app-67,9,170.66799999999998,59.386,1536.0119999999997,534.474
expt-app-41,6,794.0319999999999,688.489,4764.191999999999,4130.934
expt-app-44,5,987.602,851.381,4938.01,4256.905
expt-app-90,7,254.581,187.924,1782.067,1315.468
expt-app-97,5,652.284,524.221,3261.42,2621.105
expt-app-87,10,93.278,26.853,932.7800000000001,268.53000000000003
expt-app-36,9,577.194,418.811,5194.745999999999,3769.299
expt-app-56,8,200.67,64.925,1605.36,519.4
expt-app-19,5,1138.453,1003.116,5692.264999999999,5015.58
expt-app-11,6,594.356,458.603,3566.136,2751.618
expt-app-78,7,259.255,180.318,1814.7849999999999,1262.226
expt-app-96,8,336.296,264.736,2690.368,2117.888
expt-app-49,9,245.582,240.488,2210.238,2164.392
expt-app-37,9,331.655,201.891,2984.8949999999995,1817.019
