app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-51,8,163.72400000000002,17.445,1309.7920000000001,139.56
expt-app-82,9,145.019,23.603,1305.171,212.42700000000002
expt-app-56,8,143.333,15.068,1146.664,120.544
expt-app-89,8,142.232,75.579,1137.856,604.632
expt-app-97,5,446.666,433.817,2233.33,2169.085
expt-app-1,8,368.683,240.929,2949.464,1927.432
expt-app-22,9,183.455,172.016,1651.095,1548.144
expt-app-53,7,377.286,256.631,2641.002,1796.417
expt-app-63,6,255.90600000000003,183.302,1535.4360000000001,1099.812
expt-app-49,9,405.96999999999997,263.408,3653.7299999999996,2370.672
expt-app-87,10,78.435,16.444,784.35,164.44
expt-app-0,9,171.14499999999998,97.498,1540.3049999999998,877.4820000000001
expt-app-3,9,130.06799999999998,16.625,1170.6119999999999,149.625
expt-app-15,8,206.266,50.58,1650.128,404.64
expt-app-45,6,518.689,442.071,3112.134,2652.4260000000004
expt-app-50,8,165.708,154.553,1325.664,1236.424
expt-app-33,6,176.513,92.055,1059.078,552.33
expt-app-13,9,207.868,132.232,1870.812,1190.088
expt-app-73,10,92.70299999999999,13.977,927.0299999999999,139.77
expt-app-39,7,259.322,184.646,1815.254,1292.522
expt-app-77,9,130.28,9.446,1172.52,85.014
expt-app-86,9,113.598,26.054,1022.382,234.486
expt-app-6,10,161.124,16.895,1611.24,168.95
expt-app-67,9,93.204,19.183,838.8359999999999,172.647
