app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-59,9,123.941,19.807,1115.469,178.26299999999998
expt-app-79,3,5421.47,5300.107,16264.41,15900.321
expt-app-21,1,4384.758,4269.828,4384.758,4269.828
expt-app-26,7,1574.196,1438.622,11019.372,10070.354000000001
expt-app-8,8,115.408,49.019,923.264,392.152
expt-app-71,7,624.131,612.374,4368.9169999999995,4286.618
expt-app-57,5,3696.929,3561.291,18484.645,17806.455
expt-app-32,8,430.458,283.251,3443.664,2266.008
expt-app-77,10,169.36399999999998,20.132,1693.6399999999999,201.32000000000002
expt-app-96,6,1782.711,1778.482,10696.266,10670.892
expt-app-0,6,1101.893,1015.88,6611.358,6095.28
expt-app-99,4,2434.542,2299.734,9738.168,9198.936
expt-app-61,7,497.533,392.343,3482.731,2746.4010000000003
expt-app-73,6,2222.6180000000004,2217.601,13335.708000000002,13305.606
expt-app-43,1,2353.831,2286.958,2353.831,2286.958
expt-app-55,8,229.107,224.718,1832.856,1797.744
expt-app-7,7,746.621,742.676,5226.347,5198.732
expt-app-66,8,450.604,301.296,3604.832,2410.368
expt-app-45,8,139.44799999999998,57.895,1115.5839999999998,463.16
expt-app-35,6,3535.0519999999997,3443.189,21210.311999999998,20659.134
expt-app-15,8,238.44099999999997,226.274,1907.5279999999998,1810.192
expt-app-14,6,3971.964,3897.918,23831.784,23387.508
expt-app-74,4,3064.826,3059.633,12259.304,12238.532
expt-app-13,5,527.167,406.439,2635.835,2032.1950000000002
expt-app-18,6,3935.534,3823.857,23613.204,22943.142
expt-app-23,7,1003.0550000000001,998.377,7021.385,6988.638999999999
expt-app-34,10,223.132,156.887,2231.32,1568.87
expt-app-76,7,854.1,775.703,5978.7,5429.921
expt-app-72,5,3764.538,3685.334,18822.69,18426.67
expt-app-87,7,855.65,850.734,5989.55,5955.138
expt-app-88,10,116.008,38.052,1160.08,380.52
expt-app-1,9,316.443,204.71,2847.987,1842.39
expt-app-80,9,227.559,151.633,2048.031,1364.6970000000001
expt-app-78,10,79.46300000000001,1.108,794.6300000000001,11.080000000000002
expt-app-56,5,671.4350000000001,597.923,3357.175,2989.615
expt-app-40,10,28.648,24.486,286.48,244.86
expt-app-97,6,3617.627,3538.977,21705.762,21233.862
expt-app-11,6,680.355,675.401,4082.13,4052.406
expt-app-67,8,337.053,224.902,2696.424,1799.216
expt-app-68,5,3951.926,3872.65,19759.63,19363.25
expt-app-46,5,1015.541,880.548,5077.705,4402.74
expt-app-38,7,678.1850000000001,544.005,4747.295,3808.035
expt-app-81,6,522.6460000000001,518.55,3135.876,3111.2999999999997
expt-app-4,9,141.391,36.501,1272.519,328.50899999999996
expt-app-16,6,903.343,899.076,5420.058,5394.456
expt-app-49,9,159.552,16.74,1435.9679999999998,150.66
expt-app-64,8,90.322,23.571,722.576,188.568
expt-app-90,2,5143.943,5139.354,10287.886,10278.708
expt-app-52,5,444.03,377.806,2220.1499999999996,1889.03
expt-app-27,8,339.254,218.81,2714.032,1750.48
expt-app-65,6,3614.942,3502.725,21689.652000000002,21016.35
expt-app-54,6,2181.7760000000003,2032.463,13090.656000000003,12194.778
expt-app-2,6,1955.624,1834.693,11733.744,11008.158
expt-app-89,4,1438.27,1317.136,5753.08,5268.544
expt-app-92,8,440.65900000000005,436.505,3525.2720000000004,3492.04
expt-app-93,8,390.51399999999995,235.201,3124.1119999999996,1881.608
expt-app-47,2,2718.4610000000002,2582.983,5436.9220000000005,5165.966
expt-app-20,4,1082.256,947.316,4329.024,3789.264
expt-app-95,10,106.249,39.892,1062.49,398.92
expt-app-94,7,1696.899,1562.002,11878.293,10934.014
expt-app-5,8,665.417,598.758,5323.336,4790.064
expt-app-9,9,184.868,50.405,1663.812,453.645
expt-app-70,10,111.03200000000001,52.391,1110.3200000000002,523.91
expt-app-6,5,636.792,557.873,3183.96,2789.3650000000002
expt-app-50,7,351.60200000000003,292.361,2461.2140000000004,2046.527
expt-app-63,8,167.93099999999998,33.196,1343.4479999999999,265.568
expt-app-83,7,742.8430000000001,738.311,5199.901000000001,5168.177000000001
expt-app-30,9,156.195,51.026,1405.7549999999999,459.23400000000004
expt-app-53,6,1864.057,1811.745,11184.342,10870.47
expt-app-24,7,1720.492,1642.156,12043.444,11495.092
expt-app-10,2,2261.6369999999997,2140.562,4523.273999999999,4281.124
expt-app-82,4,1986.052,1871.83,7944.208,7487.32
expt-app-37,8,424.94,320.861,3399.52,2566.888
expt-app-17,8,91.337,16.797,730.696,134.376
expt-app-12,4,3938.529,3788.722,15754.116,15154.888
expt-app-86,10,132.459,6.185,1324.5900000000001,61.849999999999994
expt-app-41,5,640.685,535.487,3203.4249999999997,2677.435
expt-app-33,5,184.145,117.106,920.725,585.53
