app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-9,9,149.927,38.859,1349.3429999999998,349.731
expt-app-33,5,134.662,75.993,673.3100000000001,379.965
expt-app-64,8,174.567,25.28,1396.536,202.24
expt-app-34,10,308.684,203.517,3086.84,2035.17
expt-app-67,8,173.58,87.709,1388.64,701.672
expt-app-86,10,126.391,39.07,1263.91,390.7
expt-app-49,9,73.36,13.827,660.24,124.443
expt-app-27,8,205.17,192.345,1641.36,1538.76
expt-app-50,7,673.159,588.366,4712.113,4118.562
expt-app-66,8,196.05100000000002,118.616,1568.4080000000001,948.928
expt-app-13,5,597.508,440.488,2987.54,2202.44
expt-app-88,10,127.07199999999999,6.006,1270.7199999999998,60.06
expt-app-4,9,143.626,38.667,1292.634,348.00300000000004
expt-app-63,8,125.217,12.574,1001.736,100.592
expt-app-78,10,110.46300000000001,5.146,1104.63,51.46
expt-app-70,10,161.266,73.926,1612.6599999999999,739.26
expt-app-30,9,167.986,55.316,1511.8739999999998,497.84400000000005
expt-app-15,8,107.80099999999999,50.963,862.4079999999999,407.704
expt-app-45,8,245.781,234.148,1966.248,1873.184
expt-app-17,8,87.842,8.66,702.736,69.28
expt-app-95,10,126.137,40.835,1261.37,408.35
expt-app-59,9,133.73399999999998,21.454,1203.6059999999998,193.086
expt-app-77,10,85.843,24.808,858.4300000000001,248.07999999999998
expt-app-93,8,339.245,196.326,2713.96,1570.608
expt-app-92,8,288.627,283.577,2309.016,2268.616
expt-app-40,10,142.897,7.791,1428.9699999999998,77.91
expt-app-1,9,226.056,104.738,2034.5040000000001,942.642
