app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-71,4,2167.904,2115.227,8671.616,8460.908
expt-app-65,2,4960.453,4804.92,9920.906,9609.84
expt-app-12,4,2279.2309999999998,2199.792,9116.923999999999,8799.168
expt-app-78,9,96.43400000000001,17.822,867.9060000000001,160.398
expt-app-48,10,132.949,40.4,1329.4900000000002,404.0
expt-app-5,9,110.22999999999999,5.22,992.0699999999999,46.98
expt-app-81,6,1715.892,1595.136,10295.352,9570.815999999999
expt-app-24,9,188.59699999999998,39.097,1697.3729999999998,351.873
expt-app-72,10,865.687,730.884,8656.87,7308.84
expt-app-10,3,4453.351,4323.009,13360.053,12969.027
expt-app-25,4,2186.785,2108.124,8747.14,8432.496
expt-app-70,9,1319.191,1170.265,11872.719000000001,10532.385
expt-app-97,4,1037.882,985.877,4151.528,3943.508
expt-app-15,2,4218.102,4071.008,8436.204,8142.016
expt-app-1,9,1110.024,961.09,9990.215999999999,8649.81
expt-app-66,3,3400.478,3251.094,10201.434000000001,9753.282
expt-app-47,6,1615.294,1548.739,9691.764000000001,9292.434000000001
expt-app-50,6,725.755,559.969,4354.53,3359.8140000000003
expt-app-21,9,214.846,120.69,1933.614,1086.21
expt-app-26,5,2483.387,2478.666,12416.935000000001,12393.330000000002
expt-app-83,4,2293.0679999999998,2224.288,9172.271999999999,8897.152
expt-app-8,1,7528.493,7436.519,7528.493,7436.519
expt-app-42,8,207.079,202.574,1656.632,1620.592
expt-app-59,10,81.035,29.023,810.3499999999999,290.23
expt-app-69,1,521.237,376.071,521.237,376.071
expt-app-16,6,568.062,501.671,3408.3720000000003,3010.026
expt-app-95,7,1372.037,1367.327,9604.259,9571.289
expt-app-29,7,920.1120000000001,815.231,6440.784000000001,5706.617
expt-app-92,5,1699.808,1621.425,8499.04,8107.125
expt-app-39,10,162.416,27.287,1624.1599999999999,272.87
expt-app-34,4,465.198,397.952,1860.792,1591.808
expt-app-36,8,498.091,362.669,3984.728,2901.352
expt-app-63,4,1329.987,1250.88,5319.948,5003.52
expt-app-82,2,3372.098,3223.196,6744.196,6446.392
expt-app-40,9,157.183,46.519,1414.647,418.671
expt-app-18,10,218.965,69.855,2189.65,698.5500000000001
expt-app-20,4,3052.216,2931.042,12208.864,11724.168
expt-app-13,8,91.923,31.285,735.384,250.28
expt-app-85,6,1753.432,1674.579,10520.592,10047.474
expt-app-14,5,2227.0919999999996,2078.536,11135.46,10392.68
expt-app-9,7,480.029,344.94,3360.203,2414.58
expt-app-98,7,767.044,681.268,5369.308,4768.876
expt-app-44,7,332.564,328.721,2327.9480000000003,2301.047
expt-app-2,3,1430.228,1294.081,4290.684,3882.2429999999995
expt-app-79,2,2404.948,2300.087,4809.896,4600.174
expt-app-86,3,3600.4930000000004,3458.872,10801.479000000001,10376.616
expt-app-57,5,1233.5210000000002,1086.916,6167.605000000001,5434.58
expt-app-56,4,2076.172,2024.056,8304.688,8096.224
expt-app-6,1,3760.36,3683.007,3760.36,3683.007
expt-app-77,4,3374.695,3239.531,13498.78,12958.124
expt-app-31,7,150.20600000000002,29.072,1051.442,203.504
expt-app-80,9,772.777,694.203,6954.993,6247.826999999999
expt-app-62,4,1041.941,975.223,4167.764,3900.892
expt-app-94,4,2193.7760000000003,2066.652,8775.104000000001,8266.608
expt-app-0,4,3058.458,2979.594,12233.832,11918.376
expt-app-64,5,648.963,583.572,3244.8149999999996,2917.86
expt-app-74,10,325.738,221.222,3257.38,2212.2200000000003
expt-app-49,5,1242.514,1121.805,6212.57,5609.025000000001
expt-app-3,9,374.79699999999997,254.206,3373.173,2287.854
expt-app-58,3,1377.604,1257.44,4132.812,3772.32
expt-app-89,2,122.22800000000001,118.24,244.45600000000002,236.48
expt-app-7,8,637.653,533.429,5101.224,4267.432
expt-app-43,7,573.025,494.745,4011.1749999999997,3463.215
expt-app-87,8,132.52700000000002,54.059,1060.2160000000001,432.472
expt-app-19,7,1552.627,1473.805,10868.389,10316.635
expt-app-53,7,676.898,664.061,4738.286,4648.427000000001
expt-app-84,3,31.095000000000002,26.42,93.28500000000001,79.26
expt-app-27,4,3277.692,3198.52,13110.768,12794.08
expt-app-33,9,521.9169999999999,436.119,4697.252999999999,3925.0710000000004
expt-app-51,5,1523.144,1518.786,7615.72,7593.93
expt-app-4,1,7913.685,7769.3,7913.685,7769.3
expt-app-96,2,1758.5120000000002,1742.071,3517.0240000000003,3484.142
expt-app-99,9,842.47,764.018,7582.2300000000005,6876.162
expt-app-22,7,1469.775,1391.269,10288.425000000001,9738.883
expt-app-37,9,858.705,754.29,7728.345,6788.61
expt-app-93,7,1367.2569999999998,1218.936,9570.798999999999,8532.552
expt-app-67,2,4538.902,4376.794,9077.804,8753.588
expt-app-68,7,1179.4759999999999,1044.523,8256.331999999999,7311.660999999999
expt-app-91,3,3508.5730000000003,3456.435,10525.719000000001,10369.305
expt-app-35,4,3032.951,2911.691,12131.804,11646.764
expt-app-28,7,372.16900000000004,251.649,2605.1830000000004,1761.5430000000001
expt-app-88,3,2806.18,2656.785,8418.539999999999,7970.355
expt-app-54,1,6572.0689999999995,6505.226,6572.0689999999995,6505.226
expt-app-75,5,2057.555,1924.28,10287.775,9621.4
