app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-18,10,126.301,59.968,1263.01,599.6800000000001
expt-app-50,6,868.4680000000001,719.939,5210.808000000001,4319.634
expt-app-19,7,1349.269,1270.297,9444.883,8892.079
expt-app-2,3,1056.387,898.323,3169.161,2694.969
expt-app-41,4,2297.105,2176.808,9188.42,8707.232
expt-app-59,10,138.50799999999998,26.04,1385.08,260.4
expt-app-94,4,2092.628,1944.291,8370.512,7777.164
expt-app-98,7,603.602,467.822,4225.214,3274.754
expt-app-69,1,246.974,242.922,246.974,242.922
expt-app-84,3,50.715999999999994,46.642,152.14799999999997,139.92600000000002
expt-app-97,4,960.207,825.024,3840.828,3300.096
expt-app-37,9,754.088,633.921,6786.7919999999995,5705.289000000001
expt-app-21,9,352.078,231.841,3168.7019999999998,2086.569
expt-app-52,4,1272.886,1168.082,5091.544,4672.328
expt-app-13,8,50.11,45.606,400.88,364.848
expt-app-73,1,2922.279,2918.01,2922.279,2918.01
expt-app-53,7,494.226,490.009,3459.582,3430.063
expt-app-71,4,2591.211,2512.303,10364.844,10049.212
expt-app-95,7,1443.3339999999998,1288.705,10103.338,9020.935
expt-app-74,10,344.416,224.162,3444.16,2241.62
expt-app-87,8,148.364,105.352,1186.912,842.816
expt-app-38,2,3865.7879999999996,3786.747,7731.575999999999,7573.494
expt-app-85,6,1473.729,1421.134,8842.374,8526.804
expt-app-11,1,2904.714,2825.763,2904.714,2825.763
expt-app-68,7,931.535,864.721,6520.745,6053.0470000000005
expt-app-44,7,441.15900000000005,418.178,3088.1130000000003,2927.246
expt-app-64,5,369.13,302.498,1845.65,1512.49
expt-app-7,8,326.42900000000003,215.226,2611.4320000000002,1721.808
expt-app-92,5,1772.3439999999998,1629.642,8861.72,8148.21
expt-app-1,9,764.436,704.744,6879.924,6342.696
expt-app-28,7,334.3,213.636,2340.1,1495.452
expt-app-45,4,1708.0120000000002,1628.763,6832.048000000001,6515.052
expt-app-14,5,1945.136,1796.043,9725.68,8980.215
expt-app-49,5,1412.5559999999998,1291.289,7062.779999999999,6456.445
expt-app-12,4,2414.173,2278.549,9656.692,9114.196
expt-app-72,10,481.072,414.232,4810.72,4142.320000000001
expt-app-58,3,983.2379999999999,834.018,2949.714,2502.054
expt-app-26,5,2345.83,2332.933,11729.15,11664.665
expt-app-57,5,903.9469999999999,899.467,4519.735,4497.335
expt-app-96,2,1439.501,1360.208,2879.002,2720.416
expt-app-79,2,1022.7679999999999,948.338,2045.5359999999998,1896.676
expt-app-32,2,2800.231,2664.848,5600.462,5329.696
expt-app-39,10,122.25,17.992,1222.5,179.92000000000002
expt-app-99,9,271.294,166.681,2441.6459999999997,1500.1290000000001
expt-app-31,7,102.565,43.039,717.9549999999999,301.273
expt-app-80,9,629.8820000000001,563.687,5668.938,5073.183
expt-app-93,7,477.42600000000004,342.59,3341.9820000000004,2398.1299999999997
expt-app-42,8,197.49,146.18,1579.92,1169.44
expt-app-16,6,289.91,222.865,1739.46,1337.19
expt-app-23,4,2483.065,2404.503,9932.26,9618.012
expt-app-48,10,179.453,44.505,1794.53,445.05
expt-app-51,5,1102.962,961.44,5514.8099999999995,4807.200000000001
expt-app-61,4,1049.455,962.87,4197.82,3851.48
expt-app-9,7,371.30400000000003,236.267,2599.128,1653.869
expt-app-43,7,448.256,443.762,3137.792,3106.334
expt-app-29,7,816.469,754.335,5715.283,5280.345
expt-app-89,2,140.424,136.541,280.848,273.082
expt-app-63,4,1148.763,1074.188,4595.052,4296.752
expt-app-3,9,230.436,226.458,2073.924,2038.122
expt-app-33,9,201.81199999999998,97.943,1816.3079999999998,881.487
expt-app-34,4,303.995,299.87,1215.98,1199.48
expt-app-47,6,1570.376,1434.777,9422.256,8608.662
expt-app-22,7,819.2,706.471,5734.400000000001,4945.2970000000005
expt-app-78,9,97.963,19.371,881.6669999999999,174.339
expt-app-81,6,1303.247,1216.694,7819.482,7300.164
expt-app-24,9,111.41,33.377,1002.6899999999999,300.39300000000003
expt-app-36,8,245.40300000000002,179.139,1963.2240000000002,1433.112
expt-app-10,3,3515.9500000000003,3381.441,10547.85,10144.323
expt-app-86,3,3674.938,3570.024,11024.814,10710.072
expt-app-55,2,2962.388,2878.204,5924.776,5756.408
expt-app-75,5,2430.4610000000002,2286.338,12152.305,11431.69
expt-app-40,9,95.689,29.491,861.2009999999999,265.419
expt-app-70,9,1113.616,984.628,10022.544,8861.652
expt-app-5,9,74.71,8.353,672.39,75.17699999999999
