app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-84,3,30.541999999999998,26.255,91.62599999999999,78.765
expt-app-18,10,158.782,29.793,1587.8200000000002,297.93
expt-app-87,8,180.33599999999998,53.393,1442.6879999999999,427.144
expt-app-31,7,175.201,31.539,1226.407,220.77300000000002
expt-app-42,8,260.116,185.842,2080.928,1486.736
expt-app-36,8,175.87900000000002,116.903,1407.0320000000002,935.224
expt-app-33,9,238.263,159.655,2144.367,1436.895
expt-app-74,10,312.878,200.247,3128.7799999999997,2002.4700000000003
expt-app-43,7,704.671,562.085,4932.697,3934.5950000000003
expt-app-9,7,317.95,205.342,2225.65,1437.394
expt-app-5,9,22.171,10.37,199.539,93.33
expt-app-39,10,151.131,10.566,1511.31,105.66000000000001
expt-app-13,8,179.58599999999998,23.371,1436.6879999999999,186.968
expt-app-78,9,119.23100000000001,6.179,1073.0790000000002,55.611000000000004
expt-app-24,9,50.184,39.77,451.65599999999995,357.93
expt-app-40,9,102.565,42.746,923.085,384.714
expt-app-59,10,121.151,7.853,1211.51,78.53
expt-app-53,7,825.7,740.544,5779.900000000001,5183.808
expt-app-48,10,127.827,40.072,1278.27,400.72
expt-app-28,7,341.966,229.679,2393.762,1607.753
