app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-23,4,2024.081,1896.76,8096.324,7587.04
expt-app-66,3,2326.382,2190.835,6979.146000000001,6572.505
expt-app-4,1,3587.926,3475.914,3587.926,3475.914
expt-app-42,8,193.24099999999999,114.536,1545.9279999999999,916.288
expt-app-93,7,311.223,210.01,2178.561,1470.07
expt-app-80,9,455.818,376.312,4102.362,3386.808
expt-app-10,3,2844.1420000000003,2687.479,8532.426000000001,8062.437
expt-app-98,7,348.352,295.473,2438.464,2068.311
expt-app-97,4,1037.11,902.034,4148.44,3608.136
expt-app-14,5,1095.732,975.122,5478.66,4875.61
expt-app-26,5,1416.759,1281.246,7083.795,6406.2300000000005
expt-app-2,3,1122.336,973.187,3367.008,2919.561
expt-app-87,8,132.67399999999998,54.002,1061.3919999999998,432.016
expt-app-1,9,398.895,394.623,3590.055,3551.607
expt-app-94,4,1402.039,1322.578,5608.156,5290.312
expt-app-25,4,1407.8390000000002,1295.556,5631.356000000001,5182.224
expt-app-29,7,624.358,545.848,4370.505999999999,3820.9359999999997
expt-app-33,9,248.888,196.965,2239.992,1772.685
expt-app-85,6,1078.446,950.271,6470.6759999999995,5701.626
expt-app-68,7,756.207,635.809,5293.449,4450.663
expt-app-82,2,1484.969,1418.109,2969.938,2836.218
expt-app-91,3,1947.8,1843.238,5843.4,5529.714
expt-app-7,8,302.582,226.892,2420.656,1815.136
expt-app-15,2,2144.151,2008.345,4288.302,4016.69
expt-app-86,3,1920.125,1841.375,5760.375,5524.125
expt-app-37,9,488.709,409.844,4398.381,3688.596
expt-app-65,2,2855.579,2720.222,5711.158,5440.444
expt-app-6,1,2048.9579999999996,1969.913,2048.9579999999996,1969.913
expt-app-27,4,1624.348,1571.63,6497.392,6286.52
expt-app-44,7,337.404,216.605,2361.828,1516.235
expt-app-75,5,1306.344,1301.366,6531.72,6506.83
expt-app-67,2,2314.635,2210.888,4629.27,4421.776
expt-app-88,3,1895.0849999999998,1790.63,5685.254999999999,5371.89
expt-app-63,4,649.0120000000001,636.278,2596.0480000000002,2545.112
expt-app-39,10,125.28900000000002,21.188,1252.89,211.88
expt-app-22,7,437.849,386.264,3064.9429999999998,2703.848
expt-app-99,9,393.852,327.481,3544.6679999999997,2947.3289999999997
expt-app-35,4,1416.585,1311.478,5666.34,5245.912
expt-app-83,4,1128.917,1016.447,4515.668,4065.788
expt-app-95,7,498.689,494.702,3490.8230000000003,3462.9139999999998
expt-app-47,6,994.564,927.228,5967.384,5563.3679999999995
expt-app-0,4,1379.238,1275.305,5516.952,5101.22
expt-app-31,7,124.795,57.276,873.565,400.932
expt-app-61,4,1107.642,978.067,4430.568,3912.268
expt-app-16,6,544.347,458.088,3266.082,2748.5280000000002
expt-app-49,5,882.152,804.711,4410.76,4023.5550000000003
expt-app-40,9,138.08,59.649,1242.72,536.841
expt-app-24,9,133.826,28.432,1204.434,255.88799999999998
expt-app-62,4,300.504,295.822,1202.016,1183.288
expt-app-77,4,1621.397,1516.401,6485.588,6065.604
expt-app-58,3,694.594,632.18,2083.782,1896.54
expt-app-78,9,166.024,22.558,1494.216,203.022
expt-app-50,6,531.313,453.262,3187.8779999999997,2719.572
expt-app-51,5,1003.2330000000001,867.926,5016.165,4339.63
expt-app-72,10,316.46000000000004,238.301,3164.6000000000004,2383.0099999999998
expt-app-20,4,1450.015,1382.481,5800.06,5529.924
expt-app-64,5,582.153,507.533,2910.7650000000003,2537.665
expt-app-3,9,399.09299999999996,264.303,3591.8369999999995,2378.727
expt-app-48,10,87.002,83.366,870.02,833.66
expt-app-79,2,1101.374,1034.153,2202.748,2068.306
expt-app-57,5,661.3480000000001,655.947,3306.7400000000002,3279.735
expt-app-56,4,1601.029,1496.595,6404.116,5986.38
expt-app-69,1,293.212,212.871,293.212,212.871
expt-app-21,9,278.587,157.848,2507.283,1420.632
expt-app-43,7,334.63599999999997,255.852,2342.4519999999998,1790.964
expt-app-54,1,3264.16,3158.958,3264.16,3158.958
expt-app-13,8,180.73,45.208,1445.84,361.664
expt-app-81,6,989.86,868.197,5939.16,5209.182
expt-app-12,4,1559.993,1474.454,6239.972,5897.816
expt-app-36,8,330.727,227.078,2645.816,1816.624
expt-app-84,3,143.18200000000002,46.249,429.54600000000005,138.747
expt-app-59,10,73.878,8.12,738.78,81.19999999999999
expt-app-19,7,712.995,653.21,4990.965,4572.47
expt-app-18,10,74.80000000000001,65.522,748.0000000000001,655.22
expt-app-89,2,205.224,126.255,410.448,252.51
expt-app-9,7,110.222,106.037,771.554,742.259
expt-app-53,7,657.0989999999999,516.105,4599.692999999999,3612.735
expt-app-28,7,200.981,95.619,1406.867,669.333
expt-app-71,4,1290.279,1284.882,5161.116,5139.528
expt-app-74,10,230.579,149.317,2305.79,1493.17
expt-app-70,9,434.818,424.268,3913.362,3818.412
expt-app-92,5,910.983,844.263,4554.915,4221.3150000000005
expt-app-5,9,92.079,24.458,828.7109999999999,220.12199999999999
expt-app-34,4,487.709,352.88,1950.836,1411.52
