app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-44,4,1767.288,1618.078,7069.152,6472.312
expt-app-0,8,354.419,287.892,2835.352,2303.136
expt-app-39,10,91.43900000000001,24.334,914.3900000000001,243.34
expt-app-32,10,226.29,138.023,2262.9,1380.23
expt-app-78,10,304.04900000000004,251.641,3040.4900000000002,2516.41
expt-app-14,9,404.537,269.926,3640.8329999999996,2429.334
expt-app-64,10,463.709,315.113,4637.09,3151.13
expt-app-22,8,903.3330000000001,768.439,7226.664000000001,6147.512
expt-app-1,8,530.269,525.568,4242.152,4204.544
expt-app-59,6,1616.874,1496.254,9701.244,8977.524
expt-app-21,3,1015.41,928.877,3046.23,2786.631
expt-app-84,7,736.077,669.124,5152.539,4683.868
expt-app-5,2,2705.3219999999997,2600.545,5410.643999999999,5201.09
expt-app-93,10,109.253,30.753,1092.53,307.53
expt-app-34,9,322.318,309.925,2900.862,2789.3250000000003
expt-app-77,7,1204.595,1100.811,8432.165,7705.677
expt-app-66,8,794.895,716.18,6359.16,5729.44
expt-app-16,10,261.486,182.613,2614.8599999999997,1826.13
expt-app-19,5,923.104,856.924,4615.52,4284.62
expt-app-38,1,4454.267,4305.419,4454.267,4305.419
expt-app-91,4,1478.734,1399.83,5914.936,5599.32
expt-app-54,5,1155.8870000000002,995.299,5779.435000000001,4976.495
expt-app-26,9,814.422,728.75,7329.798000000001,6558.75
expt-app-70,6,1703.602,1698.529,10221.612000000001,10191.173999999999
expt-app-24,10,139.66,54.64,1396.6,546.4
expt-app-57,6,1686.527,1581.045,10119.162,9486.27
expt-app-58,4,1392.354,1312.014,5569.416,5248.056
expt-app-29,9,610.456,606.254,5494.104,5456.286
expt-app-80,8,172.38500000000002,119.866,1379.0800000000002,958.928
expt-app-12,5,960.992,825.571,4804.96,4127.8550000000005
expt-app-60,8,409.37600000000003,304.882,3275.0080000000003,2439.056
expt-app-63,10,52.968,39.592,529.6800000000001,395.91999999999996
expt-app-28,8,463.85900000000004,359.08,3710.8720000000003,2872.64
expt-app-25,8,724.514,645.453,5796.112,5163.624
expt-app-45,9,186.07000000000002,126.747,1674.63,1140.723
expt-app-3,7,1522.526,1409.268,10657.682,9864.876
expt-app-15,10,297.949,292.673,2979.4900000000002,2926.73
expt-app-10,9,519.926,453.163,4679.334000000001,4078.467
expt-app-17,9,556.728,441.823,5010.552,3976.4069999999997
expt-app-71,8,615.135,471.184,4921.08,3769.472
expt-app-7,8,340.41900000000004,336.186,2723.3520000000003,2689.488
expt-app-43,10,384.019,234.929,3840.19,2349.29
expt-app-76,5,2151.891,2084.989,10759.455,10424.945
expt-app-75,7,1573.8890000000001,1468.995,11017.223000000002,10282.965
expt-app-13,7,906.328,827.523,6344.296,5792.661
expt-app-31,6,786.7760000000001,710.487,4720.656000000001,4262.922
expt-app-72,4,2132.585,2011.26,8530.34,8045.04
expt-app-86,8,651.66,636.717,5213.28,5093.736
expt-app-8,10,210.604,27.272,2106.04,272.71999999999997
expt-app-79,7,653.259,517.94,4572.813,3625.5800000000004
expt-app-30,7,576.0260000000001,497.141,4032.1820000000007,3479.987
expt-app-61,3,3358.234,3208.714,10074.702,9626.142
expt-app-68,9,615.086,479.802,5535.774,4318.218
expt-app-49,10,182.227,115.93,1822.27,1159.3000000000002
expt-app-73,1,2289.353,2236.363,2289.353,2236.363
expt-app-67,5,1021.9180000000001,872.865,5109.59,4364.325
expt-app-74,10,55.188,50.22,551.88,502.2
expt-app-55,5,2487.315,2366.288,12436.575,11831.44
expt-app-99,10,185.95600000000002,74.182,1859.5600000000002,741.82
expt-app-85,10,239.135,95.395,2391.35,953.9499999999999
expt-app-65,3,2278.676,2143.569,6836.028,6430.707
expt-app-27,9,30.970000000000002,19.65,278.73,176.85
expt-app-40,6,1853.899,1718.277,11123.394,10309.662
expt-app-98,10,136.60500000000002,23.834,1366.0500000000002,238.34
expt-app-48,6,667.6189999999999,614.934,4005.7139999999995,3689.604
expt-app-41,6,733.2220000000001,612.453,4399.332,3674.718
expt-app-33,9,390.54100000000005,255.831,3514.8690000000006,2302.479
expt-app-37,10,574.3470000000001,569.929,5743.470000000001,5699.29
expt-app-97,10,74.505,8.155,745.05,81.55
expt-app-18,9,786.868,665.614,7081.812000000001,5990.526
expt-app-81,7,860.702,782.407,6024.914,5476.849
expt-app-56,1,5198.66,5131.393,5198.66,5131.393
expt-app-50,7,1206.73,1148.167,8447.11,8037.169
expt-app-82,4,1923.516,1856.693,7694.064,7426.772
