app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-11,4,2301.241,2233.63,9204.964,8934.52
expt-app-26,8,299.294,194.56,2394.352,1556.48
expt-app-28,8,244.385,108.238,1955.08,865.904
expt-app-40,8,394.396,327.355,3155.168,2618.84
expt-app-87,7,260.942,156.044,1826.594,1092.308
expt-app-1,9,32.499,27.291,292.49100000000004,245.619
expt-app-78,7,687.351,565.906,4811.457,3961.3419999999996
expt-app-9,4,623.706,536.992,2494.824,2147.968
expt-app-72,4,915.5269999999999,899.694,3662.1079999999997,3598.776
expt-app-63,8,516.754,441.02,4134.032,3528.16
expt-app-8,1,2075.143,2007.923,2075.143,2007.923
expt-app-42,10,232.47699999999998,153.716,2324.7699999999995,1537.16
expt-app-2,8,268.081,256.608,2144.648,2052.864
expt-app-66,9,326.29200000000003,202.59,2936.628,1823.31
expt-app-34,7,294.26000000000005,289.493,2059.82,2026.451
expt-app-80,9,147.435,11.253,1326.915,101.277
expt-app-76,3,1973.841,1841.723,5921.522999999999,5525.169
expt-app-31,2,1089.074,968.362,2178.148,1936.724
expt-app-73,6,869.459,764.671,5216.754,4588.026
expt-app-38,9,159.886,17.761,1438.974,159.849
expt-app-71,1,1999.1319999999998,1848.971,1999.1319999999998,1848.971
expt-app-74,1,3595.19,3514.26,3595.19,3514.26
expt-app-94,2,1094.951,1089.187,2189.902,2178.374
expt-app-16,8,146.646,42.019,1173.168,336.152
expt-app-85,5,1086.711,965.3,5433.555,4826.5
expt-app-41,8,158.703,79.516,1269.624,636.128
expt-app-4,10,181.425,37.797,1814.25,377.96999999999997
expt-app-18,2,2179.4210000000003,2074.845,4358.842000000001,4149.69
expt-app-64,10,154.60299999999998,75.393,1546.0299999999997,753.9300000000001
expt-app-70,9,145.073,66.14,1305.6570000000002,595.26
expt-app-68,8,324.147,244.708,2593.176,1957.664
expt-app-29,7,892.608,825.943,6248.255999999999,5781.601
expt-app-37,10,84.93100000000001,31.653,849.3100000000002,316.53
expt-app-59,6,1201.639,1066.512,7209.833999999999,6399.072
expt-app-5,9,102.60900000000001,28.149,923.4810000000001,253.341
expt-app-14,10,151.15,15.879,1511.5,158.79
expt-app-52,7,272.91900000000004,167.304,1910.4330000000002,1171.128
expt-app-10,7,317.338,312.113,2221.366,2184.791
expt-app-44,9,241.74300000000002,131.06,2175.6870000000004,1179.54
expt-app-81,9,65.586,13.054,590.274,117.486
expt-app-62,8,546.316,388.668,4370.528,3109.344
expt-app-96,3,1331.939,1211.206,3995.817,3633.6179999999995
expt-app-21,4,1047.962,926.731,4191.848,3706.924
expt-app-45,10,130.023,50.969,1300.23,509.69
expt-app-99,4,567.447,417.767,2269.788,1671.068
expt-app-79,3,233.60500000000002,166.668,700.815,500.004
expt-app-90,9,414.06,334.894,3726.54,3014.0460000000003
expt-app-69,8,153.607,17.974,1228.856,143.792
expt-app-43,9,153.695,18.187,1383.2549999999999,163.68300000000002
expt-app-53,4,1796.12,1742.844,7184.48,6971.376
expt-app-7,5,1729.654,1614.808,8648.27,8074.04
expt-app-17,7,507.48099999999994,371.654,3552.3669999999997,2601.578
expt-app-0,1,2159.582,2084.3,2159.582,2084.3
expt-app-88,8,265.351,254.069,2122.808,2032.552
expt-app-97,8,300.33799999999997,295.346,2402.7039999999997,2362.768
expt-app-82,3,1300.311,1180.109,3900.933,3540.3269999999998
expt-app-57,2,1487.0529999999999,1482.726,2974.1059999999998,2965.452
expt-app-60,7,588.901,468.652,4122.307,3280.564
expt-app-39,1,2760.557,2610.829,2760.557,2610.829
expt-app-15,3,1589.759,1446.045,4769.277,4338.135
expt-app-92,7,722.515,601.931,5057.605,4213.517
expt-app-67,7,865.0949999999999,715.552,6055.664999999999,5008.8640000000005
expt-app-20,1,3763.5969999999998,3622.499,3763.5969999999998,3622.499
expt-app-22,3,850.093,762.12,2550.279,2286.36
expt-app-46,7,384.13599999999997,317.73,2688.9519999999998,2224.11
expt-app-51,9,273.466,194.103,2461.194,1746.9270000000001
expt-app-48,7,621.793,494.949,4352.551,3464.643
expt-app-19,3,1747.597,1672.238,5242.791,5016.714
expt-app-13,5,1512.802,1363.014,7564.009999999999,6815.07
expt-app-50,8,109.858,34.298,878.864,274.384
expt-app-86,6,922.431,855.66,5534.586,5133.96
expt-app-93,8,188.03400000000002,83.208,1504.2720000000002,665.664
expt-app-49,8,259.868,193.105,2078.944,1544.84
expt-app-84,2,187.812,109.111,375.624,218.222
