app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-17,8,690.0699999999999,563.1,5520.5599999999995,4504.8
expt-app-22,9,185.894,58.199,1673.046,523.7909999999999
expt-app-66,10,169.601,165.895,1696.01,1658.95
expt-app-64,9,291.737,287.793,2625.6330000000003,2590.137
expt-app-71,9,351.279,236.57,3161.511,2129.13
expt-app-37,8,177.035,110.554,1416.28,884.432
expt-app-52,10,133.183,59.367,1331.83,593.67
expt-app-79,5,884.559,817.804,4422.795,4089.02
expt-app-91,7,848.343,705.194,5938.401,4936.358
expt-app-87,7,804.437,738.211,5631.059,5167.477
expt-app-83,10,126.67900000000002,5.734,1266.7900000000002,57.34
expt-app-32,9,378.00899999999996,305.449,3402.0809999999997,2749.041
expt-app-38,6,301.40299999999996,180.324,1808.4179999999997,1081.944
expt-app-46,4,876.0440000000001,741.209,3504.1760000000004,2964.836
expt-app-19,2,957.288,821.92,1914.576,1643.84
expt-app-96,9,165.525,60.957,1489.7250000000001,548.613
expt-app-86,10,178.088,104.272,1780.8799999999999,1042.72
expt-app-61,9,248.13299999999998,182.235,2233.1969999999997,1640.1150000000002
expt-app-90,7,562.121,495.738,3934.8469999999998,3470.166
expt-app-53,9,162.394,27.773,1461.546,249.957
expt-app-57,4,1638.8290000000002,1503.465,6555.316000000001,6013.86
expt-app-89,7,159.838,24.52,1118.866,171.64
expt-app-72,7,467.90500000000003,340.047,3275.335,2380.329
expt-app-78,9,75.563,71.155,680.067,640.395
expt-app-94,9,211.78,144.606,1906.02,1301.454
expt-app-58,6,696.982,681.287,4181.892,4087.722
expt-app-15,8,158.152,44.308,1265.216,354.464
expt-app-13,6,564.629,480.464,3387.7740000000003,2882.784
expt-app-43,9,251.046,116.236,2259.4139999999998,1046.124
expt-app-5,4,561.5949999999999,483.023,2246.3799999999997,1932.092
expt-app-2,8,238.436,172.164,1907.488,1377.312
expt-app-97,8,292.555,288.807,2340.44,2310.456
expt-app-74,10,123.99000000000001,19.285,1239.9,192.85
expt-app-36,4,811.4019999999999,675.89,3245.6079999999997,2703.56
expt-app-24,2,1814.2910000000002,1677.476,3628.5820000000003,3354.952
expt-app-50,10,292.702,287.633,2927.02,2876.33
expt-app-48,7,717.641,574.045,5023.487,4018.3149999999996
expt-app-67,8,448.168,381.303,3585.344,3050.424
expt-app-12,8,447.553,326.592,3580.424,2612.736
expt-app-11,3,1636.118,1500.715,4908.353999999999,4502.1449999999995
expt-app-45,9,151.02599999999998,99.695,1359.234,897.2549999999999
expt-app-20,10,65.511,60.854,655.1099999999999,608.54
expt-app-23,8,243.365,164.709,1946.92,1317.672
expt-app-59,8,562.578,484.528,4500.624,3876.224
expt-app-98,9,130.221,16.238,1171.989,146.142
expt-app-34,3,923.8459999999999,788.428,2771.5379999999996,2365.284
expt-app-35,9,180.679,51.383,1626.111,462.447
expt-app-99,5,885.166,811.086,4425.83,4055.4300000000003
expt-app-47,10,148.235,43.167,1482.3500000000001,431.67
expt-app-92,10,18.761,14.474,187.60999999999999,144.74
expt-app-68,10,166.94400000000002,46.077,1669.44,460.77
expt-app-55,8,279.051,199.989,2232.408,1599.912
expt-app-25,10,120.926,66.0,1209.26,660.0
expt-app-16,8,217.73600000000002,212.888,1741.8880000000001,1703.104
expt-app-1,5,730.722,651.589,3653.6099999999997,3257.945
expt-app-30,8,222.82399999999998,95.419,1782.5919999999999,763.352
expt-app-62,10,33.319,29.0,333.19000000000005,290.0
expt-app-21,10,85.49600000000001,19.694,854.96,196.94
expt-app-93,9,106.542,2.12,958.878,19.080000000000002
expt-app-27,2,1065.015,919.555,2130.03,1839.11
expt-app-9,7,682.633,596.308,4778.4310000000005,4174.156
expt-app-65,3,1081.487,946.544,3244.4610000000002,2839.632
expt-app-88,10,84.35199999999999,22.797,843.5199999999999,227.97
expt-app-42,1,1381.7839999999999,1231.933,1381.7839999999999,1231.933
expt-app-82,8,181.292,176.88,1450.336,1415.04
expt-app-14,10,128.088,23.643,1280.8799999999999,236.43
