app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-19,6,355.916,234.881,2135.496,1409.286
expt-app-24,5,151.32999999999998,30.679,756.6499999999999,153.39499999999998
expt-app-16,1,1443.069,1357.006,1443.069,1357.006
expt-app-50,7,463.011,342.247,3241.077,2395.7290000000003
expt-app-62,7,1043.273,907.739,7302.910999999999,6354.173000000001
expt-app-94,2,315.68600000000004,310.546,631.3720000000001,621.092
expt-app-44,5,431.449,365.03,2157.245,1825.1499999999999
expt-app-46,7,1159.5279999999998,1016.526,8116.695999999998,7115.682
expt-app-66,4,585.597,533.434,2342.388,2133.736
expt-app-57,6,151.699,73.318,910.1940000000001,439.908
expt-app-95,9,480.421,401.257,4323.789,3611.313
expt-app-32,5,761.0409999999999,625.491,3805.205,3127.455
expt-app-55,4,1037.4540000000002,969.816,4149.816000000001,3879.264
expt-app-30,9,146.426,79.59,1317.8339999999998,716.3100000000001
expt-app-83,6,735.478,599.803,4412.8679999999995,3598.818
expt-app-56,6,408.599,274.023,2451.594,1644.1380000000001
expt-app-12,10,452.063,303.057,4520.63,3030.57
expt-app-96,9,152.472,22.65,1372.248,203.85
expt-app-42,2,495.346,417.161,990.692,834.322
expt-app-99,6,193.599,141.699,1161.594,850.1940000000001
expt-app-84,2,902.158,766.615,1804.316,1533.23
expt-app-49,3,1054.367,1001.916,3163.1009999999997,3005.748
expt-app-97,8,187.81,44.127,1502.48,353.016
expt-app-35,1,1489.422,1409.471,1489.422,1409.471
expt-app-34,6,580.643,460.245,3483.858,2761.4700000000003
expt-app-63,10,153.118,32.697,1531.1799999999998,326.97
expt-app-79,5,599.0,483.209,2995.0,2416.045
expt-app-36,9,345.368,341.178,3108.312,3070.602
expt-app-87,10,160.64100000000002,40.041,1606.4100000000003,400.40999999999997
expt-app-90,5,1309.229,1188.217,6546.145,5941.085000000001
expt-app-13,3,757.9019999999999,653.001,2273.7059999999997,1959.003
expt-app-45,10,84.34400000000001,79.415,843.44,794.1500000000001
expt-app-17,4,1543.201,1466.909,6172.804,5867.636
expt-app-53,7,410.88599999999997,318.638,2876.2019999999998,2230.466
expt-app-26,3,1689.4370000000001,1636.241,5068.311000000001,4908.723
expt-app-86,10,100.068,33.992,1000.68,339.91999999999996
expt-app-23,4,568.7950000000001,463.861,2275.1800000000003,1855.444
expt-app-2,8,110.268,35.135,882.144,281.08
expt-app-93,9,216.35999999999999,58.454,1947.2399999999998,526.086
expt-app-22,1,1787.3380000000002,1781.656,1787.3380000000002,1781.656
expt-app-98,6,572.404,494.006,3434.424,2964.036
expt-app-78,8,554.118,418.458,4432.944,3347.664
expt-app-37,4,286.19800000000004,207.664,1144.7920000000001,830.656
expt-app-72,7,405.82800000000003,318.933,2840.7960000000003,2232.531
expt-app-11,6,867.949,788.541,5207.6939999999995,4731.246
expt-app-29,8,398.274,293.609,3186.192,2348.872
expt-app-8,8,239.465,214.28,1915.72,1714.24
expt-app-4,7,292.066,287.338,2044.4619999999998,2011.3660000000002
expt-app-67,10,141.184,5.96,1411.84,59.6
expt-app-31,5,529.628,463.382,2648.1400000000003,2316.91
expt-app-51,4,985.97,881.927,3943.88,3527.708
expt-app-54,8,412.69,331.909,3301.52,2655.272
expt-app-69,2,1073.999,969.199,2147.998,1938.398
expt-app-15,8,147.881,26.669,1183.048,213.352
expt-app-91,10,103.497,13.506,1034.97,135.06
expt-app-7,3,733.857,654.72,2201.571,1964.16
expt-app-76,3,915.062,779.446,2745.186,2338.338
expt-app-33,1,1555.196,1450.405,1555.196,1450.405
expt-app-65,7,1037.321,877.006,7261.246999999999,6139.0419999999995
expt-app-40,4,2236.0319999999997,2131.394,8944.127999999999,8525.576
expt-app-3,9,446.735,297.31,4020.6150000000002,2675.79
expt-app-25,9,143.14499999999998,138.438,1288.3049999999998,1245.942
expt-app-0,5,864.877,718.339,4324.385,3591.695
expt-app-77,8,206.453,57.277,1651.624,458.216
expt-app-6,1,2320.8160000000003,2185.491,2320.8160000000003,2185.491
expt-app-18,4,897.2560000000001,735.03,3589.0240000000003,2940.12
expt-app-20,7,764.2719999999999,614.82,5349.9039999999995,4303.740000000001
expt-app-70,7,590.508,510.899,4133.5560000000005,3576.293
expt-app-59,4,3098.099,2963.0,12392.396,11852.0
expt-app-80,4,566.6759999999999,486.782,2266.7039999999997,1947.128
expt-app-10,4,517.9359999999999,513.108,2071.7439999999997,2052.432
expt-app-58,9,29.107,24.606,261.96299999999997,221.454
expt-app-1,9,104.306,37.053,938.754,333.477
expt-app-43,1,1068.072,957.273,1068.072,957.273
expt-app-14,9,289.912,211.609,2609.2079999999996,1904.481
expt-app-73,6,388.277,383.441,2329.662,2300.6459999999997
expt-app-88,6,285.855,274.873,1715.13,1649.2379999999998
expt-app-64,1,1545.67,1492.995,1545.67,1492.995
expt-app-47,4,169.589,48.499,678.356,193.996
expt-app-9,4,1626.786,1477.17,6507.144,5908.68
expt-app-68,1,2212.973,2077.074,2212.973,2077.074
expt-app-81,9,211.484,91.576,1903.356,824.184
expt-app-92,4,231.02900000000002,218.862,924.1160000000001,875.448
expt-app-89,4,875.1510000000001,870.982,3500.6040000000003,3483.928
expt-app-48,2,1104.933,1038.12,2209.866,2076.24
