app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,4,1005.8629999999999,939.308,4023.4519999999998,3757.232
expt-app-66,4,629.846,576.846,2519.384,2307.384
expt-app-53,7,312.01800000000003,245.221,2184.126,1716.547
expt-app-22,1,1676.179,1664.479,1676.179,1664.479
expt-app-19,6,359.391,238.414,2156.346,1430.484
expt-app-54,8,408.06399999999996,341.331,3264.5119999999997,2730.648
expt-app-92,4,224.13,219.021,896.52,876.084
expt-app-70,7,581.054,501.913,4067.3779999999997,3513.391
expt-app-15,8,146.953,26.566,1175.624,212.528
expt-app-23,4,562.36,457.705,2249.44,1830.82
expt-app-87,10,166.16500000000002,40.097,1661.65,400.97
expt-app-17,4,1497.9940000000001,1424.279,5991.976000000001,5697.116
expt-app-8,8,306.212,301.622,2449.696,2412.976
expt-app-89,4,1028.9060000000002,1017.631,4115.624000000001,4070.524
expt-app-6,1,2151.384,2016.364,2151.384,2016.364
expt-app-47,4,169.005,48.446,676.02,193.784
expt-app-57,6,205.147,88.814,1230.882,532.884
expt-app-42,2,460.89599999999996,381.354,921.7919999999999,762.708
expt-app-48,2,1143.164,1075.998,2286.328,2151.996
expt-app-90,5,1291.3799999999999,1171.105,6456.9,5855.525
expt-app-65,7,986.27,836.177,6903.889999999999,5853.2390000000005
expt-app-50,7,542.352,414.82,3796.464,2903.74
expt-app-94,2,308.444,303.692,616.888,607.384
expt-app-29,8,449.71,344.781,3597.68,2758.248
expt-app-35,1,1410.1840000000002,1331.848,1410.1840000000002,1331.848
expt-app-99,6,272.432,220.581,1634.592,1323.4859999999999
expt-app-2,8,110.034,35.018,880.272,280.144
expt-app-72,7,395.801,317.693,2770.607,2223.8509999999997
expt-app-46,7,1271.2810000000002,1135.172,8898.967,7946.204
expt-app-7,3,822.558,743.118,2467.674,2229.3540000000003
expt-app-51,4,976.236,870.814,3904.944,3483.256
expt-app-69,2,1078.632,966.025,2157.264,1932.05
expt-app-16,1,1587.6200000000001,1508.443,1587.6200000000001,1508.443
expt-app-45,10,84.089,79.367,840.89,793.6700000000001
expt-app-59,4,2963.5159999999996,2827.848,11854.063999999998,11311.392
expt-app-31,5,552.636,479.65,2763.18,2398.25
expt-app-78,8,560.75,425.249,4486.0,3401.992
expt-app-25,9,152.97,138.071,1376.73,1242.639
expt-app-37,4,307.222,228.821,1228.888,915.284
expt-app-95,9,464.841,385.523,4183.569,3469.7070000000003
expt-app-26,3,1507.482,1422.627,4522.446,4267.880999999999
expt-app-77,8,211.802,56.324,1694.416,450.592
expt-app-36,9,258.395,253.806,2325.555,2284.254
expt-app-64,1,1612.7769999999998,1559.183,1612.7769999999998,1559.183
expt-app-84,2,911.753,776.3,1823.506,1552.6
expt-app-3,9,446.072,296.618,4014.648,2669.562
expt-app-30,9,180.458,104.459,1624.122,940.1310000000001
expt-app-56,6,407.041,272.36,2442.246,1634.16
expt-app-97,8,183.011,48.671,1464.088,389.368
expt-app-9,4,1699.94,1549.895,6799.76,6199.58
expt-app-13,3,763.5699999999999,651.036,2290.71,1953.1079999999997
expt-app-67,10,142.641,7.054,1426.4099999999999,70.54
expt-app-10,4,499.11,493.429,1996.44,1973.716
expt-app-0,5,966.789,758.246,4833.945,3791.23
expt-app-86,10,127.37399999999998,51.917,1273.7399999999998,519.1700000000001
expt-app-1,9,102.91300000000001,37.029,926.2170000000001,333.261
expt-app-24,5,151.361,30.721,756.805,153.605
expt-app-62,7,1143.412,1008.282,8003.884,7057.974
expt-app-98,6,552.0540000000001,473.05,3312.3240000000005,2838.3
expt-app-49,3,1220.52,1167.623,3661.56,3502.869
expt-app-81,9,168.01,47.401,1512.09,426.60900000000004
expt-app-18,4,884.227,734.559,3536.908,2938.236
expt-app-73,6,386.164,381.113,2316.984,2286.678
expt-app-68,1,2301.5409999999997,2157.668,2301.5409999999997,2157.668
expt-app-4,7,332.534,327.992,2327.738,2295.944
expt-app-80,4,597.7470000000001,531.347,2390.9880000000003,2125.388
expt-app-32,5,851.152,715.104,4255.76,3575.5200000000004
expt-app-14,9,297.813,211.73,2680.317,1905.57
expt-app-11,6,865.318,786.879,5191.907999999999,4721.274
expt-app-58,9,29.005,23.858,261.045,214.722
expt-app-96,9,142.63400000000001,22.408,1283.7060000000001,201.67200000000003
expt-app-93,9,214.224,58.862,1928.0159999999998,529.758
expt-app-40,4,2184.224,2079.904,8736.896,8319.616
expt-app-44,5,435.0,368.22,2175.0,1841.1000000000001
expt-app-63,10,159.269,32.922,1592.69,329.21999999999997
expt-app-33,1,1252.8319999999999,1146.923,1252.8319999999999,1146.923
expt-app-88,6,390.79,336.772,2344.7400000000002,2020.632
expt-app-83,6,762.398,621.283,4574.388,3727.6980000000003
expt-app-91,10,91.264,12.883,912.64,128.82999999999998
expt-app-12,10,436.095,286.939,4360.950000000001,2869.3900000000003
expt-app-76,3,1025.634,890.55,3076.902,2671.6499999999996
expt-app-20,7,849.53,700.343,5946.71,4902.401
expt-app-79,5,593.913,488.812,2969.565,2444.06
expt-app-34,6,589.1229999999999,461.582,3534.7379999999994,2769.492
expt-app-43,1,1063.316,957.934,1063.316,957.934
