app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-73,6,690.604,623.913,4143.624,3743.478
expt-app-38,7,320.32300000000004,177.121,2242.2610000000004,1239.847
expt-app-24,8,230.129,151.159,1841.032,1209.272
expt-app-76,9,77.85499999999999,71.512,700.6949999999999,643.608
expt-app-37,8,156.904,22.381,1255.232,179.048
expt-app-54,6,1226.5649999999998,1159.781,7359.389999999999,6958.686
expt-app-64,9,145.146,41.184,1306.3139999999999,370.65599999999995
expt-app-51,9,132.389,128.224,1191.5010000000002,1154.0159999999998
expt-app-22,9,213.334,208.358,1920.006,1875.222
expt-app-20,6,350.328,209.484,2101.968,1256.904
expt-app-5,6,895.46,828.788,5372.76,4972.728
expt-app-45,5,846.201,841.95,4231.005,4209.75
expt-app-99,7,291.919,156.145,2043.433,1093.015
expt-app-27,3,254.025,250.157,762.075,750.471
expt-app-60,6,149.127,143.903,894.7620000000001,863.4179999999999
expt-app-68,6,717.2610000000001,612.51,4303.566000000001,3675.06
expt-app-42,8,203.24,192.357,1625.92,1538.856
expt-app-40,9,93.238,88.669,839.142,798.021
expt-app-16,6,458.373,406.277,2750.238,2437.662
expt-app-74,7,651.748,572.344,4562.236000000001,4006.4080000000004
expt-app-44,6,1273.504,1268.345,7641.023999999999,7610.07
expt-app-1,10,47.230000000000004,34.007,472.30000000000007,340.07
expt-app-55,8,231.329,153.049,1850.632,1224.392
expt-app-47,4,2316.348,2167.236,9265.392,8668.944
expt-app-91,3,803.014,668.043,2409.042,2004.129
expt-app-58,8,561.963,435.662,4495.704,3485.296
expt-app-3,10,152.655,17.827,1526.55,178.27
expt-app-85,7,743.121,667.134,5201.847,4669.938
expt-app-96,6,1300.835,1165.293,7805.01,6991.758
expt-app-31,3,3243.121,3094.552,9729.363000000001,9283.656
expt-app-34,4,884.029,816.67,3536.116,3266.68
expt-app-43,9,102.398,15.402,921.582,138.618
expt-app-48,9,489.439,360.587,4404.951,3245.283
expt-app-56,8,371.624,366.935,2972.992,2935.48
expt-app-92,7,404.963,344.571,2834.741,2411.9970000000003
expt-app-39,7,384.522,318.35,2691.654,2228.4500000000003
expt-app-17,6,1230.242,1110.274,7381.451999999999,6661.643999999999
expt-app-41,6,551.594,430.554,3309.5640000000003,2583.3239999999996
expt-app-71,4,1005.1980000000001,932.585,4020.7920000000004,3730.34
expt-app-66,8,380.435,276.198,3043.48,2209.584
expt-app-70,1,4536.3009999999995,4401.605,4536.3009999999995,4401.605
expt-app-32,5,706.311,571.037,3531.5550000000003,2855.1850000000004
expt-app-11,4,1256.8120000000001,1107.591,5027.2480000000005,4430.364
expt-app-50,1,882.984,804.278,882.984,804.278
expt-app-14,7,160.576,17.716,1124.032,124.012
expt-app-36,9,336.758,231.302,3030.8219999999997,2081.718
expt-app-86,10,59.166999999999994,4.666,591.67,46.660000000000004
expt-app-78,10,105.61,53.014,1056.1,530.14
expt-app-72,8,739.736,611.954,5917.888,4895.632
expt-app-80,6,304.688,169.0,1828.128,1014.0
expt-app-81,6,944.364,839.206,5666.184,5035.236
expt-app-95,10,210.57899999999998,132.4,2105.79,1324.0
expt-app-75,7,533.886,399.601,3737.2019999999998,2797.207
expt-app-28,6,1743.1080000000002,1676.467,10458.648000000001,10058.802
expt-app-84,6,990.572,885.725,5943.432,5314.35
expt-app-93,6,813.68,810.016,4882.08,4860.096
expt-app-67,10,109.492,25.937,1094.92,259.37
expt-app-2,2,402.26099999999997,323.375,804.5219999999999,646.75
expt-app-30,8,203.901,152.296,1631.208,1218.368
expt-app-82,3,1051.568,973.047,3154.7039999999997,2919.141
expt-app-53,6,847.619,780.584,5085.714,4683.504
expt-app-19,2,777.6840000000001,633.46,1555.3680000000002,1266.92
expt-app-87,9,114.528,10.5,1030.752,94.5
expt-app-79,1,472.18,400.654,472.18,400.654
expt-app-88,8,288.614,284.308,2308.912,2274.464
expt-app-13,9,238.719,89.84,2148.471,808.5600000000001
expt-app-33,2,2056.1699999999996,1951.273,4112.339999999999,3902.546
expt-app-97,3,299.23,226.514,897.69,679.542
expt-app-18,2,5082.193,4946.326,10164.386,9892.652
expt-app-83,3,1377.761,1257.329,4133.282999999999,3771.987
expt-app-61,8,346.94199999999995,342.508,2775.5359999999996,2740.064
expt-app-8,6,636.287,492.895,3817.722,2957.37
expt-app-9,10,268.949,141.055,2689.4900000000002,1410.5500000000002
expt-app-65,9,347.889,269.679,3131.001,2427.111
expt-app-62,5,1196.776,1047.405,5983.88,5237.025
expt-app-90,4,1010.252,905.908,4041.008,3623.632
expt-app-25,4,636.9590000000001,570.755,2547.8360000000002,2283.02
