app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-51,4,2938.933,2899.127,11755.732,11596.508
expt-app-43,5,2314.371,2273.066,11571.855,11365.329999999998
expt-app-73,6,612.64,502.238,3675.84,3013.428
expt-app-89,9,887.124,803.79,7984.116,7234.11
expt-app-86,4,790.774,692.207,3163.096,2768.828
expt-app-28,2,2211.3070000000002,2136.736,4422.6140000000005,4273.472
expt-app-77,9,857.692,800.177,7719.228,7201.593
expt-app-62,10,149.406,36.676,1494.06,366.76
expt-app-71,10,89.897,6.363,898.97,63.63
expt-app-75,9,122.92500000000001,65.353,1106.325,588.1769999999999
expt-app-16,9,318.569,222.125,2867.121,1999.125
expt-app-56,5,1178.3,1068.974,5891.5,5344.87
expt-app-69,4,446.121,364.229,1784.484,1456.916
expt-app-15,10,423.007,312.551,4230.07,3125.5099999999998
expt-app-65,6,1247.8029999999999,1218.598,7486.817999999999,7311.588
expt-app-5,7,1129.4070000000002,1032.203,7905.849000000001,7225.421
expt-app-91,10,86.117,30.912,861.1700000000001,309.12
expt-app-96,9,371.515,283.981,3343.6349999999998,2555.8289999999997
expt-app-64,7,448.159,382.421,3137.113,2676.947
expt-app-49,9,307.773,223.189,2769.9570000000003,2008.701
expt-app-87,9,704.735,608.331,6342.615,5474.979
expt-app-67,9,821.2890000000001,725.223,7391.601000000001,6527.007
expt-app-9,9,253.99500000000003,131.882,2285.9550000000004,1186.938
expt-app-37,6,1454.782,1412.142,8728.692,8472.852
expt-app-94,7,829.661,733.048,5807.6269999999995,5131.336
expt-app-97,5,3161.548,3121.899,15807.739999999998,15609.494999999999
expt-app-12,6,2722.48,2693.818,16334.880000000001,16162.908000000001
expt-app-74,10,135.80800000000002,39.419,1358.0800000000002,394.18999999999994
expt-app-21,2,1813.0459999999998,1774.109,3626.0919999999996,3548.218
expt-app-83,7,538.509,510.293,3769.563,3572.051
expt-app-0,5,2912.65,2813.617,14563.25,14068.085000000001
expt-app-39,7,1739.954,634.737,12179.678,4443.159
expt-app-7,5,536.455,525.396,2682.275,2626.9799999999996
expt-app-25,10,128.266,29.632,1282.6599999999999,296.32
expt-app-18,5,750.94,723.557,3754.7000000000003,3617.785
expt-app-29,8,190.586,161.558,1524.688,1292.464
expt-app-40,8,281.329,240.567,2250.632,1924.536
expt-app-11,5,3640.117,3574.252,18200.585,17871.26
expt-app-98,1,2370.9519999999998,2304.525,2370.9519999999998,2304.525
expt-app-2,9,893.208,882.179,8038.871999999999,7939.611
expt-app-80,8,607.885,554.001,4863.08,4432.008
expt-app-70,5,3713.437,3685.364,18567.184999999998,18426.82
expt-app-41,6,221.542,124.748,1329.252,748.488
expt-app-34,3,2406.923,2377.499,7220.768999999999,7132.496999999999
expt-app-76,5,873.933,832.303,4369.665,4161.515
expt-app-14,3,349.148,282.286,1047.444,846.858
expt-app-31,3,2227.906,2127.85,6683.718,6383.549999999999
expt-app-57,3,876.499,834.696,2629.4970000000003,2504.088
expt-app-6,10,398.017,315.958,3980.17,3159.5800000000004
expt-app-78,9,513.791,401.451,4624.119000000001,3613.059
expt-app-30,8,182.325,126.556,1458.6,1012.448
expt-app-84,8,865.937,824.372,6927.496,6594.976
expt-app-42,10,626.6350000000001,559.831,6266.350000000001,5598.31
expt-app-45,3,2520.417,2435.028,7561.251,7305.083999999999
expt-app-82,9,470.945,440.064,4238.505,3960.576
expt-app-55,4,1277.791,1221.657,5111.164,4886.628
expt-app-23,9,73.345,18.136,660.105,163.224
expt-app-26,9,1063.753,997.491,9573.777,8977.419
expt-app-66,6,1336.2160000000001,1250.464,8017.296,7502.784
expt-app-52,8,1870.185,1788.249,14961.48,14305.992
expt-app-47,5,395.95000000000005,312.559,1979.7500000000002,1562.795
expt-app-72,3,1551.196,1468.35,4653.588,4405.049999999999
expt-app-36,8,1494.982,1427.369,11959.856,11418.952
expt-app-48,8,691.44,676.841,5531.52,5414.728
expt-app-53,6,871.598,773.66,5229.588,4641.96
expt-app-61,10,90.945,55.928,909.4499999999999,559.28
expt-app-79,9,162.441,132.186,1461.969,1189.674
expt-app-46,6,2729.204,2684.801,16375.224000000002,16108.806
expt-app-4,5,2812.545,2782.117,14062.725,13910.585000000001
expt-app-63,10,298.19800000000004,230.886,2981.9800000000005,2308.86
expt-app-8,9,778.025,681.209,7002.224999999999,6130.880999999999
expt-app-58,6,751.758,712.239,4510.548000000001,4273.434
