app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-65,4,704.5630000000001,651.888,2818.2520000000004,2607.552
expt-app-58,4,2635.6259999999997,2486.072,10542.503999999999,9944.288
expt-app-21,9,456.229,321.669,4106.061,2895.0209999999997
expt-app-1,5,1396.595,1261.462,6982.975,6307.3099999999995
expt-app-91,1,1585.479,1428.997,1585.479,1428.997
expt-app-11,10,106.33800000000001,19.736,1063.38,197.36
expt-app-37,3,1183.681,1034.559,3551.043,3103.6769999999997
expt-app-41,7,192.64700000000002,126.227,1348.5290000000002,883.589
expt-app-49,5,895.276,820.303,4476.38,4101.515
expt-app-50,5,690.879,585.472,3454.395,2927.3599999999997
expt-app-4,9,74.298,8.223,668.682,74.007
expt-app-3,3,964.562,843.385,2893.686,2530.1549999999997
expt-app-74,9,584.167,464.049,5257.503000000001,4176.441
expt-app-30,3,3297.4649999999997,3161.206,9892.394999999999,9483.618
expt-app-16,5,1100.3799999999999,980.078,5501.9,4900.389999999999
expt-app-57,5,519.423,415.336,2597.115,2076.6800000000003
expt-app-80,9,146.94299999999998,17.005,1322.4869999999999,153.045
expt-app-12,7,622.1229999999999,486.579,4354.861,3406.053
expt-app-60,5,1348.457,1227.453,6742.285000000001,6137.264999999999
expt-app-24,8,267.05,187.695,2136.4,1501.56
expt-app-35,8,180.867,59.765,1446.936,478.12
expt-app-25,7,791.67,682.055,5541.69,4774.384999999999
expt-app-64,8,273.09499999999997,144.182,2184.7599999999998,1153.456
expt-app-47,6,315.388,248.706,1892.328,1492.2359999999999
expt-app-75,7,655.063,550.091,4585.441,3850.637
expt-app-94,4,1054.558,980.322,4218.232,3921.288
expt-app-0,6,967.053,911.857,5802.318,5471.142
expt-app-83,7,393.104,262.973,2751.728,1840.8110000000001
expt-app-96,10,232.404,152.901,2324.04,1529.0100000000002
expt-app-20,10,70.782,65.711,707.8199999999999,657.11
expt-app-28,4,1304.575,1155.162,5218.3,4620.648
expt-app-59,10,316.88,204.511,3168.8,2045.11
expt-app-2,8,151.13899999999998,85.062,1209.1119999999999,680.496
expt-app-52,1,3653.8050000000003,3503.69,3653.8050000000003,3503.69
expt-app-51,9,86.255,7.444,776.295,66.996
expt-app-67,6,303.016,197.988,1818.096,1187.9279999999999
expt-app-34,4,1100.0339999999999,1020.891,4400.1359999999995,4083.564
expt-app-92,9,214.35299999999998,65.511,1929.177,589.5989999999999
expt-app-86,8,709.438,589.385,5675.504,4715.08
expt-app-87,5,340.89599999999996,219.931,1704.4799999999998,1099.655
expt-app-79,1,784.06,669.85,784.06,669.85
expt-app-7,6,280.158,175.835,1680.948,1055.01
expt-app-27,8,380.147,275.706,3041.176,2205.648
expt-app-44,5,1308.158,1165.318,6540.789999999999,5826.59
expt-app-38,10,201.261,45.514,2012.61,455.14000000000004
expt-app-40,10,209.03199999999998,73.85,2090.3199999999997,738.5
expt-app-97,6,674.7959999999999,607.707,4048.776,3646.242
expt-app-26,8,830.036,717.54,6640.288,5740.32
expt-app-15,9,478.485,343.22,4306.365,3088.9800000000005
expt-app-10,2,3579.462,3458.46,7158.924,6916.92
expt-app-33,9,142.965,138.046,1286.685,1242.414
expt-app-99,5,899.398,887.892,4496.99,4439.46
expt-app-61,8,622.294,517.515,4978.352,4140.12
expt-app-6,6,736.884,669.88,4421.304,4019.2799999999997
expt-app-39,4,29.931,24.954,119.724,99.816
expt-app-69,4,501.193,434.052,2004.772,1736.208
expt-app-13,5,1075.083,989.203,5375.415000000001,4946.014999999999
expt-app-23,3,1492.839,1335.696,4478.517,4007.0879999999997
expt-app-76,10,106.965,95.81,1069.65,958.1
expt-app-90,3,544.086,539.667,1632.258,1619.0010000000002
expt-app-48,5,415.46,340.601,2077.2999999999997,1703.005
expt-app-32,4,245.84,241.011,983.36,964.044
expt-app-84,7,142.787,8.283,999.509,57.980999999999995
expt-app-8,7,311.366,304.334,2179.562,2130.338
expt-app-22,3,1070.1940000000002,935.12,3210.5820000000003,2805.36
expt-app-98,10,57.812000000000005,53.179,578.12,531.79
