app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-85,2,2495.159,2344.849,4990.318,4689.698
expt-app-25,3,1748.787,1663.224,5246.361,4989.672
expt-app-75,1,2325.8770000000004,2257.509,2325.8770000000004,2257.509
expt-app-41,10,273.41900000000004,194.498,2734.1900000000005,1944.98
expt-app-49,2,1196.693,1060.975,2393.386,2121.95
expt-app-27,3,385.261,264.767,1155.7830000000001,794.3009999999999
expt-app-42,7,540.0899999999999,404.533,3780.629999999999,2831.731
expt-app-55,9,196.613,130.071,1769.517,1170.639
expt-app-7,9,144.625,85.131,1301.625,766.179
expt-app-38,2,1010.474,943.85,2020.948,1887.7
expt-app-2,1,1533.265,1528.201,1533.265,1528.201
expt-app-21,10,177.206,56.987,1772.06,569.87
expt-app-81,8,84.169,8.658,673.352,69.264
expt-app-13,9,343.659,238.76,3092.931,2148.84
expt-app-67,4,626.5110000000001,554.172,2506.0440000000003,2216.688
expt-app-65,8,500.24100000000004,344.917,4001.9280000000003,2759.336
expt-app-20,4,563.6210000000001,497.084,2254.4840000000004,1988.336
expt-app-29,5,954.483,901.723,4772.415,4508.615
expt-app-56,6,113.198,34.583,679.188,207.498
expt-app-60,9,437.979,333.199,3941.8109999999997,2998.791
expt-app-87,10,147.585,43.463,1475.8500000000001,434.63
expt-app-53,6,747.337,605.113,4484.022,3630.6780000000003
expt-app-74,5,658.383,653.267,3291.915,3266.335
expt-app-52,4,962.341,883.2,3849.364,3532.8
expt-app-4,3,731.6049999999999,665.74,2194.8149999999996,1997.22
expt-app-82,3,683.766,480.829,2051.298,1442.487
expt-app-18,9,461.276,326.093,4151.484,2934.837
expt-app-63,9,189.001,122.174,1701.009,1099.566
expt-app-0,2,959.073,898.217,1918.146,1796.434
expt-app-9,10,205.327,126.182,2053.27,1261.82
expt-app-98,9,256.743,190.77,2310.687,1716.93
expt-app-92,8,181.248,173.322,1449.984,1386.576
expt-app-70,3,774.2750000000001,721.705,2322.8250000000003,2165.1150000000002
expt-app-6,10,126.00500000000001,21.88,1260.0500000000002,218.79999999999998
expt-app-77,2,1244.076,1165.443,2488.152,2330.886
expt-app-76,6,302.104,222.98,1812.6239999999998,1337.8799999999999
expt-app-10,7,227.238,160.853,1590.666,1125.971
expt-app-36,4,837.4359999999999,758.257,3349.7439999999997,3033.028
expt-app-80,4,710.31,597.034,2841.24,2388.136
expt-app-11,6,1168.18,1063.509,7009.08,6381.054
expt-app-64,6,927.06,785.262,5562.36,4711.572
expt-app-15,2,1372.814,1268.378,2745.628,2536.756
expt-app-73,4,1074.7359999999999,1008.063,4298.9439999999995,4032.252
expt-app-68,5,621.2149999999999,464.65,3106.075,2323.25
expt-app-3,6,686.56,582.275,4119.36,3493.6499999999996
expt-app-94,7,485.066,405.841,3395.462,2840.887
expt-app-93,3,1150.383,1146.041,3451.1490000000003,3438.1229999999996
expt-app-31,7,260.021,186.749,1820.1470000000002,1307.243
expt-app-28,5,764.288,712.212,3821.44,3561.06
expt-app-83,1,1287.79,1221.057,1287.79,1221.057
expt-app-97,3,1780.865,1776.049,5342.595,5328.147
expt-app-61,5,637.02,481.305,3185.1,2406.525
expt-app-1,10,107.86999999999999,29.313,1078.6999999999998,293.13
expt-app-57,5,1357.713,1279.154,6788.565,6395.77
expt-app-35,3,796.4480000000001,783.641,2389.344,2350.923
expt-app-16,4,855.494,699.389,3421.976,2797.556
expt-app-34,10,103.352,98.822,1033.52,988.22
expt-app-90,4,1057.884,978.497,4231.536,3913.988
expt-app-79,5,128.84799999999998,23.476,644.2399999999999,117.38
expt-app-88,4,1061.04,925.654,4244.16,3702.616
expt-app-17,6,602.237,597.566,3613.4219999999996,3585.396
expt-app-5,8,119.942,53.17,959.536,425.36
expt-app-30,8,421.71500000000003,309.472,3373.7200000000003,2475.776
expt-app-59,8,475.266,325.918,3802.128,2607.344
expt-app-44,3,1696.936,1576.402,5090.808,4729.206
expt-app-62,3,1331.672,1253.047,3995.016,3759.141
expt-app-14,4,563.2570000000001,427.66,2253.0280000000002,1710.64
expt-app-37,9,220.32399999999998,153.174,1982.916,1378.566
expt-app-33,7,930.609,810.121,6514.263,5670.847
expt-app-58,9,277.594,201.077,2498.346,1809.693
expt-app-50,3,1766.566,1714.137,5299.698,5142.411
expt-app-12,5,393.19300000000004,272.339,1965.9650000000001,1361.695
expt-app-95,3,1426.6190000000001,1291.443,4279.857,3874.3289999999997
expt-app-78,10,20.469,14.829,204.69,148.29000000000002
expt-app-26,7,492.783,427.116,3449.481,2989.812
expt-app-8,5,807.2510000000001,652.454,4036.2550000000006,3262.2699999999995
expt-app-72,1,1008.2990000000001,858.748,1008.2990000000001,858.748
expt-app-19,3,2010.6929999999998,1932.037,6032.079,5796.111
expt-app-54,7,480.547,402.25,3363.829,2815.75
expt-app-91,4,505.04800000000006,354.058,2020.1920000000002,1416.232
expt-app-40,10,89.649,17.198,896.49,171.98000000000002
expt-app-46,6,198.427,132.11,1190.562,792.6600000000001
expt-app-89,3,1230.323,1177.709,3690.969,3533.1270000000004
expt-app-47,9,212.885,134.628,1915.965,1211.6519999999998
