app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-42,10,219.859,201.204,2198.59,2012.04
expt-app-9,9,322.94,223.92,2906.46,2015.28
expt-app-47,5,297.85200000000003,200.603,1489.2600000000002,1003.0150000000001
expt-app-62,10,73.81,6.962,738.1,69.62
expt-app-74,10,79.99000000000001,24.686,799.9000000000001,246.86
expt-app-91,10,95.383,10.842,953.8299999999999,108.42
expt-app-78,9,544.7070000000001,451.256,4902.363000000001,4061.3039999999996
expt-app-71,10,23.05,11.957,230.5,119.57000000000001
expt-app-61,10,76.149,19.814,761.49,198.14
expt-app-25,10,27.473000000000003,16.823,274.73,168.23000000000002
expt-app-23,9,84.86200000000001,28.064,763.758,252.576
expt-app-96,9,220.065,161.402,1980.585,1452.618
expt-app-79,9,242.961,171.457,2186.6490000000003,1543.1129999999998
expt-app-41,6,133.982,104.591,803.892,627.5459999999999
expt-app-89,9,398.46500000000003,341.522,3586.1850000000004,3073.698
expt-app-75,9,79.601,14.037,716.409,126.33300000000001
expt-app-15,10,229.12099999999998,184.205,2291.21,1842.0500000000002
expt-app-30,8,410.784,296.728,3286.272,2373.824
expt-app-87,9,444.70500000000004,334.201,4002.3450000000003,3007.809
