app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,8,306.93199999999996,191.287,2455.4559999999997,1530.296
expt-app-15,9,339.04499999999996,262.562,3051.4049999999997,2363.058
expt-app-51,9,95.792,5.654,862.128,50.885999999999996
expt-app-20,10,127.93199999999999,14.497,1279.32,144.97
expt-app-59,10,355.01700000000005,303.579,3550.1700000000005,3035.79
expt-app-96,10,336.62199999999996,259.116,3366.2199999999993,2591.16
expt-app-80,9,146.71,17.136,1320.39,154.224
expt-app-38,10,53.918,38.813,539.18,388.13
expt-app-35,8,133.736,59.679,1069.888,477.432
expt-app-92,9,135.053,55.487,1215.4769999999999,499.38300000000004
expt-app-76,10,460.159,328.046,4601.59,3280.46
expt-app-33,9,368.405,236.864,3315.6449999999995,2131.776
expt-app-11,10,158.122,8.299,1581.2200000000003,82.99
expt-app-4,9,145.541,4.294,1309.869,38.645999999999994
expt-app-98,10,216.523,56.878,2165.23,568.78
expt-app-83,7,334.52700000000004,275.146,2341.6890000000003,1926.0220000000002
expt-app-84,7,168.02800000000002,7.95,1176.1960000000001,55.65
expt-app-21,9,570.115,493.265,5131.035,4439.385
expt-app-39,4,159.652,14.141,638.608,56.564
expt-app-40,10,87.465,73.154,874.6500000000001,731.54
