app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-8,7,345.31899999999996,266.442,2417.2329999999997,1865.094
expt-app-48,5,397.754,276.842,1988.77,1384.21
expt-app-23,3,987.1339999999999,982.096,2961.4019999999996,2946.288
expt-app-67,6,213.155,78.393,1278.93,470.358
expt-app-7,6,175.759,123.298,1054.5539999999999,739.788
expt-app-10,2,2360.44,2307.836,4720.88,4615.672
expt-app-35,8,292.39,188.45,2339.12,1507.6
expt-app-90,3,572.801,506.074,1718.4030000000002,1518.222
expt-app-49,5,437.512,422.981,2187.56,2114.9049999999997
expt-app-25,7,206.857,145.217,1447.999,1016.5190000000001
expt-app-52,1,2216.225,2136.977,2216.225,2136.977
expt-app-99,5,769.7270000000001,648.734,3848.635,3243.67
expt-app-42,1,1585.489,1470.672,1585.489,1470.672
expt-app-79,1,423.507,356.789,423.507,356.789
expt-app-9,1,1650.3080000000002,1583.532,1650.3080000000002,1583.532
expt-app-27,8,367.60900000000004,301.035,2940.8720000000003,2408.28
expt-app-87,5,388.748,310.362,1943.74,1551.8100000000002
expt-app-11,10,118.754,14.312,1187.54,143.12
expt-app-59,10,287.352,183.335,2873.5199999999995,1833.3500000000001
expt-app-16,5,1045.2140000000002,914.191,5226.070000000001,4570.955
expt-app-65,4,619.2220000000001,614.504,2476.8880000000004,2458.016
expt-app-33,9,143.248,56.564,1289.232,509.076
expt-app-40,10,177.344,42.442,1773.44,424.42
expt-app-3,3,847.851,774.678,2543.553,2324.034
expt-app-24,8,495.57800000000003,361.943,3964.6240000000003,2895.544
expt-app-34,4,919.4780000000001,775.594,3677.9120000000003,3102.376
expt-app-6,6,471.724,466.398,2830.344,2798.388
expt-app-39,4,130.17000000000002,16.436,520.6800000000001,65.744
expt-app-91,1,985.374,980.346,985.374,980.346
expt-app-22,3,584.78,506.321,1754.34,1518.9630000000002
expt-app-98,10,171.57,48.843,1715.6999999999998,488.43000000000006
expt-app-73,2,481.351,402.473,962.702,804.946
expt-app-44,5,942.806,807.118,4714.030000000001,4035.59
expt-app-4,9,81.22,2.811,730.98,25.299
expt-app-74,9,370.70399999999995,255.775,3336.3359999999993,2301.975
expt-app-69,4,412.947,351.306,1651.788,1405.224
expt-app-2,8,188.362,113.457,1506.896,907.656
expt-app-75,7,342.63500000000005,337.598,2398.445,2363.186
expt-app-86,8,583.526,448.211,4668.208,3585.688
expt-app-84,7,142.754,7.804,999.2779999999999,54.628
expt-app-96,10,168.625,89.439,1686.25,894.3899999999999
expt-app-18,2,597.592,592.915,1195.184,1185.83
expt-app-83,7,214.844,147.983,1503.908,1035.881
expt-app-21,9,531.1080000000001,395.947,4779.972000000001,3563.523
expt-app-58,4,1958.757,1844.221,7835.028,7376.884
expt-app-76,10,412.721,277.431,4127.21,2774.31
expt-app-41,7,274.697,195.896,1922.879,1371.272
expt-app-12,7,252.031,174.629,1764.217,1222.403
expt-app-53,2,1398.4769999999999,1323.789,2796.9539999999997,2647.578
expt-app-57,5,290.671,224.439,1453.355,1122.195
expt-app-92,9,64.718,59.922,582.462,539.298
expt-app-32,4,321.161,269.336,1284.644,1077.344
expt-app-15,9,211.79899999999998,132.287,1906.1909999999998,1190.583
expt-app-64,8,282.77200000000005,221.474,2262.1760000000004,1771.792
expt-app-51,9,32.169999999999995,27.348,289.53,246.132
expt-app-60,5,497.30400000000003,430.755,2486.52,2153.775
expt-app-97,6,327.58,262.025,1965.48,1572.1499999999999
expt-app-38,10,111.724,39.175,1117.24,391.75
expt-app-13,5,786.138,650.55,3930.69,3252.75
expt-app-37,3,702.1619999999999,634.826,2106.486,1904.478
expt-app-50,5,607.708,528.776,3038.54,2643.8799999999997
expt-app-47,6,155.841,143.651,935.046,861.9060000000001
expt-app-80,9,141.711,28.407,1275.3990000000001,255.663
expt-app-72,2,268.277,201.574,536.554,403.148
expt-app-30,3,2307.258,2202.138,6921.773999999999,6606.414
