app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-91,6,593.482,458.767,3560.892,2752.602
expt-app-26,8,692.123,679.511,5536.984,5436.088
expt-app-70,5,1065.9579999999999,917.341,5329.789999999999,4586.705
expt-app-10,4,743.1959999999999,730.606,2972.7839999999997,2922.424
expt-app-42,9,332.715,212.213,2994.435,1909.917
expt-app-13,9,331.24399999999997,211.086,2981.196,1899.7740000000001
expt-app-6,8,122.517,70.722,980.136,565.776
expt-app-40,9,574.765,514.247,5172.885,4628.223
expt-app-85,9,458.471,391.947,4126.239,3527.523
expt-app-38,8,274.96,154.915,2199.68,1239.32
expt-app-55,4,405.77200000000005,355.12,1623.0880000000002,1420.48
expt-app-0,2,1235.0529999999999,1168.271,2470.1059999999998,2336.542
expt-app-20,5,451.87300000000005,377.875,2259.3650000000002,1889.375
expt-app-4,10,123.163,18.941,1231.6299999999999,189.41
expt-app-54,9,165.806,79.314,1492.2540000000001,713.8259999999999
expt-app-56,10,182.566,78.233,1825.66,782.33
expt-app-92,3,834.613,829.869,2503.839,2489.607
expt-app-75,7,309.33,230.663,2165.31,1614.641
expt-app-98,10,178.132,91.061,1781.3200000000002,910.6100000000001
expt-app-76,4,612.7439999999999,533.68,2450.9759999999997,2134.72
expt-app-49,4,660.419,601.331,2641.676,2405.324
expt-app-36,8,561.1129999999999,556.782,4488.9039999999995,4454.256
expt-app-12,7,340.366,280.852,2382.562,1965.964
expt-app-11,2,660.805,556.233,1321.61,1112.466
expt-app-50,7,356.98400000000004,302.16,2498.8880000000004,2115.1200000000003
expt-app-61,10,85.637,33.302,856.37,333.02
expt-app-73,5,698.134,693.309,3490.67,3466.545
expt-app-3,9,268.81,148.373,2419.29,1335.357
expt-app-39,9,313.43399999999997,224.977,2820.906,2024.7930000000001
expt-app-89,8,532.317,465.734,4258.536,3725.872
expt-app-64,4,970.3770000000001,821.33,3881.5080000000003,3285.32
expt-app-63,3,894.1550000000001,827.945,2682.465,2483.835
expt-app-8,9,374.077,254.172,3366.693,2287.548
expt-app-99,1,1437.218,1293.131,1437.218,1293.131
expt-app-15,10,277.409,173.321,2774.09,1733.21
expt-app-80,8,291.031,281.397,2328.248,2251.176
expt-app-18,9,142.744,11.528,1284.696,103.75200000000001
expt-app-31,10,152.281,32.22,1522.81,322.2
expt-app-41,10,189.913,85.501,1899.13,855.01
expt-app-95,10,190.508,86.129,1905.0800000000002,861.2900000000001
expt-app-46,6,591.675,587.222,3550.0499999999997,3523.332
expt-app-86,2,1189.091,1121.966,2378.182,2243.932
expt-app-19,4,554.022,449.245,2216.088,1796.98
expt-app-29,9,185.249,58.688,1667.241,528.192
expt-app-47,8,311.0,176.507,2488.0,1412.056
expt-app-30,4,1223.336,1156.031,4893.344,4624.124
expt-app-43,9,83.348,16.89,750.132,152.01
expt-app-71,6,409.238,274.44,2455.428,1646.6399999999999
expt-app-52,9,132.479,128.111,1192.3110000000001,1152.9989999999998
expt-app-32,9,159.149,55.289,1432.341,497.601
expt-app-45,3,1583.192,1572.805,4749.576,4718.415
expt-app-82,10,220.287,77.889,2202.87,778.89
expt-app-68,1,1760.273,1681.235,1760.273,1681.235
expt-app-77,1,1489.232,1423.257,1489.232,1423.257
expt-app-17,3,743.128,738.591,2229.384,2215.773
expt-app-97,10,100.485,33.689,1004.85,336.89
expt-app-22,6,859.3199999999999,847.832,5155.92,5086.992
expt-app-27,1,1533.381,1465.96,1533.381,1465.96
expt-app-90,7,358.274,279.101,2507.918,1953.7069999999999
expt-app-33,7,229.25300000000001,120.128,1604.7710000000002,840.896
expt-app-37,10,93.372,14.938,933.72,149.38
expt-app-83,1,1588.81,1522.411,1588.81,1522.411
expt-app-24,8,194.168,73.829,1553.344,590.632
expt-app-94,9,200.625,188.774,1805.625,1698.966
expt-app-14,2,496.855,410.589,993.71,821.178
expt-app-16,10,38.932,35.035,389.32000000000005,350.34999999999997
expt-app-72,8,252.085,147.875,2016.68,1183.0
expt-app-87,2,1410.194,1405.305,2820.388,2810.61
expt-app-58,10,137.881,18.09,1378.81,180.9
expt-app-44,6,560.08,493.536,3360.4800000000005,2961.216
expt-app-48,4,1088.279,1083.424,4353.116,4333.696
expt-app-7,9,73.218,61.979,658.962,557.811
expt-app-35,5,1165.872,1031.008,5829.360000000001,5155.04
expt-app-28,7,171.43900000000002,167.549,1200.073,1172.843
expt-app-62,10,134.244,29.978,1342.44,299.78000000000003
expt-app-21,2,1001.04,922.82,2002.08,1845.64
expt-app-79,7,901.8230000000001,752.64,6312.761,5268.48
