app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-51,9,603.902,489.443,5435.118,4404.987
expt-app-53,1,2459.352,2380.723,2459.352,2380.723
expt-app-33,7,441.798,292.68,3092.5860000000002,2048.76
expt-app-47,8,581.47,476.05,4651.76,3808.4
expt-app-14,10,285.617,218.87,2856.17,2188.7
expt-app-92,5,1725.9150000000002,1659.46,8629.575,8297.3
expt-app-2,3,1341.055,1261.611,4023.165,3784.8330000000005
expt-app-8,7,883.517,740.26,6184.619000000001,5181.82
expt-app-40,10,369.955,221.1,3699.5499999999997,2211.0
expt-app-39,5,363.52299999999997,297.313,1817.6149999999998,1486.565
expt-app-17,5,1663.952,1528.339,8319.76,7641.695
expt-app-11,6,341.655,254.928,2049.93,1529.568
expt-app-4,10,76.549,71.783,765.49,717.83
expt-app-87,4,1708.7179999999998,1550.635,6834.871999999999,6202.54
expt-app-20,6,407.32800000000003,328.961,2443.9680000000003,1973.766
expt-app-12,10,77.096,10.456,770.96,104.56
expt-app-30,10,183.65300000000002,131.968,1836.5300000000002,1319.6799999999998
expt-app-66,8,993.122,888.92,7944.976,7111.36
expt-app-50,4,2424.614,2411.584,9698.456,9646.336
expt-app-37,5,1332.6299999999999,1183.257,6663.15,5916.285
expt-app-38,6,183.318,63.04,1099.9080000000001,378.24
expt-app-19,5,1462.501,1326.993,7312.505,6634.965
expt-app-93,9,427.694,292.482,3849.246,2632.338
expt-app-0,8,593.761,449.037,4750.088,3592.296
expt-app-89,7,695.806,682.939,4870.642,4780.572999999999
expt-app-69,2,2157.058,2021.884,4314.116,4043.768
expt-app-61,3,1981.568,1860.403,5944.704,5581.209
expt-app-99,9,596.343,447.821,5367.0869999999995,4030.389
expt-app-46,9,883.6239999999999,795.99,7952.615999999999,7163.91
expt-app-63,5,410.844,344.243,2054.22,1721.215
expt-app-77,8,1125.354,1120.461,9002.832,8963.688
expt-app-31,9,400.214,315.038,3601.926,2835.342
expt-app-95,4,1230.464,1110.133,4921.856,4440.532
expt-app-84,9,124.494,45.948,1120.446,413.532
expt-app-62,3,1791.974,1786.391,5375.922,5359.173000000001
expt-app-10,10,132.526,44.086,1325.2600000000002,440.86
expt-app-32,6,527.576,523.532,3165.456,3141.192
expt-app-91,6,1195.762,1091.119,7174.572,6546.714
expt-app-52,5,321.315,201.367,1606.575,1006.8349999999999
expt-app-72,3,1930.882,1925.81,5792.646000000001,5777.43
expt-app-86,6,351.463,272.648,2108.7780000000002,1635.8880000000001
expt-app-60,5,272.37699999999995,142.091,1361.8849999999998,710.455
expt-app-75,8,1089.7259999999999,1010.306,8717.807999999999,8082.448
expt-app-21,4,974.973,870.255,3899.892,3481.02
expt-app-71,10,83.928,30.897,839.28,308.96999999999997
expt-app-23,10,127.051,22.818,1270.51,228.18
expt-app-76,10,36.415000000000006,32.041,364.1500000000001,320.40999999999997
expt-app-16,5,394.476,389.298,1972.38,1946.49
expt-app-96,2,3182.929,3109.563,6365.858,6219.126
expt-app-7,9,811.939,691.01,7307.451,6219.09
expt-app-79,7,1224.742,1158.153,8573.194,8107.071
expt-app-85,6,628.1529999999999,617.933,3768.9179999999997,3707.598
expt-app-48,2,2080.0969999999998,1974.828,4160.1939999999995,3949.656
expt-app-97,8,830.347,681.104,6642.776,5448.832
expt-app-65,2,3502.878,3367.678,7005.756,6735.356
expt-app-44,9,618.585,513.618,5567.265,4622.562000000001
expt-app-55,2,1855.262,1776.482,3710.524,3552.964
expt-app-36,10,209.9,68.593,2099.0,685.9300000000001
expt-app-9,6,1275.369,1170.382,7652.214,7022.292
expt-app-25,5,429.769,351.131,2148.8450000000003,1755.6549999999997
expt-app-18,9,237.519,103.1,2137.6710000000003,927.9
expt-app-5,2,2687.0989999999997,2582.141,5374.197999999999,5164.282
expt-app-15,5,1749.131,1737.519,8745.655,8687.595
expt-app-74,3,387.23600000000005,308.854,1161.708,926.5619999999999
expt-app-83,6,478.574,342.75,2871.444,2056.5
expt-app-49,9,552.081,400.167,4968.729,3601.5029999999997
expt-app-6,8,167.799,162.797,1342.392,1302.376
expt-app-22,9,332.48299999999995,204.011,2992.3469999999998,1836.099
expt-app-34,6,854.916,775.976,5129.496,4655.856
expt-app-64,2,2532.735,2453.536,5065.47,4907.072
expt-app-81,9,268.004,200.513,2412.036,1804.617
expt-app-28,10,72.0,19.602,720.0,196.02
expt-app-3,4,1916.846,1837.965,7667.384,7351.86
expt-app-57,6,782.1129999999999,661.381,4692.678,3968.286
expt-app-94,10,264.281,198.08,2642.81,1980.8000000000002
expt-app-90,4,860.953,740.388,3443.812,2961.552
expt-app-27,3,1943.9630000000002,1890.865,5831.889000000001,5672.595
expt-app-59,3,857.768,845.733,2573.304,2537.1989999999996
expt-app-43,8,672.671,606.157,5381.368,4849.256
expt-app-88,10,147.531,32.902,1475.31,329.02
expt-app-26,3,1225.967,1121.791,3677.9010000000003,3365.3729999999996
expt-app-80,5,1590.298,1585.126,7951.49,7925.63
expt-app-24,2,2523.2169999999996,2387.176,5046.433999999999,4774.352
expt-app-56,5,1810.757,1743.694,9053.785,8718.47
expt-app-73,9,176.839,27.222,1591.551,244.99800000000002
expt-app-78,7,316.747,250.557,2217.2290000000003,1753.899
expt-app-70,6,1605.244,1500.133,9631.464,9000.798
