app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-43,4,913.652,778.426,3654.608,3113.704
expt-app-94,9,181.972,81.716,1637.748,735.444
expt-app-60,8,612.306,506.815,4898.448,4054.52
expt-app-76,6,528.771,394.189,3172.6259999999997,2365.134
expt-app-49,5,958.604,823.887,4793.02,4119.4349999999995
expt-app-73,5,1655.286,1568.599,8276.43,7842.995
expt-app-57,9,240.446,174.151,2164.014,1567.3590000000002
expt-app-64,7,964.0379999999999,859.714,6748.266,6017.9980000000005
expt-app-68,2,2238.3410000000003,2185.134,4476.682000000001,4370.268
expt-app-11,6,288.302,276.253,1729.8120000000001,1657.518
expt-app-44,6,1146.103,1140.836,6876.618,6845.016
expt-app-96,7,75.521,70.793,528.647,495.55100000000004
expt-app-55,10,129.729,8.586,1297.2900000000002,85.86
expt-app-19,7,337.42299999999994,250.986,2361.961,1756.902
expt-app-77,5,1773.0079999999998,1706.138,8865.039999999999,8530.689999999999
expt-app-17,9,149.355,37.428,1344.195,336.852
expt-app-83,7,447.747,304.0,3134.2290000000003,2128.0
expt-app-14,8,163.517,28.5,1308.136,228.0
expt-app-58,4,907.054,801.93,3628.216,3207.72
expt-app-66,7,362.027,283.144,2534.189,1982.008
expt-app-59,7,44.007,38.584,308.049,270.088
expt-app-79,5,820.72,741.786,4103.6,3708.93
expt-app-28,6,160.20999999999998,155.348,961.2599999999999,932.0880000000001
expt-app-21,8,174.988,122.714,1399.904,981.712
expt-app-84,10,157.895,23.111,1578.95,231.11
expt-app-74,2,1111.825,1107.611,2223.65,2215.222
expt-app-93,10,259.778,172.993,2597.78,1729.9299999999998
expt-app-52,2,1722.732,1655.688,3445.464,3311.376
expt-app-9,5,170.588,91.64,852.9399999999999,458.2
expt-app-65,6,804.648,737.359,4827.888,4424.154
expt-app-32,7,120.777,116.071,845.439,812.497
expt-app-39,7,892.166,825.845,6245.162,5780.915
expt-app-36,9,539.701,427.4,4857.309,3846.6
expt-app-62,9,366.13,223.542,3295.17,2011.878
expt-app-72,10,106.526,40.108,1065.26,401.08
expt-app-2,10,156.20800000000003,52.013,1562.0800000000004,520.13
expt-app-31,2,1770.06,1703.301,3540.12,3406.602
expt-app-33,4,979.919,900.929,3919.676,3603.716
expt-app-54,9,279.86,216.643,2518.7400000000002,1949.787
expt-app-98,7,398.508,313.905,2789.556,2197.335
expt-app-91,10,84.76100000000001,17.824,847.6100000000001,178.24
expt-app-71,6,125.05,121.149,750.3,726.894
expt-app-63,8,139.588,67.526,1116.704,540.208
expt-app-47,7,274.91900000000004,134.749,1924.4330000000002,943.2429999999999
expt-app-8,9,536.745,470.439,4830.705,4233.951
expt-app-35,7,149.004,65.982,1043.028,461.874
expt-app-56,9,239.847,103.585,2158.623,932.265
expt-app-26,5,788.845,652.78,3944.2250000000004,3263.8999999999996
expt-app-69,5,733.705,666.866,3668.525,3334.33
expt-app-70,6,517.851,439.919,3107.1059999999998,2639.514
expt-app-37,9,130.04,64.082,1170.36,576.7379999999999
expt-app-81,4,590.701,511.892,2362.804,2047.568
expt-app-48,7,499.368,370.935,3495.576,2596.545
expt-app-16,7,454.609,376.185,3182.263,2633.295
expt-app-78,8,783.453,647.915,6267.624,5183.32
expt-app-50,10,124.564,10.38,1245.6399999999999,103.80000000000001
expt-app-25,6,959.182,880.218,5755.092000000001,5281.308
expt-app-34,8,205.838,202.122,1646.704,1616.976
expt-app-4,6,723.3530000000001,644.014,4340.118,3864.084
expt-app-41,2,2531.176,2410.067,5062.352,4820.134
expt-app-0,4,1408.7050000000002,1334.087,5634.820000000001,5336.348
expt-app-12,9,650.4799999999999,521.818,5854.319999999999,4696.362
expt-app-95,5,573.579,494.997,2867.8949999999995,2474.985
expt-app-90,8,164.977,30.114,1319.816,240.912
expt-app-38,9,114.205,47.025,1027.845,423.22499999999997
expt-app-24,6,650.557,515.105,3903.342,3090.63
expt-app-80,2,2658.115,2590.914,5316.23,5181.828
expt-app-6,5,534.902,447.448,2674.51,2237.24
expt-app-10,6,772.463,705.766,4634.778,4234.596
expt-app-99,4,985.441,978.549,3941.764,3914.196
expt-app-97,5,301.59799999999996,231.931,1507.9899999999998,1159.655
expt-app-15,7,692.523,562.697,4847.661,3938.879
expt-app-22,8,714.85,635.548,5718.8,5084.384
expt-app-1,7,528.002,449.774,3696.0139999999997,3148.418
expt-app-7,5,804.081,725.804,4020.405,3629.02
