app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-5,9,485.36899999999997,306.0,4368.321,2754.0
expt-app-8,4,1981.05,1902.219,7924.2,7608.876
expt-app-37,1,2096.969,2017.491,2096.969,2017.491
expt-app-73,8,229.074,163.33,1832.592,1306.64
expt-app-39,8,151.19,78.555,1209.52,628.44
expt-app-31,10,75.73100000000001,9.638,757.3100000000001,96.38
expt-app-10,10,484.762,335.935,4847.62,3359.35
expt-app-26,6,1090.5810000000001,955.154,6543.486000000001,5730.924
expt-app-38,9,121.334,8.998,1092.006,80.982
expt-app-88,5,723.631,644.967,3618.1549999999997,3224.835
expt-app-53,8,430.942,295.829,3447.536,2366.632
expt-app-7,9,637.6500000000001,483.208,5738.85,4348.872
expt-app-74,3,2039.704,1904.428,6119.112,5713.284000000001
expt-app-75,4,1113.115,993.052,4452.46,3972.208
expt-app-15,4,1992.95,1888.414,7971.8,7553.656
expt-app-34,6,667.443,615.2,4004.658,3691.2000000000003
expt-app-43,7,668.138,656.452,4676.966,4595.164
expt-app-90,6,1515.276,1448.571,9091.656,8691.426
expt-app-61,2,3189.857,3111.003,6379.714,6222.006
expt-app-60,10,120.942,54.441,1209.4199999999998,544.4100000000001
expt-app-69,1,1277.213,1192.422,1277.213,1192.422
expt-app-63,3,2307.57,2203.059,6922.710000000001,6609.177000000001
expt-app-59,2,4226.099999999999,4159.168,8452.199999999999,8318.336
expt-app-48,5,587.733,577.269,2938.665,2886.3450000000003
expt-app-23,6,966.979,846.009,5801.874,5076.054
expt-app-72,10,28.708000000000002,16.604,287.08000000000004,166.04
expt-app-1,10,135.291,7.366,1352.9099999999999,73.66
expt-app-80,9,174.268,53.481,1568.412,481.329
expt-app-6,7,542.781,407.309,3799.4669999999996,2851.163
expt-app-54,10,235.34,222.957,2353.4,2229.5699999999997
expt-app-4,7,909.115,842.346,6363.805,5896.4220000000005
expt-app-30,7,899.659,820.641,6297.613,5744.487
expt-app-33,9,454.128,388.273,4087.152,3494.4570000000003
expt-app-50,5,914.965,862.19,4574.825,4310.950000000001
expt-app-42,6,167.129,154.21,1002.7739999999999,925.26
expt-app-95,4,1430.2459999999999,1364.002,5720.9839999999995,5456.008
expt-app-11,1,1194.1470000000002,1189.261,1194.1470000000002,1189.261
expt-app-29,1,1866.558,1861.019,1866.558,1861.019
expt-app-47,7,911.042,761.974,6377.294,5333.818
expt-app-27,10,178.561,58.54,1785.6100000000001,585.4
expt-app-12,6,1440.422,1373.414,8642.532,8240.484
expt-app-2,6,532.5999999999999,383.885,3195.5999999999995,2303.31
expt-app-68,5,1341.769,1220.452,6708.845,6102.26
expt-app-35,8,274.968,131.939,2199.744,1055.512
expt-app-77,9,212.695,77.379,1914.2549999999999,696.4110000000001
expt-app-78,4,1274.681,1139.284,5098.724,4557.136
expt-app-52,3,2048.42,1943.61,6145.26,5830.83
expt-app-67,9,87.508,15.865,787.572,142.785
expt-app-81,7,615.1229999999999,610.15,4305.861,4271.05
expt-app-93,6,927.2049999999999,860.286,5563.23,5161.715999999999
expt-app-28,8,638.42,509.117,5107.36,4072.936
expt-app-55,4,2006.034,1932.09,8024.136,7728.36
expt-app-16,8,481.843,402.353,3854.744,3218.824
expt-app-25,8,354.24899999999997,219.471,2833.9919999999997,1755.768
expt-app-21,7,889.32,810.832,6225.240000000001,5675.824
expt-app-40,4,2155.971,2077.281,8623.884,8309.124
expt-app-44,10,182.114,46.095,1821.14,460.95
expt-app-46,10,358.668,247.204,3586.6800000000003,2472.04
expt-app-3,5,1101.294,965.898,5506.47,4829.49
expt-app-14,4,884.568,748.907,3538.272,2995.628
expt-app-49,10,81.52199999999999,18.879,815.2199999999999,188.79000000000002
expt-app-62,3,3175.174,3108.313,9525.522,9324.939
expt-app-86,7,424.442,276.23,2971.094,1933.6100000000001
expt-app-66,9,165.75500000000002,90.48,1491.7950000000003,814.32
expt-app-82,4,1074.663,969.594,4298.652,3878.376
expt-app-56,4,1423.3880000000001,1302.376,5693.552000000001,5209.504
expt-app-71,2,1122.177,1069.182,2244.354,2138.364
expt-app-76,10,133.395,66.125,1333.95,661.25
expt-app-9,10,170.149,95.882,1701.49,958.82
expt-app-41,7,702.538,566.849,4917.766,3967.943
expt-app-18,7,488.93399999999997,333.962,3422.5379999999996,2337.734
