app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-70,5,1127.8799999999999,1123.457,5639.4,5617.285000000001
expt-app-86,7,355.86699999999996,226.745,2491.0689999999995,1587.2150000000001
expt-app-69,1,1131.117,1051.756,1131.117,1051.756
expt-app-42,6,470.60999999999996,456.295,2823.66,2737.77
expt-app-46,10,371.927,195.585,3719.2700000000004,1955.8500000000001
expt-app-21,7,632.969,547.69,4430.783,3833.8300000000004
expt-app-45,7,231.053,171.151,1617.371,1198.057
expt-app-43,7,421.17199999999997,416.445,2948.2039999999997,2915.115
expt-app-39,8,190.541,70.104,1524.328,560.832
expt-app-18,7,376.85699999999997,250.423,2637.999,1752.961
expt-app-17,7,356.214,304.139,2493.498,2128.973
expt-app-60,10,133.47400000000002,55.107,1334.7400000000002,551.0699999999999
expt-app-24,1,2490.25,2411.082,2490.25,2411.082
expt-app-78,4,786.567,783.03,3146.268,3132.12
expt-app-10,10,616.731,550.114,6167.3099999999995,5501.14
expt-app-47,7,622.2919999999999,501.71,4356.044,3511.97
expt-app-31,10,167.202,32.075,1672.02,320.75
expt-app-30,7,915.378,810.62,6407.646000000001,5674.34
expt-app-9,10,194.64000000000001,93.678,1946.4,936.78
expt-app-80,9,147.431,42.213,1326.8790000000001,379.91700000000003
expt-app-88,5,508.62600000000003,435.899,2543.13,2179.495
expt-app-40,4,1808.263,1803.757,7233.052,7215.028
expt-app-90,6,1045.981,967.16,6275.886,5802.96
expt-app-15,4,2090.3070000000002,2011.82,8361.228000000001,8047.28
expt-app-2,6,538.892,534.639,3233.3520000000003,3207.834
expt-app-1,10,136.75799999999998,7.323,1367.58,73.23
expt-app-33,9,670.249,549.276,6032.241,4943.4839999999995
expt-app-7,9,343.09299999999996,222.995,3087.8369999999995,2006.955
expt-app-38,9,83.02,22.367,747.18,201.303
expt-app-25,8,240.06,173.025,1920.48,1384.2
expt-app-77,9,88.042,76.631,792.378,689.679
expt-app-79,5,673.067,568.545,3365.335,2842.725
expt-app-3,5,630.375,557.14,3151.875,2785.7
expt-app-55,4,2173.676,2052.517,8694.704,8210.068
expt-app-41,7,520.4100000000001,384.915,3642.870000000001,2694.405
expt-app-27,10,171.681,51.486,1716.8100000000002,514.86
expt-app-28,8,514.0749999999999,393.348,4112.599999999999,3146.784
expt-app-58,4,1127.6779999999999,997.83,4510.7119999999995,3991.32
expt-app-8,4,2231.974,2227.369,8927.896,8909.476
expt-app-67,9,59.062000000000005,46.567,531.558,419.103
expt-app-35,8,235.595,169.626,1884.76,1357.008
expt-app-75,4,1103.135,998.276,4412.54,3993.104
expt-app-26,6,789.799,722.945,4738.794,4337.67
expt-app-16,8,357.27799999999996,282.852,2858.2239999999997,2262.816
expt-app-49,10,109.314,43.716,1093.1399999999999,437.16
expt-app-52,3,2490.4449999999997,2411.645,7471.334999999999,7234.9349999999995
expt-app-50,5,1241.567,1129.495,6207.835,5647.474999999999
expt-app-54,10,285.53499999999997,206.255,2855.3499999999995,2062.55
expt-app-53,8,244.318,118.483,1954.544,947.864
expt-app-51,1,3203.6549999999997,3125.226,3203.6549999999997,3125.226
expt-app-66,9,223.51399999999998,171.373,2011.6259999999997,1542.357
expt-app-48,5,429.42900000000003,425.066,2147.145,2125.33
expt-app-32,4,606.95,533.834,2427.8,2135.336
expt-app-68,5,770.951,704.268,3854.755,3521.34
expt-app-11,1,695.961,583.715,695.961,583.715
expt-app-93,6,786.443,783.069,4718.657999999999,4698.414
expt-app-6,7,369.553,290.22,2586.871,2031.5400000000002
expt-app-29,1,1642.555,1564.305,1642.555,1564.305
expt-app-23,6,1014.5640000000001,909.722,6087.384,5458.332
expt-app-37,1,1515.984,1437.216,1515.984,1437.216
expt-app-72,10,150.794,15.37,1507.94,153.7
expt-app-4,7,1155.9489999999998,1051.138,8091.642999999999,7357.965999999999
expt-app-76,10,74.447,70.671,744.47,706.71
expt-app-65,5,782.063,678.005,3910.315,3390.025
expt-app-73,8,229.451,108.492,1835.608,867.936
expt-app-81,7,612.1529999999999,537.573,4285.070999999999,3763.011
expt-app-14,4,633.017,628.737,2532.068,2514.948
expt-app-34,6,890.058,837.973,5340.348,5027.838
expt-app-44,10,161.158,26.642,1611.58,266.42
expt-app-5,9,485.272,349.862,4367.448,3148.7580000000003
expt-app-12,6,1574.994,1431.438,9449.964,8588.628
