app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-6,7,237.475,132.778,1662.325,929.4459999999999
expt-app-42,6,313.08200000000005,225.652,1878.4920000000002,1353.9119999999998
expt-app-33,9,293.39,288.614,2640.5099999999998,2597.526
expt-app-77,9,93.744,27.23,843.696,245.07
expt-app-21,7,655.498,520.403,4588.486000000001,3642.821
expt-app-72,10,133.207,5.248,1332.07,52.480000000000004
expt-app-88,5,5053.794,4918.715,25268.97,24593.575
expt-app-45,7,162.265,110.421,1135.855,772.947
expt-app-25,8,136.256,69.755,1090.048,558.04
expt-app-11,1,5864.932,5859.732,5864.932,5859.732
expt-app-5,9,313.20300000000003,308.892,2818.827,2780.028
expt-app-26,6,528.438,379.187,3170.6279999999997,2275.1220000000003
expt-app-22,5,911.2719999999999,831.864,4556.36,4159.32
expt-app-53,8,196.95499999999998,89.261,1575.6399999999999,714.088
expt-app-38,9,90.725,11.341,816.525,102.06899999999999
expt-app-32,4,462.44,387.328,1849.76,1549.312
expt-app-47,7,382.717,324.683,2679.019,2272.781
expt-app-35,8,121.01,45.736,968.08,365.888
expt-app-7,9,284.733,180.088,2562.597,1620.792
expt-app-34,6,293.831,233.233,1762.986,1399.3980000000001
expt-app-75,4,622.301,491.128,2489.204,1964.512
expt-app-66,9,177.269,72.649,1595.421,653.841
expt-app-41,7,262.527,258.014,1837.6889999999999,1806.098
expt-app-62,3,7376.585,7233.655,22129.755,21700.965
expt-app-52,3,6118.352,5996.729,18355.056,17990.187
expt-app-67,9,81.22600000000001,15.067,731.0340000000001,135.603
expt-app-93,6,5436.357,5357.815,32618.142,32146.89
expt-app-60,10,212.677,63.552,2126.77,635.52
expt-app-68,5,6511.763,6375.434,32558.815,31877.170000000002
expt-app-78,4,5633.357,5497.803,22533.428,21991.212
expt-app-17,7,262.161,203.155,1835.127,1422.085
expt-app-18,7,312.713,169.064,2188.991,1183.4479999999999
expt-app-44,10,88.799,9.446,887.99,94.46
expt-app-76,10,173.86599999999999,39.015,1738.6599999999999,390.15
expt-app-14,4,700.504,558.968,2802.016,2235.872
expt-app-90,6,620.18,568.281,3721.08,3409.6859999999997
expt-app-3,5,582.0070000000001,432.625,2910.0350000000003,2163.125
expt-app-9,10,146.118,52.183,1461.1799999999998,521.83
expt-app-0,3,306.55,300.991,919.6500000000001,902.973
expt-app-16,8,200.593,134.27,1604.744,1074.16
expt-app-46,10,217.85299999999998,107.106,2178.5299999999997,1071.06
expt-app-31,10,116.476,11.151,1164.76,111.50999999999999
expt-app-95,4,569.654,564.757,2278.616,2259.028
expt-app-43,7,324.521,257.911,2271.647,1805.377
expt-app-59,2,7050.864,6914.838,14101.728,13829.676
expt-app-39,8,174.52300000000002,39.803,1396.1840000000002,318.424
expt-app-30,7,438.149,433.544,3067.043,3034.808
expt-app-1,10,114.64,3.41,1146.4,34.1
expt-app-10,10,267.625,193.27,2676.25,1932.7
expt-app-71,2,659.5849999999999,538.807,1319.1699999999998,1077.614
expt-app-27,10,140.58100000000002,36.258,1405.8100000000002,362.58000000000004
expt-app-2,6,5754.548,5701.666,34527.288,34209.996
expt-app-65,5,442.49399999999997,375.836,2212.47,1879.18
expt-app-50,5,583.605,461.676,2918.025,2308.38
expt-app-54,10,207.842,97.824,2078.42,978.24
expt-app-28,8,320.023,215.78,2560.184,1726.24
expt-app-86,7,266.368,131.256,1864.576,918.792
expt-app-79,5,371.76599999999996,285.517,1858.83,1427.585
expt-app-49,10,21.180999999999997,16.235,211.80999999999997,162.35
expt-app-81,7,235.523,168.442,1648.661,1179.094
expt-app-15,4,6445.432000000001,6366.631,25781.728000000003,25466.524
expt-app-55,4,6577.134,6449.082,26308.536,25796.328
expt-app-70,5,457.062,390.922,2285.31,1954.6100000000001
expt-app-80,9,181.10999999999999,31.603,1629.9899999999998,284.427
expt-app-4,7,302.504,235.756,2117.5280000000002,1650.292
expt-app-23,6,5981.598,5902.49,35889.588,35414.94
expt-app-48,5,728.637,586.392,3643.1849999999995,2931.96
expt-app-58,4,499.06899999999996,429.181,1996.2759999999998,1716.724
expt-app-12,6,789.099,702.519,4734.594,4215.114
expt-app-82,4,610.8580000000001,490.125,2443.4320000000002,1960.5
expt-app-73,8,173.512,69.068,1388.096,552.544
