app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-82,7,336.83299999999997,230.113,2357.8309999999997,1610.791
expt-app-48,5,899.752,894.408,4498.76,4472.04
expt-app-92,10,100.278,39.312,1002.7800000000001,393.12
expt-app-14,8,168.602,116.054,1348.816,928.432
expt-app-94,10,129.766,24.957,1297.6599999999999,249.57
expt-app-4,6,601.48,466.136,3608.88,2796.8160000000003
expt-app-93,9,196.492,47.741,1768.4279999999999,429.669
expt-app-3,7,658.3520000000001,537.545,4608.464000000001,3762.8149999999996
expt-app-22,8,146.32,33.816,1170.56,270.528
expt-app-90,5,685.841,681.551,3429.205,3407.755
expt-app-2,5,875.1170000000001,788.413,4375.585,3942.065
expt-app-43,9,692.349,557.26,6231.1410000000005,5015.34
expt-app-34,10,375.504,322.538,3755.04,3225.38
expt-app-74,8,369.202,248.126,2953.616,1985.008
expt-app-18,9,868.875,739.687,7819.875,6657.183
expt-app-61,1,1933.0320000000002,1828.178,1933.0320000000002,1828.178
expt-app-30,4,1985.8020000000001,1980.046,7943.2080000000005,7920.184
expt-app-76,3,1613.685,1546.866,4841.055,4640.598
expt-app-63,6,1249.028,1181.582,7494.168,7089.492
expt-app-40,5,2236.165,2100.026,11180.825,10500.13
expt-app-78,4,654.011,587.339,2616.044,2349.356
expt-app-16,2,1208.325,1120.655,2416.65,2241.31
expt-app-72,9,109.78999999999999,4.639,988.1099999999999,41.751000000000005
expt-app-62,5,1380.049,1375.432,6900.245,6877.16
expt-app-5,8,91.126,6.588,729.008,52.704
expt-app-87,8,141.413,37.614,1131.304,300.912
expt-app-23,4,4342.568,4193.596,17370.272,16774.384
expt-app-79,3,1978.987,1911.314,5936.961,5733.942
expt-app-77,7,236.41400000000002,231.063,1654.8980000000001,1617.4409999999998
expt-app-39,10,143.56199999999998,58.942,1435.62,589.42
expt-app-71,10,443.61,323.108,4436.1,3231.08
expt-app-80,10,359.03200000000004,230.323,3590.3200000000006,2303.23
expt-app-52,6,761.7969999999999,682.509,4570.781999999999,4095.054
expt-app-9,10,145.651,14.956,1456.5100000000002,149.56
expt-app-69,8,678.276,558.019,5426.208,4464.152
expt-app-60,10,88.191,21.204,881.9100000000001,212.04000000000002
expt-app-33,10,408.782,288.315,4087.8199999999997,2883.15
expt-app-84,10,108.988,104.207,1089.88,1042.07
expt-app-67,3,969.723,820.287,2909.169,2460.861
expt-app-49,5,626.546,573.459,3132.7300000000005,2867.2949999999996
expt-app-68,10,83.868,25.57,838.68,255.7
expt-app-11,8,584.217,448.921,4673.736,3591.368
expt-app-19,5,1088.339,953.467,5441.695,4767.335
expt-app-59,3,2039.0869999999998,2033.749,6117.2609999999995,6101.247
expt-app-42,10,263.299,184.164,2632.99,1841.6399999999999
expt-app-57,6,964.8489999999999,808.263,5789.093999999999,4849.578
expt-app-73,5,1936.656,1800.98,9683.279999999999,9004.9
expt-app-47,5,884.552,805.777,4422.76,4028.885
expt-app-6,5,600.793,522.111,3003.965,2610.555
expt-app-97,4,1983.807,1916.638,7935.228,7666.552
expt-app-96,5,630.1229999999999,516.519,3150.615,2582.5950000000003
expt-app-53,2,2745.485,2595.759,5490.97,5191.518
expt-app-50,8,289.136,210.557,2313.088,1684.456
expt-app-44,7,118.988,40.668,832.9159999999999,284.676
expt-app-24,3,1742.397,1594.105,5227.191,4782.3150000000005
expt-app-7,5,1623.9660000000001,1545.098,8119.830000000001,7725.49
expt-app-13,10,429.057,280.005,4290.57,2800.05
expt-app-36,10,256.423,152.339,2564.23,1523.3899999999999
expt-app-46,6,423.73499999999996,280.391,2542.41,1682.346
expt-app-37,7,253.525,175.387,1774.675,1227.709
expt-app-25,9,195.719,46.699,1761.471,420.291
expt-app-86,1,1182.3010000000002,1039.685,1182.3010000000002,1039.685
expt-app-45,8,128.841,62.152,1030.728,497.216
expt-app-8,1,714.346,647.457,714.346,647.457
expt-app-56,8,471.389,385.728,3771.112,3085.824
expt-app-28,2,2157.2490000000003,2152.018,4314.4980000000005,4304.036
expt-app-26,5,1429.313,1368.891,7146.5650000000005,6844.455
expt-app-85,5,861.109,782.408,4305.545,3912.04
expt-app-70,10,156.73899999999998,21.688,1567.3899999999999,216.88
expt-app-51,10,43.473,40.235,434.73,402.35
expt-app-66,9,660.226,511.299,5942.034,4601.691
expt-app-99,5,531.2280000000001,464.79,2656.1400000000003,2323.9500000000003
expt-app-1,1,1649.262,1528.658,1649.262,1528.658
expt-app-12,8,424.114,267.607,3392.912,2140.856
expt-app-38,4,1547.183,1441.466,6188.732,5765.864
expt-app-32,2,1104.6609999999998,1100.526,2209.3219999999997,2201.052
expt-app-54,4,791.8770000000001,786.529,3167.5080000000003,3146.116
expt-app-20,5,1457.726,1371.656,7288.630000000001,6858.28
expt-app-75,7,298.221,219.667,2087.547,1537.669
expt-app-81,4,1165.697,1097.962,4662.788,4391.848
expt-app-10,6,854.85,850.534,5129.1,5103.204
