app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-80,7,396.37,329.292,2774.59,2305.044
expt-app-66,5,1138.338,1051.046,5691.69,5255.2300000000005
expt-app-2,10,240.787,235.481,2407.87,2354.81
expt-app-65,9,444.992,309.951,4004.9280000000003,2789.559
expt-app-99,10,135.21099999999998,15.107,1352.11,151.07
expt-app-35,9,216.469,109.415,1948.221,984.735
expt-app-26,7,663.438,591.215,4644.066,4138.505
expt-app-13,4,845.4540000000001,718.131,3381.8160000000003,2872.524
expt-app-44,2,1687.672,1582.418,3375.344,3164.836
expt-app-31,10,139.72799999999998,33.357,1397.2799999999997,333.57
expt-app-76,8,344.623,332.424,2756.984,2659.392
expt-app-7,7,237.30200000000002,164.46,1661.114,1151.22
expt-app-74,1,573.277,451.979,573.277,451.979
expt-app-11,6,147.269,68.563,883.614,411.37800000000004
expt-app-56,3,563.354,510.843,1690.0620000000001,1532.529
expt-app-97,6,424.823,304.28,2548.938,1825.6799999999998
expt-app-10,4,670.9110000000001,618.489,2683.6440000000002,2473.956
expt-app-18,5,149.752,76.309,748.76,381.54499999999996
expt-app-90,4,636.3259999999999,550.252,2545.3039999999996,2201.008
expt-app-57,7,453.623,380.054,3175.361,2660.3779999999997
expt-app-81,7,663.9119999999999,558.749,4647.383999999999,3911.2430000000004
expt-app-40,8,283.046,216.589,2264.368,1732.712
expt-app-25,3,865.103,797.65,2595.3089999999997,2392.95
expt-app-84,3,1839.66,1690.03,5518.9800000000005,5070.09
expt-app-67,9,290.97299999999996,155.91,2618.7569999999996,1403.19
expt-app-73,7,432.836,354.332,3029.852,2480.324
expt-app-38,10,183.0,62.382,1830.0,623.8199999999999
expt-app-54,3,452.007,308.937,1356.021,926.811
expt-app-0,4,1588.6039999999998,1468.277,6354.415999999999,5873.108
expt-app-52,4,494.072,441.876,1976.288,1767.504
expt-app-34,8,165.55100000000002,29.91,1324.4080000000001,239.28
expt-app-23,4,1697.7530000000002,1542.285,6791.012000000001,6169.14
expt-app-92,9,125.073,46.636,1125.657,419.72400000000005
expt-app-77,3,1909.7379999999998,1759.758,5729.214,5279.274
expt-app-75,2,3483.294,3333.818,6966.588,6667.636
expt-app-70,6,758.457,653.071,4550.742,3918.4260000000004
expt-app-8,8,189.464,110.741,1515.712,885.928
expt-app-14,10,171.5,92.836,1715.0,928.36
expt-app-87,5,301.75,235.414,1508.75,1177.07
expt-app-45,6,622.348,501.074,3734.0879999999997,3006.444
expt-app-93,5,796.475,683.322,3982.375,3416.61
expt-app-83,9,308.776,165.689,2778.984,1491.201
expt-app-62,9,260.682,255.656,2346.138,2300.904
expt-app-47,5,967.945,847.267,4839.725,4236.335
expt-app-36,10,70.612,65.927,706.1199999999999,659.2700000000001
expt-app-68,2,1576.4720000000002,1509.321,3152.9440000000004,3018.642
expt-app-53,10,323.473,257.404,3234.73,2574.04
expt-app-91,10,170.207,65.159,1702.07,651.59
expt-app-1,3,1489.606,1368.678,4468.818,4106.034000000001
expt-app-82,6,997.363,919.338,5984.178,5516.028
expt-app-96,3,469.845,403.192,1409.535,1209.576
expt-app-85,5,176.749,124.021,883.745,620.105
expt-app-39,10,52.062999999999995,47.562,520.63,475.62
expt-app-12,5,249.054,161.975,1245.27,809.875
expt-app-29,8,179.24300000000002,103.692,1433.9440000000002,829.536
expt-app-50,3,505.769,438.852,1517.307,1316.556
expt-app-55,6,406.852,402.381,2441.112,2414.286
expt-app-95,4,1800.8120000000001,1651.216,7203.2480000000005,6604.864
expt-app-42,5,576.7339999999999,448.874,2883.6699999999996,2244.37
expt-app-27,10,509.679,443.849,5096.79,4438.49
expt-app-9,7,870.171,795.872,6091.197,5571.103999999999
expt-app-5,2,509.35299999999995,374.393,1018.7059999999999,748.786
expt-app-59,10,208.769,65.354,2087.69,653.54
expt-app-4,10,116.372,111.621,1163.72,1116.21
expt-app-21,5,449.704,370.613,2248.52,1853.065
expt-app-60,2,1499.338,1394.092,2998.676,2788.184
expt-app-28,4,1007.123,953.523,4028.492,3814.092
expt-app-48,3,696.8180000000001,617.964,2090.454,1853.8920000000003
expt-app-89,6,997.78,930.956,5986.68,5585.736
expt-app-46,8,119.83000000000001,41.425,958.6400000000001,331.4
expt-app-37,5,528.5450000000001,449.319,2642.7250000000004,2246.5950000000003
expt-app-33,4,1333.743,1212.572,5334.972,4850.288
expt-app-19,3,231.34099999999998,89.311,694.0229999999999,267.933
expt-app-72,3,348.8,212.889,1046.4,638.667
expt-app-41,8,469.628,348.209,3757.024,2785.672
