app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-54,3,223.516,145.645,670.548,436.93500000000006
expt-app-81,7,276.01300000000003,212.253,1932.0910000000003,1485.771
expt-app-78,6,399.447,264.002,2396.682,1584.0120000000002
expt-app-14,10,104.97099999999999,26.819,1049.7099999999998,268.19
expt-app-25,3,483.51800000000003,473.971,1450.554,1421.913
expt-app-17,4,944.495,809.08,3777.98,3236.32
expt-app-96,3,275.647,270.747,826.941,812.241
expt-app-9,7,604.087,513.904,4228.609,3597.328
expt-app-84,3,1424.056,1288.576,4272.168,3865.728
expt-app-88,4,355.708,351.735,1422.832,1406.94
expt-app-68,2,1687.0210000000002,1566.054,3374.0420000000004,3132.108
expt-app-62,9,171.704,59.702,1545.336,537.318
expt-app-41,8,332.291,328.401,2658.328,2627.208
expt-app-47,5,863.6129999999999,714.129,4318.065,3570.645
expt-app-21,5,257.517,190.854,1287.585,954.2700000000001
expt-app-12,5,388.226,283.47,1941.13,1417.3500000000001
expt-app-28,4,710.144,656.931,2840.576,2627.724
expt-app-4,10,356.512,282.22,3565.12,2822.2000000000003
expt-app-39,10,168.81099999999998,34.217,1688.1099999999997,342.16999999999996
expt-app-92,9,83.818,17.565,754.362,158.085
expt-app-66,5,887.9390000000001,752.178,4439.695000000001,3760.89
expt-app-89,6,624.404,545.109,3746.424,3270.6540000000005
expt-app-2,10,309.789,234.83,3097.89,2348.3
expt-app-0,4,1380.741,1245.105,5522.964,4980.42
expt-app-40,8,329.625,261.894,2637.0,2095.152
expt-app-50,3,445.915,372.779,1337.7450000000001,1118.337
expt-app-34,8,23.387999999999998,18.68,187.10399999999998,149.44
expt-app-59,10,115.008,10.497,1150.08,104.97
expt-app-46,8,22.504,18.356,180.032,146.848
expt-app-45,6,446.069,440.825,2676.414,2644.95
expt-app-5,2,577.735,428.616,1155.47,857.232
expt-app-87,5,377.83099999999996,297.893,1889.1549999999997,1489.465
expt-app-60,2,1728.1329999999998,1600.455,3456.2659999999996,3200.91
expt-app-65,9,214.782,163.494,1933.038,1471.446
expt-app-97,6,566.3359999999999,416.928,3398.0159999999996,2501.568
expt-app-33,4,1390.049,1279.275,5560.196,5117.1
expt-app-67,9,157.43599999999998,53.022,1416.9239999999998,477.198
expt-app-55,6,276.519,209.993,1659.114,1259.958
expt-app-13,4,842.34,829.562,3369.36,3318.248
expt-app-57,7,377.87199999999996,303.947,2645.104,2127.629
expt-app-7,7,397.65099999999995,249.182,2783.557,1744.274
expt-app-83,9,157.049,52.277,1413.441,470.493
expt-app-10,4,390.25300000000004,285.372,1561.0120000000002,1141.488
expt-app-26,7,392.325,324.935,2746.275,2274.545
expt-app-44,2,1841.119,1719.247,3682.238,3438.494
expt-app-19,3,164.186,43.201,492.558,129.603
expt-app-75,2,3203.568,3129.068,6407.136,6258.136
expt-app-82,6,587.809,508.651,3526.854,3051.906
expt-app-16,3,494.156,489.33,1482.468,1467.99
expt-app-48,3,725.587,583.228,2176.761,1749.6839999999997
expt-app-99,10,132.609,11.482,1326.0900000000001,114.82
expt-app-35,9,281.289,67.103,2531.6009999999997,603.9269999999999
expt-app-76,8,238.05499999999998,171.32,1904.4399999999998,1370.56
expt-app-37,5,729.993,588.892,3649.965,2944.46
expt-app-1,3,1510.726,1374.969,4532.178,4124.907
expt-app-42,5,763.201,641.252,3816.005,3206.2599999999998
expt-app-95,4,986.913,982.621,3947.652,3930.484
expt-app-38,10,181.892,61.591,1818.92,615.91
expt-app-85,5,184.511,132.649,922.555,663.245
expt-app-23,4,927.939,922.919,3711.756,3691.676
expt-app-70,6,459.067,453.856,2754.402,2723.136
expt-app-91,10,122.22099999999999,16.789,1222.2099999999998,167.89000000000001
expt-app-36,10,221.163,155.752,2211.63,1557.52
expt-app-11,6,81.697,71.988,490.182,431.928
expt-app-31,10,159.001,24.341,1590.01,243.41000000000003
expt-app-18,5,105.72099999999999,52.986,528.6049999999999,264.93
expt-app-8,8,175.112,89.408,1400.896,715.264
expt-app-93,5,627.737,623.284,3138.685,3116.42
expt-app-77,3,1432.892,1297.328,4298.676,3891.984
expt-app-73,7,234.619,168.429,1642.333,1179.003
expt-app-53,10,194.346,106.983,1943.46,1069.83
expt-app-27,10,184.45,106.34,1844.5,1063.4
expt-app-29,8,352.221,203.757,2817.768,1630.056
expt-app-80,7,406.03099999999995,331.41,2842.2169999999996,2319.8700000000003
