app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-0,4,1524.673,1389.987,6098.692,5559.948
expt-app-88,4,378.739,373.902,1514.956,1495.608
expt-app-31,10,157.446,22.577,1574.46,225.77
expt-app-47,5,986.439,837.056,4932.195,4185.280000000001
expt-app-12,5,353.431,240.643,1767.155,1203.215
expt-app-81,7,261.228,208.701,1828.596,1460.907
expt-app-87,5,265.329,186.913,1326.645,934.565
expt-app-21,5,256.535,190.256,1282.6750000000002,951.28
expt-app-29,8,281.757,132.745,2254.056,1061.96
expt-app-54,3,219.641,141.759,658.923,425.27699999999993
expt-app-82,6,727.327,648.574,4363.9619999999995,3891.4439999999995
expt-app-19,3,170.66899999999998,42.471,512.007,127.41299999999998
expt-app-42,5,621.278,499.759,3106.3900000000003,2498.795
expt-app-25,3,578.845,574.31,1736.535,1722.9299999999998
expt-app-37,5,643.544,507.989,3217.72,2539.9449999999997
expt-app-70,6,580.2779999999999,568.707,3481.6679999999997,3412.242
expt-app-38,10,190.64700000000002,70.05,1906.4700000000003,700.5
expt-app-10,4,501.49100000000004,396.732,2005.9640000000002,1586.928
expt-app-59,10,114.95400000000001,10.431,1149.54,104.30999999999999
expt-app-99,10,142.185,15.305,1421.85,153.05
expt-app-85,5,130.32399999999998,77.367,651.6199999999999,386.83500000000004
expt-app-7,7,362.52099999999996,205.117,2537.647,1435.819
expt-app-11,6,79.093,74.241,474.558,445.446
expt-app-75,2,3136.656,3069.771,6273.312,6139.542
expt-app-23,4,881.276,877.007,3525.104,3508.028
expt-app-14,10,128.99099999999999,50.476,1289.9099999999999,504.76
expt-app-41,8,375.33,371.192,3002.64,2969.536
expt-app-76,8,237.483,170.982,1899.864,1367.856
expt-app-73,7,231.418,164.472,1619.926,1151.304
expt-app-34,8,24.442999999999998,19.641,195.54399999999998,157.128
expt-app-4,10,245.607,178.725,2456.07,1787.25
expt-app-17,4,1057.0420000000001,921.768,4228.168000000001,3687.072
expt-app-67,9,157.588,52.656,1418.292,473.904
expt-app-9,7,659.948,580.979,4619.6359999999995,4066.853
expt-app-46,8,28.320999999999998,19.895,226.56799999999998,159.16
expt-app-26,7,433.458,360.098,3034.206,2520.686
expt-app-13,4,675.439,665.422,2701.756,2661.688
expt-app-33,4,1414.463,1301.894,5657.852,5207.576
expt-app-83,9,165.201,53.075,1486.809,477.675
expt-app-48,3,742.876,607.927,2228.6279999999997,1823.781
expt-app-16,3,492.216,487.818,1476.6480000000001,1463.454
expt-app-36,10,234.37,159.189,2343.7,1591.8899999999999
expt-app-78,6,402.103,267.142,2412.618,1602.8519999999999
expt-app-92,9,91.808,25.6,826.272,230.4
expt-app-27,10,200.39100000000002,122.345,2003.9100000000003,1223.45
expt-app-68,2,1593.357,1472.088,3186.714,2944.176
expt-app-89,6,625.235,547.259,3751.41,3283.554
expt-app-50,3,447.798,373.533,1343.394,1120.5990000000002
expt-app-28,4,756.571,704.068,3026.284,2816.272
expt-app-45,6,483.56300000000005,479.206,2901.378,2875.236
expt-app-91,10,127.51000000000002,15.444,1275.1000000000001,154.44
expt-app-96,3,336.223,331.89,1008.6690000000001,995.67
expt-app-97,6,451.091,302.365,2706.5460000000003,1814.19
expt-app-95,4,1066.4009999999998,1054.435,4265.603999999999,4217.74
expt-app-1,3,1487.39,1344.968,4462.17,4034.9040000000005
expt-app-57,7,352.37,285.306,2466.59,1997.1419999999998
expt-app-84,3,1374.326,1239.008,4122.978,3717.0240000000003
expt-app-39,10,168.627,34.034,1686.27,340.34
expt-app-18,5,102.748,49.772,513.74,248.85999999999999
expt-app-93,5,566.5740000000001,562.914,2832.8700000000003,2814.5699999999997
expt-app-55,6,293.682,225.752,1762.092,1354.5120000000002
expt-app-60,2,1733.464,1612.497,3466.928,3224.994
expt-app-35,9,213.077,64.846,1917.693,583.614
expt-app-53,10,220.404,141.307,2204.04,1413.07
expt-app-5,2,662.03,507.223,1324.06,1014.446
expt-app-2,10,272.59299999999996,204.238,2725.9299999999994,2042.38
expt-app-40,8,321.347,255.449,2570.776,2043.592
expt-app-62,9,161.69400000000002,56.788,1455.246,511.092
expt-app-66,5,957.385,822.212,4786.925,4111.0599999999995
expt-app-44,2,1755.781,1635.281,3511.562,3270.562
expt-app-80,7,333.868,260.875,2337.076,1826.125
expt-app-77,3,1393.87,1258.129,4181.61,3774.3869999999997
expt-app-8,8,176.78199999999998,98.699,1414.2559999999999,789.592
expt-app-65,9,224.748,167.15,2022.732,1504.3500000000001
