app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-53,8,239.68,152.322,1917.44,1218.576
expt-app-72,7,451.887,440.054,3163.209,3080.3779999999997
expt-app-33,5,82.141,24.136,410.70500000000004,120.67999999999999
expt-app-48,10,144.717,68.716,1447.17,687.16
expt-app-35,5,135.836,61.655,679.1800000000001,308.275
expt-app-21,7,415.217,410.107,2906.519,2870.7490000000003
expt-app-95,7,203.33200000000002,119.247,1423.324,834.729
expt-app-99,10,88.26299999999999,27.658,882.6299999999999,276.58000000000004
expt-app-26,7,699.841,625.506,4898.887,4378.5419999999995
expt-app-9,7,68.81700000000001,7.348,481.71900000000005,51.436
expt-app-81,9,155.751,12.596,1401.759,113.364
expt-app-30,10,220.908,153.854,2209.08,1538.5400000000002
expt-app-94,4,824.7529999999999,713.076,3299.0119999999997,2852.304
expt-app-6,9,151.96699999999998,10.021,1367.703,90.18900000000001
expt-app-34,6,29.264,18.04,175.584,108.24
expt-app-97,10,131.08800000000002,44.136,1310.88,441.36
expt-app-24,9,348.092,221.63,3132.828,1994.67
expt-app-32,5,647.741,575.7,3238.705,2878.5
expt-app-39,9,113.089,2.771,1017.8009999999999,24.939
expt-app-15,7,403.02,351.02,2821.14,2457.14
expt-app-38,7,375.979,249.49,2631.853,1746.43
