app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-5,8,648.466,581.999,5187.728,4655.992
expt-app-16,10,592.736,574.904,5927.36,5749.04
expt-app-23,9,394.74399999999997,273.889,3552.696,2465.001
expt-app-92,7,349.09000000000003,282.776,2443.63,1979.432
expt-app-62,7,1179.818,1074.659,8258.726,7522.613000000001
expt-app-33,6,1942.255,1793.667,11653.53,10762.002
expt-app-29,9,988.192,983.412,8893.728,8850.708
expt-app-71,8,296.74600000000004,176.58,2373.9680000000003,1412.64
expt-app-99,8,187.14000000000001,112.867,1497.1200000000001,902.936
expt-app-98,8,857.908,752.811,6863.264,6022.488
expt-app-22,7,923.0169999999999,918.156,6461.119,6427.092
expt-app-77,10,375.757,255.245,3757.57,2552.45
expt-app-36,5,599.559,519.937,2997.795,2599.685
expt-app-76,6,610.051,452.651,3660.3060000000005,2715.906
expt-app-9,3,634.958,582.426,1904.8739999999998,1747.2780000000002
expt-app-31,1,1553.593,1432.485,1553.593,1432.485
expt-app-53,7,435.616,422.821,3049.312,2959.7470000000003
expt-app-96,10,74.321,69.76,743.21,697.6
expt-app-86,9,307.07099999999997,228.526,2763.6389999999997,2056.734
expt-app-13,10,865.311,720.828,8653.11,7208.28
expt-app-52,2,5602.329,5515.469,11204.658,11030.938
expt-app-84,9,459.61,393.546,4136.49,3541.9139999999998
expt-app-41,2,2899.8070000000002,2764.253,5799.6140000000005,5528.506
expt-app-45,9,29.107,24.765,261.96299999999997,222.885
expt-app-3,9,359.073,286.07,3231.6569999999997,2574.63
expt-app-66,6,1288.6779999999999,1130.473,7732.067999999999,6782.838
expt-app-63,5,703.545,617.376,3517.725,3086.88
expt-app-73,9,491.812,342.898,4426.308,3086.0820000000003
expt-app-47,6,395.897,319.075,2375.382,1914.4499999999998
expt-app-89,4,2718.715,2639.848,10874.86,10559.392
expt-app-87,3,3105.4249999999997,2956.373,9316.275,8869.119
expt-app-12,3,4590.212,4453.927,13770.636000000002,13361.780999999999
expt-app-49,9,133.032,66.435,1197.288,597.915
expt-app-26,8,804.603,684.86,6436.824,5478.88
expt-app-58,10,176.813,41.23,1768.1299999999999,412.29999999999995
expt-app-78,10,376.18,246.737,3761.8,2467.37
expt-app-10,7,463.735,458.789,3246.145,3211.523
expt-app-56,8,467.709,463.37,3741.672,3706.96
expt-app-1,5,2421.43,2332.48,12107.15,11662.4
expt-app-15,9,1130.289,1024.924,10172.601,9224.315999999999
expt-app-19,1,5384.688999999999,5305.157,5384.688999999999,5305.157
expt-app-81,8,583.236,456.709,4665.888,3653.672
expt-app-2,9,413.16,277.129,3718.44,2494.161
expt-app-34,7,1540.7839999999999,1390.945,10785.488,9736.615
expt-app-14,7,884.422,735.763,6190.954,5150.341
expt-app-51,8,964.898,833.764,7719.184,6670.112
expt-app-95,3,759.415,624.399,2278.245,1873.1970000000001
expt-app-43,3,3211.9,3159.336,9635.7,9478.008
expt-app-93,5,315.803,211.744,1579.0149999999999,1058.72
expt-app-72,7,87.735,8.851,614.145,61.95700000000001
expt-app-48,9,104.847,20.443,943.6229999999999,183.98700000000002
expt-app-30,7,511.207,431.863,3578.449,3023.041
expt-app-39,8,628.236,549.067,5025.888,4392.536
expt-app-0,9,65.425,60.886,588.8249999999999,547.974
expt-app-25,3,478.146,462.836,1434.438,1388.508
expt-app-97,10,142.007,62.877,1420.0700000000002,628.77
expt-app-20,3,3022.806,2901.725,9068.418,8705.175
expt-app-80,2,772.572,694.123,1545.144,1388.246
expt-app-38,5,134.42200000000003,122.281,672.1100000000001,611.405
expt-app-65,4,922.994,787.912,3691.976,3151.648
expt-app-85,10,788.895,675.3,7888.95,6753.0
expt-app-69,7,475.664,397.001,3329.648,2779.0069999999996
expt-app-17,1,677.553,624.852,677.553,624.852
expt-app-74,10,100.91799999999999,26.43,1009.18,264.3
expt-app-27,10,58.8,54.419,588.0,544.1899999999999
expt-app-4,2,837.4209999999999,732.254,1674.8419999999999,1464.508
expt-app-79,9,90.097,23.396,810.8729999999999,210.56400000000002
