app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-6,8,803.5210000000001,708.003,6428.168000000001,5664.024
expt-app-65,5,2778.546,2693.81,13892.73,13469.05
expt-app-58,4,1012.9950000000001,956.03,4051.9800000000005,3824.12
expt-app-18,10,40.608,29.037,406.08,290.37
expt-app-56,7,729.888,690.606,5109.216,4834.242
expt-app-43,4,465.284,398.46,1861.136,1593.84
expt-app-94,8,628.952,588.301,5031.616,4706.408
expt-app-69,2,1898.784,1816.283,3797.568,3632.566
expt-app-40,10,162.582,134.048,1625.82,1340.48
expt-app-82,8,948.1039999999999,881.846,7584.831999999999,7054.768
expt-app-35,6,1830.8990000000001,1717.894,10985.394,10307.364
expt-app-22,3,1263.5240000000001,1175.001,3790.572,3525.0029999999997
expt-app-27,8,676.652,623.301,5413.216,4986.408
expt-app-17,9,241.381,198.185,2172.429,1783.665
expt-app-45,2,1255.614,1156.999,2511.228,2313.998
expt-app-28,6,2321.1279999999997,1235.065,13926.767999999998,7410.39
expt-app-7,8,458.66200000000003,346.869,3669.2960000000003,2774.952
expt-app-60,7,210.37,182.31,1472.5900000000001,1276.17
expt-app-13,4,243.699,194.463,974.796,777.852
expt-app-29,6,2350.173,2283.176,14101.037999999999,13699.056
expt-app-10,6,2622.185,2512.335,15733.11,15074.01
expt-app-32,10,422.786,382.278,4227.86,3822.78
expt-app-93,8,697.1429999999999,627.761,5577.143999999999,5022.088
expt-app-78,3,3732.224,3621.849,11196.672,10865.547
expt-app-5,4,2540.739,2445.619,10162.956,9782.476
expt-app-15,5,951.998,867.06,4759.99,4335.299999999999
expt-app-81,9,621.977,524.549,5597.793,4720.941
expt-app-38,8,244.49499999999998,192.591,1955.9599999999998,1540.728
expt-app-34,4,733.51,698.766,2934.04,2795.064
expt-app-47,10,135.93099999999998,80.658,1359.31,806.58
expt-app-9,5,1239.109,1185.605,6195.545,5928.025
expt-app-95,5,923.453,883.075,4617.264999999999,4415.375
expt-app-59,7,274.236,233.613,1919.652,1635.291
expt-app-57,10,70.319,50.547,703.19,505.46999999999997
expt-app-52,9,755.26,726.794,6797.34,6541.146
expt-app-88,9,106.992,12.401,962.928,111.609
expt-app-20,5,964.252,898.673,4821.26,4493.365
expt-app-53,8,876.091,779.077,7008.728,6232.616
expt-app-61,8,376.43399999999997,285.196,3011.4719999999998,2281.568
expt-app-70,6,1064.4769999999999,1036.35,6386.861999999999,6218.099999999999
expt-app-21,9,174.574,121.981,1571.1660000000002,1097.829
expt-app-39,9,187.482,147.61,1687.338,1328.4900000000002
expt-app-84,9,169.837,140.285,1528.533,1262.565
expt-app-62,2,3838.625,3783.595,7677.25,7567.19
expt-app-3,3,2590.187,2577.2,7770.561,7731.599999999999
expt-app-23,5,909.646,838.46,4548.23,4192.3
expt-app-33,9,168.469,138.279,1516.221,1244.511
expt-app-0,3,1858.3039999999999,1760.8,5574.911999999999,5282.4
expt-app-51,5,2062.348,2049.251,10311.74,10246.255000000001
expt-app-79,8,1006.956,953.849,8055.648,7630.792
expt-app-87,8,538.2909999999999,508.197,4306.3279999999995,4065.576
expt-app-12,9,564.346,524.016,5079.114,4716.143999999999
expt-app-73,6,492.3,407.413,2953.8,2444.478
expt-app-72,4,1697.097,1670.656,6788.388,6682.624
expt-app-25,3,4541.869000000001,4474.605,13625.607000000002,13423.814999999999
expt-app-96,10,62.358,33.905,623.5799999999999,339.05
expt-app-80,5,73.985,7.665,369.925,38.325
expt-app-68,9,464.824,355.203,4183.416,3196.8269999999998
expt-app-99,9,805.6320000000001,750.079,7250.688,6750.710999999999
expt-app-75,7,1160.5780000000002,1131.446,8124.046000000001,7920.121999999999
expt-app-90,6,1155.87,1126.851,6935.219999999999,6761.106000000001
expt-app-41,4,421.555,348.864,1686.22,1395.456
expt-app-74,7,559.962,504.391,3919.734,3530.737
expt-app-1,8,503.838,417.242,4030.704,3337.936
expt-app-83,10,317.05499999999995,251.068,3170.5499999999993,2510.6800000000003
expt-app-14,5,3960.687,3860.913,19803.434999999998,19304.565
expt-app-44,7,1109.661,997.168,7767.627,6980.176
expt-app-77,10,101.566,34.887,1015.6600000000001,348.87
expt-app-31,9,503.339,454.621,4530.051,4091.589
expt-app-97,3,3892.5640000000003,3880.791,11677.692000000001,11642.373
expt-app-63,10,382.65900000000005,271.795,3826.5900000000006,2717.9500000000003
expt-app-85,3,1074.3590000000002,1044.334,3223.077,3133.0020000000004
expt-app-50,3,1117.338,1063.783,3352.014,3191.3489999999997
expt-app-71,7,687.1899999999999,645.531,4810.33,4518.717
expt-app-89,1,1175.761,1090.847,1175.761,1090.847
expt-app-91,7,944.571,845.616,6611.997,5919.312
expt-app-55,10,53.762,14.197,537.62,141.97
expt-app-49,9,146.832,47.329,1321.4879999999998,425.961
expt-app-98,10,128.331,31.294,1283.31,312.94
