app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-88,9,53.867,8.506,484.803,76.554
expt-app-96,10,134.87199999999999,38.683,1348.7199999999998,386.83
expt-app-33,9,204.92499999999998,140.453,1844.3249999999998,1264.077
expt-app-59,7,263.048,231.534,1841.336,1620.7379999999998
expt-app-47,10,122.788,42.989,1227.8799999999999,429.89
expt-app-49,9,78.555,25.934,706.9950000000001,233.406
expt-app-18,10,67.831,26.163,678.3100000000001,261.63
expt-app-98,10,104.338,20.984,1043.3799999999999,209.84000000000003
expt-app-13,4,176.064,137.642,704.256,550.568
expt-app-80,5,91.496,10.336,457.47999999999996,51.68
expt-app-57,10,76.97800000000001,66.319,769.7800000000001,663.19
expt-app-55,10,47.257,6.849,472.57,68.49000000000001
expt-app-83,10,287.246,223.535,2872.46,2235.35
expt-app-77,10,71.571,43.28,715.71,432.8
