app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-25,8,204.399,194.066,1635.192,1552.528
expt-app-39,8,198.905,42.243,1591.24,337.944
expt-app-9,10,183.51000000000002,71.265,1835.1000000000001,712.65
expt-app-67,9,130.369,55.088,1173.321,495.79200000000003
expt-app-44,10,151.67,10.002,1516.6999999999998,100.02000000000001
expt-app-60,10,217.46599999999998,62.254,2174.66,622.54
expt-app-1,10,65.705,6.159,657.05,61.589999999999996
expt-app-72,10,36.515,25.423,365.15,254.23
expt-app-35,8,312.52000000000004,182.473,2500.1600000000003,1459.784
expt-app-66,9,277.429,165.52,2496.861,1489.68
expt-app-49,10,61.932,50.007,619.32,500.07
expt-app-38,9,122.507,10.195,1102.563,91.755
expt-app-31,10,18.811999999999998,7.411,188.11999999999998,74.11
expt-app-76,10,108.07600000000001,32.844,1080.76,328.44
expt-app-45,7,281.258,219.619,1968.8059999999998,1537.333
expt-app-77,9,35.096000000000004,24.204,315.86400000000003,217.836
expt-app-80,9,154.108,26.455,1386.972,238.09499999999997
