app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-78,10,150.45600000000002,91.037,1504.5600000000002,910.3700000000001
expt-app-97,10,88.741,15.766,887.41,157.66
expt-app-58,10,145.058,18.18,1450.58,181.8
expt-app-45,9,23.673,13.505,213.057,121.545
expt-app-93,5,316.321,206.667,1581.605,1033.335
expt-app-96,10,111.417,26.172,1114.17,261.72
expt-app-0,9,289.136,177.238,2602.224,1595.142
expt-app-99,8,409.193,281.143,3273.544,2249.144
expt-app-27,10,122.22,49.297,1222.2,492.96999999999997
expt-app-49,9,150.304,63.929,1352.736,575.361
expt-app-77,10,357.77,214.44,3577.7,2144.4
expt-app-37,9,290.337,277.651,2613.033,2498.859
expt-app-48,9,119.405,8.886,1074.645,79.97399999999999
expt-app-74,10,25.038,11.253,250.38,112.53
expt-app-2,9,154.82999999999998,94.482,1393.4699999999998,850.338
expt-app-79,9,186.108,28.656,1674.972,257.904
expt-app-38,5,346.733,274.428,1733.665,1372.1399999999999
expt-app-72,7,72.743,12.186,509.20099999999996,85.30199999999999
