app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-65,5,1659.924,1524.623,8299.619999999999,7623.115
expt-app-72,4,1856.059,1757.666,7424.236,7030.664
expt-app-79,8,678.471,644.67,5427.768,5157.36
expt-app-90,6,1007.895,924.567,6047.37,5547.402
expt-app-20,5,601.472,534.61,3007.3599999999997,2673.05
expt-app-49,9,144.915,48.064,1304.235,432.576
expt-app-80,5,121.70400000000001,8.306,608.52,41.529999999999994
expt-app-5,4,2413.5170000000003,2372.203,9654.068000000001,9488.812
expt-app-84,9,322.453,268.626,2902.0769999999998,2417.634
expt-app-38,8,397.78400000000005,300.34,3182.2720000000004,2402.72
expt-app-91,7,933.753,893.619,6536.271000000001,6255.3330000000005
expt-app-77,10,105.681,52.748,1056.81,527.48
expt-app-62,2,3185.2909999999997,3132.75,6370.581999999999,6265.5
expt-app-44,7,732.121,664.872,5124.847,4654.103999999999
expt-app-30,4,1750.0249999999999,1658.275,7000.099999999999,6633.1
expt-app-93,8,505.016,473.267,4040.128,3786.136
expt-app-1,8,267.237,239.244,2137.896,1913.952
expt-app-99,9,550.179,452.872,4951.611,4075.848
expt-app-89,1,904.2099999999999,822.41,904.2099999999999,822.41
expt-app-40,10,188.019,127.0,1880.19,1270.0
expt-app-15,5,575.328,547.08,2876.64,2735.4
expt-app-75,7,742.559,713.892,5197.913,4997.244000000001
expt-app-23,5,541.1129999999999,473.239,2705.5649999999996,2366.1949999999997
expt-app-22,3,779.49,711.983,2338.4700000000003,2135.9489999999996
expt-app-74,7,323.407,291.945,2263.8489999999997,2043.615
expt-app-12,9,402.634,374.861,3623.706,3373.749
expt-app-29,6,1280.7079999999999,1225.648,7684.248,7353.887999999999
expt-app-81,9,299.396,259.919,2694.5640000000003,2339.2709999999997
expt-app-6,8,574.337,517.077,4594.696,4136.616
expt-app-78,3,2872.329,2828.289,8616.987000000001,8484.867
expt-app-59,7,200.759,146.135,1405.3129999999999,1022.9449999999999
expt-app-45,2,794.7729999999999,728.998,1589.5459999999998,1457.996
expt-app-14,5,2616.853,2561.965,13084.265,12809.825
expt-app-96,10,62.586000000000006,33.609,625.86,336.09000000000003
expt-app-63,10,194.989,181.459,1949.89,1814.5900000000001
expt-app-34,4,851.656,749.203,3406.624,2996.812
expt-app-61,8,191.79299999999998,138.674,1534.3439999999998,1109.392
expt-app-17,9,201.996,171.14,1817.9640000000002,1540.2599999999998
expt-app-50,3,741.529,726.868,2224.587,2180.6040000000003
expt-app-7,8,415.313,359.716,3322.504,2877.728
expt-app-71,7,666.011,637.256,4662.076999999999,4460.7919999999995
expt-app-95,5,695.29,628.726,3476.45,3143.63
expt-app-32,10,282.358,254.975,2823.58,2549.75
expt-app-86,3,2904.779,2859.024,8714.337,8577.072
expt-app-41,4,576.727,478.079,2306.908,1912.316
expt-app-70,6,1019.4700000000001,935.822,6116.820000000001,5614.932
expt-app-47,10,116.247,76.672,1162.47,766.72
expt-app-85,3,788.821,723.538,2366.463,2170.614
expt-app-0,3,1852.03,1754.548,5556.09,5263.644
expt-app-43,4,641.554,543.057,2566.216,2172.228
expt-app-27,8,531.486,473.778,4251.888,3790.224
expt-app-94,8,659.3679999999999,591.744,5274.9439999999995,4733.952
expt-app-9,5,960.5160000000001,876.703,4802.58,4383.514999999999
expt-app-53,8,673.1279999999999,606.223,5385.023999999999,4849.784
expt-app-87,8,467.637,440.51,3741.096,3524.08
expt-app-51,5,1077.847,1047.835,5389.235,5239.175
expt-app-26,1,3266.745,3199.778,3266.745,3199.778
expt-app-98,10,109.977,4.891,1099.77,48.91
expt-app-52,9,584.824,547.685,5263.415999999999,4929.164999999999
expt-app-25,3,5050.007,4997.434,15150.020999999999,14992.302
expt-app-57,10,145.313,103.654,1453.1299999999999,1036.54
expt-app-10,6,1364.135,1352.68,8184.8099999999995,8116.08
expt-app-33,9,148.24499999999998,94.036,1334.2049999999997,846.3240000000001
expt-app-83,10,238.633,116.7,2386.33,1167.0
expt-app-55,10,52.540000000000006,7.936,525.4000000000001,79.36
expt-app-28,6,750.7810000000001,719.476,4504.686000000001,4316.856
expt-app-97,3,2934.715,2878.808,8804.145,8636.423999999999
expt-app-18,10,65.569,32.013,655.69,320.13
expt-app-35,6,1060.072,1028.396,6360.431999999999,6170.376
expt-app-73,6,501.49999999999994,403.084,3008.9999999999995,2418.504
expt-app-39,9,99.759,87.388,897.831,786.4920000000001
expt-app-69,2,1502.786,1405.299,3005.572,2810.598
expt-app-56,7,467.806,400.31,3274.642,2802.17
expt-app-88,9,55.391000000000005,26.138,498.51900000000006,235.24200000000002
expt-app-31,9,353.149,319.554,3178.341,2875.986
expt-app-37,4,1786.455,1658.04,7145.82,6632.16
expt-app-13,4,280.561,232.349,1122.244,929.396
expt-app-3,3,2569.355,2511.438,7708.0650000000005,7534.314
expt-app-60,7,191.326,137.569,1339.282,962.983
expt-app-58,4,797.098,729.8,3188.392,2919.2
expt-app-68,9,529.089,473.25,4761.801,4259.25
expt-app-82,8,641.7,544.605,5133.6,4356.84
