app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-65,4,212.66299999999998,207.899,850.6519999999999,831.596
expt-app-5,8,1070.147,948.794,8561.176,7590.352
expt-app-1,5,1886.1190000000001,1811.895,9430.595000000001,9059.475
expt-app-41,2,2679.539,2593.76,5359.078,5187.52
expt-app-23,9,237.38799999999998,131.998,2136.4919999999997,1187.982
expt-app-98,8,438.253,333.041,3506.024,2664.328
expt-app-46,5,2112.851,1976.83,10564.255000000001,9884.15
expt-app-58,10,85.483,18.709,854.83,187.09
expt-app-79,9,163.936,28.749,1475.424,258.741
expt-app-61,2,757.63,644.549,1515.26,1289.098
expt-app-93,5,295.462,145.571,1477.31,727.855
expt-app-47,6,343.571,208.189,2061.4260000000004,1249.134
expt-app-53,7,156.428,151.629,1094.996,1061.403
expt-app-81,8,900.325,821.279,7202.6,6570.232
expt-app-26,8,1412.213,1307.37,11297.704,10458.96
expt-app-80,2,417.372,331.415,834.744,662.83
expt-app-38,5,421.012,265.371,2105.06,1326.855
expt-app-72,7,163.166,13.894,1142.162,97.258
expt-app-13,10,306.50699999999995,217.915,3065.0699999999997,2179.15
expt-app-56,8,713.265,569.682,5706.12,4557.456
expt-app-97,10,32.813,21.554,328.13,215.54
expt-app-3,9,1310.891,1175.8,11798.019,10582.199999999999
expt-app-86,9,903.65,824.941,8132.849999999999,7424.469
expt-app-29,9,523.073,408.695,4707.657,3678.255
expt-app-63,5,175.121,170.184,875.605,850.92
expt-app-76,6,131.919,64.891,791.5140000000001,389.346
expt-app-16,10,240.27599999999998,161.624,2402.7599999999998,1616.24
expt-app-33,6,1901.3329999999999,1834.82,11407.998,11008.92
expt-app-36,5,764.288,643.755,3821.44,3218.775
expt-app-39,8,275.55600000000004,200.374,2204.4480000000003,1602.992
expt-app-21,3,2585.0879999999997,2532.257,7755.263999999999,7596.771000000001
expt-app-15,9,572.211,467.155,5149.899,4204.3949999999995
expt-app-12,3,2905.694,2768.836,8717.082,8306.508
expt-app-60,5,792.0749999999999,642.871,3960.3749999999995,3214.355
expt-app-51,8,1247.219,1194.683,9977.752,9557.464
expt-app-71,8,97.136,30.377,777.088,243.016
expt-app-74,10,76.355,9.353,763.5500000000001,93.53
expt-app-77,10,211.307,133.072,2113.0699999999997,1330.72
expt-app-22,7,779.245,675.418,5454.715,4727.926
expt-app-2,9,217.969,138.847,1961.721,1249.623
expt-app-48,9,21.751,16.195,195.75900000000001,145.755
expt-app-14,7,1234.517,1098.927,8641.619,7692.489
expt-app-37,9,91.96799999999999,87.536,827.7119999999999,787.8240000000001
expt-app-6,1,3984.302,3841.439,3984.302,3841.439
expt-app-10,7,315.41400000000004,230.445,2207.898,1613.115
expt-app-7,6,1585.71,1443.342,9514.26,8660.052
expt-app-92,7,247.147,142.038,1730.029,994.2660000000001
expt-app-96,10,69.022,16.122,690.22,161.22
expt-app-84,9,614.597,493.995,5531.373,4445.955
expt-app-91,5,693.125,580.687,3465.625,2903.435
expt-app-99,8,253.51600000000002,118.193,2028.1280000000002,945.544
expt-app-78,10,127.188,122.381,1271.88,1223.81
expt-app-69,7,989.439,867.691,6926.072999999999,6073.837
expt-app-24,6,588.75,521.141,3532.5,3126.8459999999995
expt-app-43,3,3446.6420000000003,3311.933,10339.926000000001,9935.798999999999
expt-app-62,7,561.901,456.339,3933.307,3194.373
expt-app-49,9,443.899,191.656,3995.091,1724.904
expt-app-87,3,3468.085,3332.462,10404.255000000001,9997.386
expt-app-89,4,3067.812,2988.605,12271.248,11954.42
expt-app-30,7,315.132,209.974,2205.924,1469.818
expt-app-45,9,16.595,11.56,149.355,104.04
expt-app-85,10,324.822,246.036,3248.2200000000003,2460.36
expt-app-73,9,511.278,395.459,4601.502,3559.131
expt-app-90,3,2566.49,2410.26,7699.469999999999,7230.780000000001
expt-app-18,4,2251.502,2092.398,9006.008,8369.592
expt-app-0,9,60.357,46.806,543.213,421.25399999999996
expt-app-50,6,497.539,430.455,2985.234,2582.73
expt-app-66,6,575.339,462.495,3452.0340000000006,2774.9700000000003
expt-app-34,7,1569.521,1502.854,10986.646999999999,10519.978000000001
expt-app-20,3,2062.5789999999997,1927.758,6187.736999999999,5783.274
expt-app-27,10,180.034,30.519,1800.34,305.19
expt-app-40,6,700.557,579.197,4203.342000000001,3475.182
