app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-40,6,697.716,576.231,4186.296,3457.386
expt-app-60,5,798.658,648.7,3993.29,3243.5
expt-app-89,4,2921.0660000000003,2842.19,11684.264000000001,11368.76
expt-app-1,5,2405.7149999999997,2339.016,12028.574999999999,11695.08
expt-app-46,5,1936.269,1801.438,9681.345,9007.19
expt-app-41,2,2570.018,2483.209,5140.036,4966.418
expt-app-69,7,999.128,878.146,6993.896000000001,6147.022
expt-app-18,4,2251.892,2102.591,9007.568,8410.364
expt-app-79,9,165.017,29.537,1485.153,265.83299999999997
expt-app-93,5,269.718,120.239,1348.5900000000001,601.195
expt-app-77,10,218.722,139.98,2187.2200000000003,1399.8
expt-app-43,3,3101.323,2965.494,9303.969,8896.482
expt-app-33,6,1078.449,1004.121,6470.694,6024.726
expt-app-85,10,362.099,274.809,3620.99,2748.09
expt-app-20,3,2584.616,2448.371,7753.848,7345.113
expt-app-39,8,275.145,208.252,2201.16,1666.016
expt-app-49,9,144.632,63.931,1301.688,575.379
expt-app-3,9,759.4530000000001,624.203,6835.077000000001,5617.826999999999
expt-app-27,10,179.7,29.906,1797.0,299.06
expt-app-30,7,316.539,211.461,2215.773,1480.227
expt-app-21,3,3380.928,3328.268,10142.784,9984.804
expt-app-6,1,3132.063,2996.013,3132.063,2996.013
expt-app-76,6,140.04500000000002,64.214,840.2700000000001,385.284
expt-app-24,6,581.1840000000001,514.455,3487.1040000000003,3086.7300000000005
expt-app-53,7,142.619,137.902,998.333,965.3139999999999
expt-app-48,9,21.291,16.217,191.619,145.95299999999997
expt-app-50,6,518.697,451.944,3112.182,2711.664
expt-app-61,2,726.225,615.074,1452.45,1230.148
expt-app-23,9,246.57000000000002,134.026,2219.13,1206.2340000000002
expt-app-92,7,252.87199999999999,138.804,1770.1039999999998,971.628
expt-app-96,10,70.262,17.999,702.62,179.98999999999998
expt-app-29,9,484.325,378.271,4358.925,3404.4390000000003
expt-app-5,8,976.4620000000001,855.157,7811.696000000001,6841.256
expt-app-26,8,1057.5520000000001,945.918,8460.416000000001,7567.344
expt-app-45,9,16.518,12.04,148.662,108.35999999999999
expt-app-22,7,834.527,729.217,5841.689,5104.519
expt-app-73,9,694.893,628.354,6254.037,5655.186000000001
expt-app-0,9,62.324,49.736,560.9159999999999,447.62399999999997
expt-app-58,10,106.574,40.42,1065.74,404.20000000000005
expt-app-81,8,733.409,653.504,5867.272,5228.032
expt-app-98,8,927.048,822.004,7416.384,6576.032
expt-app-38,5,414.89799999999997,265.438,2074.49,1327.19
expt-app-36,5,542.985,414.864,2714.925,2074.3199999999997
expt-app-62,7,640.1320000000001,526.721,4480.924000000001,3687.047
expt-app-16,10,249.766,171.602,2497.66,1716.02
expt-app-66,6,874.5540000000001,768.93,5247.3240000000005,4613.58
expt-app-14,7,1084.614,948.782,7592.298000000001,6641.474
expt-app-47,6,346.375,204.616,2078.25,1227.6960000000001
expt-app-56,8,966.5129999999999,831.516,7732.103999999999,6652.128
expt-app-7,6,1825.187,1689.092,10951.122,10134.552
expt-app-86,9,406.54,327.963,3658.86,2951.6670000000004
expt-app-90,3,2415.615,2265.921,7246.844999999999,6797.762999999999
expt-app-97,10,28.885,23.792,288.85,237.92000000000002
expt-app-13,10,387.315,300.252,3873.15,3002.52
expt-app-84,9,419.512,298.092,3775.608,2682.828
expt-app-34,7,1200.974,1133.698,8406.818,7935.886
expt-app-15,9,588.0849999999999,474.766,5292.764999999999,4272.894
expt-app-80,2,404.592,325.935,809.184,651.87
expt-app-78,10,129.608,123.574,1296.08,1235.74
expt-app-12,3,3908.645,3772.533,11725.935,11317.599
expt-app-71,8,102.87,36.291,822.96,290.328
expt-app-51,8,1153.368,1101.22,9226.944,8809.76
expt-app-87,3,2932.448,2788.921,8797.344,8366.762999999999
expt-app-72,7,166.127,16.387,1162.8890000000001,114.709
expt-app-65,4,201.55,196.596,806.2,786.384
expt-app-2,9,229.055,142.875,2061.495,1285.875
expt-app-63,5,178.15800000000002,172.838,890.7900000000001,864.1899999999999
expt-app-10,7,308.11100000000005,218.088,2156.7770000000005,1526.616
expt-app-74,10,73.72800000000001,7.032,737.2800000000001,70.32
expt-app-99,8,253.863,118.471,2030.904,947.768
expt-app-91,5,682.9499999999999,577.757,3414.7499999999995,2888.785
expt-app-37,9,100.54299999999999,86.518,904.887,778.662
