app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-89,7,145.975,67.049,1021.8249999999999,469.3430000000001
expt-app-17,1,3736.7720000000004,3731.477,3736.7720000000004,3731.477
expt-app-93,4,684.74,672.372,2738.96,2689.488
expt-app-45,8,400.639,266.16,3205.112,2129.28
expt-app-78,8,283.47099999999995,179.43,2267.7679999999996,1435.44
expt-app-41,9,99.271,39.08,893.439,351.71999999999997
expt-app-71,9,279.103,172.986,2511.927,1556.8739999999998
expt-app-97,7,353.421,274.799,2473.947,1923.5929999999998
expt-app-9,5,195.36700000000002,126.72,976.835,633.6
expt-app-63,1,1145.5439999999999,1010.813,1145.5439999999999,1010.813
expt-app-14,2,2222.63,2217.067,4445.26,4434.134
expt-app-96,5,671.023,535.335,3355.1150000000002,2676.675
expt-app-75,5,427.913,359.821,2139.565,1799.105
expt-app-28,9,251.99500000000003,147.602,2267.9550000000004,1328.4180000000001
expt-app-13,5,256.755,170.164,1283.775,850.8199999999999
expt-app-32,10,221.04399999999998,154.407,2210.4399999999996,1544.0700000000002
expt-app-80,3,1308.1860000000001,1173.608,3924.5580000000004,3520.8239999999996
expt-app-11,8,341.97499999999997,229.889,2735.7999999999997,1839.112
expt-app-98,7,271.689,205.161,1901.823,1436.127
expt-app-12,8,348.827,234.716,2790.616,1877.728
expt-app-69,5,758.343,678.861,3791.7149999999997,3394.305
expt-app-61,4,809.376,674.053,3237.504,2696.212
expt-app-59,1,663.307,513.946,663.307,513.946
expt-app-90,6,333.303,266.754,1999.818,1600.5240000000001
expt-app-18,1,302.17199999999997,296.67,302.17199999999997,296.67
expt-app-57,9,174.451,95.962,1570.059,863.658
expt-app-31,8,221.36700000000002,135.318,1770.9360000000001,1082.544
expt-app-19,4,417.00399999999996,267.758,1668.0159999999998,1071.032
expt-app-84,7,110.494,29.579,773.458,207.053
expt-app-38,10,131.869,18.149,1318.69,181.49
expt-app-70,10,188.636,136.328,1886.36,1363.28
expt-app-26,2,1326.489,1205.663,2652.978,2411.326
expt-app-74,7,319.92199999999997,253.112,2239.4539999999997,1771.7839999999999
expt-app-79,9,238.671,110.178,2148.0389999999998,991.602
expt-app-55,3,987.601,866.405,2962.803,2599.215
expt-app-23,5,288.047,210.028,1440.2350000000001,1050.1399999999999
expt-app-60,7,207.13,194.204,1449.9099999999999,1359.428
expt-app-51,7,158.465,23.307,1109.255,163.149
expt-app-88,1,2533.298,2411.994,2533.298,2411.994
expt-app-82,10,175.02499999999998,94.915,1750.2499999999998,949.1500000000001
expt-app-21,5,901.461,780.676,4507.305,3903.38
expt-app-56,9,374.786,264.623,3373.074,2381.607
expt-app-52,2,1325.078,1204.387,2650.156,2408.774
expt-app-35,1,1728.02,1592.461,1728.02,1592.461
expt-app-95,5,730.8860000000001,595.839,3654.4300000000003,2979.195
expt-app-22,10,166.55100000000002,55.322,1665.5100000000002,553.22
expt-app-68,8,351.03200000000004,284.151,2808.2560000000003,2273.208
expt-app-50,4,486.761,337.821,1947.044,1351.284
expt-app-58,7,419.24899999999997,299.204,2934.743,2094.428
expt-app-53,4,227.125,160.403,908.5,641.612
expt-app-85,6,419.599,360.706,2517.594,2164.236
expt-app-36,3,720.62,715.853,2161.86,2147.5589999999997
expt-app-8,6,204.066,125.892,1224.396,755.352
expt-app-30,4,446.478,379.524,1785.912,1518.096
expt-app-49,3,1065.237,1060.304,3195.7110000000002,3180.9120000000003
expt-app-72,3,588.69,522.091,1766.0700000000002,1566.2730000000001
expt-app-92,10,117.74900000000001,13.678,1177.49,136.78
expt-app-40,8,98.191,13.003,785.528,104.024
expt-app-99,2,2048.546,2044.268,4097.092,4088.536
expt-app-3,5,411.95,338.281,2059.75,1691.405
expt-app-16,5,250.90400000000002,246.757,1254.5200000000002,1233.785
expt-app-66,3,883.457,748.071,2650.371,2244.213
expt-app-48,1,1127.0919999999999,1022.658,1127.0919999999999,1022.658
expt-app-64,3,1927.2990000000002,1792.167,5781.897000000001,5376.501
expt-app-33,6,268.024,181.461,1608.144,1088.766
expt-app-94,5,324.04,204.249,1620.2,1021.245
expt-app-46,6,402.493,398.121,2414.958,2388.7259999999997
expt-app-83,7,123.467,57.882,864.269,405.174
expt-app-81,3,1071.504,951.256,3214.5119999999997,2853.768
expt-app-47,1,2400.67,2396.051,2400.67,2396.051
expt-app-7,9,261.602,194.982,2354.4179999999997,1754.838
expt-app-37,3,1191.138,1070.228,3573.4139999999998,3210.684
expt-app-87,3,573.326,417.11,1719.978,1251.33
expt-app-25,4,969.084,833.846,3876.336,3335.384
expt-app-65,6,342.685,276.536,2056.11,1659.216
expt-app-54,6,130.34,64.358,782.04,386.148
expt-app-29,10,73.209,20.448,732.09,204.48000000000002
expt-app-2,10,127.407,48.94,1274.07,489.4
expt-app-15,3,872.165,867.413,2616.495,2602.239
expt-app-67,2,661.456,505.167,1322.912,1010.334
expt-app-91,4,326.75,321.75,1307.0,1287.0
expt-app-86,9,221.008,116.149,1989.0720000000001,1045.341
expt-app-44,7,343.041,266.783,2401.287,1867.4810000000002
expt-app-5,10,147.197,26.877,1471.97,268.77
expt-app-42,9,156.398,21.318,1407.5819999999999,191.86200000000002
expt-app-6,10,298.164,231.206,2981.64,2312.06
expt-app-73,6,339.125,260.774,2034.75,1564.644
