app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-69,8,625.745,547.17,5005.96,4377.36
expt-app-0,4,1419.073,1340.013,5676.292,5360.052
expt-app-83,6,1912.2920000000001,1825.444,11473.752,10952.664
expt-app-57,7,849.315,830.18,5945.205,5811.259999999999
expt-app-34,7,363.98900000000003,252.866,2547.9230000000002,1770.0620000000001
expt-app-12,5,2055.5910000000003,1899.828,10277.955000000002,9499.14
expt-app-72,5,276.19,197.358,1380.95,986.79
expt-app-62,8,174.496,121.875,1395.968,975.0
expt-app-93,6,1008.235,903.269,6049.41,5419.614
expt-app-44,10,204.103,125.322,2041.0300000000002,1253.22
expt-app-76,1,1455.663,1334.616,1455.663,1334.616
expt-app-41,10,131.28300000000002,53.105,1312.8300000000002,531.05
expt-app-24,6,195.362,50.335,1172.172,302.01
expt-app-9,5,1242.405,1137.996,6212.025,5689.9800000000005
expt-app-37,6,521.104,454.155,3126.6240000000003,2724.93
expt-app-18,8,615.086,510.576,4920.688,4084.608
expt-app-50,9,427.637,270.093,3848.733,2430.837
expt-app-94,3,337.298,332.65,1011.894,997.9499999999999
expt-app-88,5,1793.9830000000002,1789.098,8969.915,8945.49
expt-app-30,5,2063.008,2052.679,10315.039999999999,10263.395
expt-app-56,10,94.58500000000001,15.558,945.8500000000001,155.57999999999998
expt-app-38,7,697.095,692.976,4879.665,4850.832
expt-app-2,10,92.24499999999999,13.36,922.4499999999999,133.6
expt-app-51,4,1665.714,1586.548,6662.856,6346.192
expt-app-13,10,138.27,33.533,1382.7,335.33000000000004
expt-app-73,7,457.461,308.854,3202.227,2161.978
expt-app-16,5,1440.082,1435.598,7200.410000000001,7177.99
expt-app-60,6,667.706,532.034,4006.236,3192.2039999999997
expt-app-89,8,583.789,478.622,4670.312,3828.976
expt-app-14,6,1319.2710000000002,1191.521,7915.626000000001,7149.126
expt-app-47,2,1050.697,971.299,2101.394,1942.598
expt-app-65,9,200.85500000000002,51.447,1807.6950000000002,463.023
expt-app-5,6,740.468,593.669,4442.808,3562.014
expt-app-7,7,625.885,547.154,4381.195,3830.078
expt-app-49,8,1075.9959999999999,1008.746,8607.967999999999,8069.968
expt-app-96,1,1432.308,1372.367,1432.308,1372.367
expt-app-75,8,112.11,33.611,896.88,268.888
expt-app-97,5,524.255,446.248,2621.275,2231.24
expt-app-67,1,882.775,761.52,882.775,761.52
expt-app-31,8,565.407,491.483,4523.256,3931.864
expt-app-74,2,1876.876,1741.482,3753.752,3482.964
expt-app-29,4,704.126,699.502,2816.504,2798.008
expt-app-54,7,875.773,726.194,6130.411,5083.358
expt-app-86,8,425.284,260.053,3402.272,2080.424
expt-app-3,6,1324.4689999999998,1211.942,7946.8139999999985,7271.652
expt-app-22,7,643.262,576.64,4502.834,4036.48
expt-app-92,9,40.745000000000005,36.248,366.70500000000004,326.23199999999997
expt-app-90,5,437.408,332.547,2187.04,1662.7350000000001
expt-app-25,9,482.798,346.77,4345.182,3120.93
expt-app-19,5,1871.354,1785.779,9356.77,8928.895
expt-app-82,10,159.532,80.92,1595.3200000000002,809.2
expt-app-10,5,605.494,456.166,3027.4700000000003,2280.83
expt-app-77,7,131.306,52.433,919.142,367.031
expt-app-68,9,225.552,76.888,2029.9679999999998,691.9920000000001
expt-app-43,10,175.397,69.115,1753.9699999999998,691.15
expt-app-95,2,1784.386,1662.858,3568.772,3325.716
expt-app-70,10,154.32000000000002,78.624,1543.2000000000003,786.24
expt-app-63,1,1117.035,981.057,1117.035,981.057
expt-app-53,5,1824.6180000000002,1702.923,9123.09,8514.615
expt-app-26,10,133.00799999999998,7.199,1330.08,71.99
expt-app-98,5,1695.73,1559.825,8478.65,7799.125
expt-app-20,2,1135.164,998.951,2270.328,1997.902
expt-app-39,7,208.8,142.005,1461.6000000000001,994.035
expt-app-52,6,1352.1190000000001,1216.042,8112.714000000001,7296.2519999999995
expt-app-99,2,557.62,494.828,1115.24,989.656
expt-app-58,8,466.881,331.999,3735.048,2655.992
expt-app-11,9,60.275000000000006,55.679,542.475,501.111
expt-app-23,2,776.49,633.581,1552.98,1267.162
expt-app-45,7,1051.3539999999998,931.012,7359.477999999999,6517.084
expt-app-36,7,822.561,770.447,5757.927000000001,5393.129
expt-app-42,6,2420.711,2353.334,14524.266,14120.003999999999
expt-app-64,4,704.02,699.201,2816.08,2796.804
expt-app-35,9,325.475,220.539,2929.275,1984.8509999999999
expt-app-32,8,402.173,253.18,3217.384,2025.44
expt-app-33,9,131.647,26.187,1184.8229999999999,235.68300000000002
expt-app-40,8,926.7800000000001,911.863,7414.240000000001,7294.904
expt-app-84,6,1344.7720000000002,1223.973,8068.632000000001,7343.838
expt-app-91,8,466.478,399.355,3731.824,3194.84
expt-app-87,5,1164.731,1085.104,5823.655,5425.52
expt-app-27,8,542.9190000000001,456.441,4343.352000000001,3651.528
