app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-66,5,1432.5520000000001,1327.312,7162.76,6636.5599999999995
expt-app-91,10,95.36,17.003,953.6,170.03
expt-app-34,8,189.621,31.558,1516.968,252.464
expt-app-39,10,76.386,61.072,763.8599999999999,610.72
expt-app-68,2,1780.381,1645.166,3560.762,3290.332
expt-app-29,8,607.971,459.574,4863.768,3676.592
expt-app-38,10,145.98,93.497,1459.8,934.97
expt-app-40,8,725.467,569.261,5803.736,4554.088
expt-app-89,6,1223.952,1156.617,7343.7119999999995,6939.701999999999
expt-app-7,7,665.531,545.259,4658.717,3816.813
expt-app-21,5,793.5179999999999,672.526,3967.5899999999997,3362.6299999999997
expt-app-4,10,478.024,399.027,4780.24,3990.27
expt-app-65,9,660.634,556.432,5945.706,5007.888
expt-app-78,6,445.55899999999997,366.776,2673.354,2200.656
expt-app-8,8,327.493,185.399,2619.944,1483.192
expt-app-26,7,1011.3160000000001,876.187,7079.212000000001,6133.309
expt-app-1,3,1711.287,1554.445,5133.861,4663.335
expt-app-19,3,91.307,87.147,273.921,261.44100000000003
expt-app-53,10,152.055,148.012,1520.5500000000002,1480.12
expt-app-80,7,784.2,706.087,5489.400000000001,4942.609
expt-app-9,7,1016.8839999999999,1011.764,7118.187999999999,7082.348
expt-app-67,9,459.31899999999996,310.555,4133.870999999999,2794.995
expt-app-48,3,1060.281,924.589,3180.843,2773.7670000000003
expt-app-77,3,2821.858,2742.719,8465.574,8228.157
expt-app-88,4,893.216,783.612,3572.864,3134.448
expt-app-36,10,420.196,285.819,4201.96,2858.19
expt-app-0,4,1501.8899999999999,1434.892,6007.5599999999995,5739.568
expt-app-57,7,527.316,452.967,3691.2120000000004,3170.769
expt-app-87,5,316.742,238.785,1583.71,1193.925
expt-app-81,7,870.0120000000001,728.438,6090.084000000001,5099.066
expt-app-41,8,835.9440000000001,757.316,6687.552000000001,6058.528
expt-app-93,5,1347.5919999999999,1255.28,6737.959999999999,6276.4
expt-app-96,3,768.51,663.111,2305.5299999999997,1989.333
expt-app-31,10,178.446,43.425,1784.46,434.25
expt-app-99,10,114.604,9.571,1146.04,95.71
expt-app-18,5,196.466,76.239,982.33,381.19500000000005
expt-app-95,4,2448.09,2343.254,9792.36,9373.016
expt-app-37,5,965.885,830.986,4829.425,4154.93
expt-app-42,5,1001.698,949.615,5008.49,4748.075
expt-app-23,4,2339.623,2227.123,9358.492,8908.492
expt-app-70,6,1198.859,1078.533,7193.1539999999995,6471.197999999999
expt-app-35,9,196.276,61.448,1766.4840000000002,553.032
expt-app-82,6,1294.139,1181.479,7764.833999999999,7088.874
expt-app-14,10,94.664,19.358,946.64,193.58
expt-app-54,3,311.334,232.341,934.002,697.023
expt-app-45,6,889.7009999999999,810.598,5338.205999999999,4863.588
expt-app-11,6,169.98499999999999,83.263,1019.9099999999999,499.57800000000003
expt-app-27,10,304.99399999999997,230.812,3049.9399999999996,2308.12
expt-app-62,9,319.82300000000004,214.709,2878.407,1932.381
expt-app-83,9,237.254,109.473,2135.286,985.257
expt-app-76,8,588.295,452.951,4706.36,3623.608
expt-app-46,8,120.035,41.149,960.28,329.192
expt-app-25,3,859.73,710.97,2579.19,2132.91
expt-app-85,5,291.341,225.93,1456.705,1129.65
expt-app-28,4,1746.319,1641.371,6985.276,6565.484
expt-app-47,5,1506.324,1453.407,7531.620000000001,7267.035
expt-app-73,7,525.023,510.827,3675.161,3575.7889999999998
expt-app-12,5,437.545,307.583,2187.725,1537.9150000000002
expt-app-97,6,905.802,770.295,5434.812,4621.7699999999995
expt-app-55,6,669.2470000000001,602.043,4015.4820000000004,3612.258
expt-app-2,10,537.828,461.4,5378.28,4614.0
expt-app-16,3,1134.877,1068.471,3404.631,3205.413
expt-app-84,3,2815.722,2667.235,8447.166000000001,8001.705
expt-app-75,2,4926.163,4804.664,9852.326,9609.328
expt-app-10,4,535.408,423.644,2141.632,1694.576
expt-app-86,5,1782.135,1777.534,8910.675,8887.67
expt-app-17,4,1425.512,1358.824,5702.048,5435.296
expt-app-5,2,525.089,394.557,1050.178,789.114
expt-app-33,4,1704.088,1699.041,6816.352,6796.164
expt-app-13,4,1100.786,1022.081,4403.144,4088.324
expt-app-92,9,56.733,52.687,510.597,474.183
expt-app-59,10,145.77300000000002,24.806,1457.7300000000002,248.06
