app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-31,10,147.47899999999998,18.687,1474.79,186.87
expt-app-12,5,442.604,330.901,2213.02,1654.505
expt-app-4,10,573.9680000000001,463.053,5739.68,4630.53
expt-app-91,10,35.231,24.175,352.31,241.75
expt-app-99,10,97.888,10.998,978.8800000000001,109.97999999999999
expt-app-19,3,169.649,27.07,508.947,81.21000000000001
expt-app-92,9,153.846,43.082,1384.614,387.738
expt-app-18,5,182.81900000000002,69.4,914.095,347.0
expt-app-2,10,474.65000000000003,470.48,4746.5,4704.8
expt-app-14,10,159.855,47.133,1598.55,471.33000000000004
expt-app-36,10,393.021,251.145,3930.21,2511.4500000000003
expt-app-34,8,141.975,12.625,1135.8,101.0
expt-app-29,8,416.70099999999996,277.273,3333.6079999999997,2218.184
expt-app-57,7,736.464,592.554,5155.2480000000005,4147.878
expt-app-80,7,735.8710000000001,624.587,5151.097000000001,4372.109
expt-app-35,9,156.87300000000002,46.68,1411.8570000000002,420.12
expt-app-46,8,84.333,10.406,674.664,83.248
expt-app-59,10,195.323,54.447,1953.23,544.47
expt-app-39,10,164.958,52.721,1649.58,527.2099999999999
expt-app-11,6,293.891,172.897,1763.346,1037.382
