app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-14,6,385.93699999999995,381.589,2315.622,2289.534
expt-app-96,1,698.547,585.623,698.547,585.623
expt-app-57,7,583.773,505.766,4086.411,3540.362
expt-app-15,9,162.805,158.402,1465.2450000000001,1425.618
expt-app-5,6,274.312,207.837,1645.872,1247.022
expt-app-20,2,555.021,449.845,1110.042,899.69
expt-app-44,10,224.321,82.201,2243.21,822.01
expt-app-13,10,128.012,23.441,1280.12,234.41
expt-app-30,5,1043.3410000000001,964.386,5216.705000000001,4821.93
expt-app-58,8,193.70100000000002,123.881,1549.6080000000002,991.048
expt-app-4,4,1216.183,1211.933,4864.732,4847.732
expt-app-45,7,689.781,584.63,4828.467,4092.41
expt-app-42,6,1132.375,1066.375,6794.25,6398.25
expt-app-99,2,496.84000000000003,392.317,993.6800000000001,784.634
expt-app-2,10,154.368,18.619,1543.6799999999998,186.19
expt-app-22,7,294.51500000000004,208.728,2061.6050000000005,1461.096
expt-app-76,1,1056.977,921.235,1056.977,921.235
expt-app-94,3,289.115,210.16,867.345,630.48
expt-app-62,8,242.631,176.074,1941.048,1408.592
expt-app-56,10,119.438,14.673,1194.38,146.73
expt-app-59,5,467.73900000000003,409.124,2338.695,2045.6200000000001
expt-app-12,5,889.163,884.776,4445.8150000000005,4423.88
expt-app-89,8,146.43800000000002,79.911,1171.5040000000001,639.288
expt-app-7,7,140.38400000000001,74.828,982.6880000000001,523.796
expt-app-72,5,173.956,115.502,869.78,577.51
expt-app-68,9,104.534,28.458,940.806,256.12199999999996
expt-app-78,2,2705.406,2583.458,5410.812,5166.916
expt-app-23,2,448.127,376.314,896.254,752.628
expt-app-69,8,278.723,212.723,2229.784,1701.784
expt-app-77,7,163.03,52.241,1141.21,365.687
expt-app-98,5,558.3249999999999,453.968,2791.6249999999995,2269.84
expt-app-34,7,431.102,296.499,3017.714,2075.4930000000004
expt-app-33,9,129.05,16.476,1161.45,148.284
expt-app-9,5,299.85699999999997,233.581,1499.2849999999999,1167.905
expt-app-25,9,293.087,158.594,2637.783,1427.346
expt-app-53,5,964.0999999999999,959.435,4820.5,4797.174999999999
expt-app-35,9,110.808,106.271,997.272,956.439
expt-app-52,6,355.79699999999997,285.411,2134.7819999999997,1712.466
expt-app-27,8,166.31,154.524,1330.48,1236.192
expt-app-8,6,491.593,371.367,2949.558,2228.202
expt-app-1,2,3173.5370000000003,3037.976,6347.0740000000005,6075.952
expt-app-36,7,631.267,510.455,4418.869000000001,3573.185
expt-app-41,10,161.58800000000002,18.87,1615.88,188.70000000000002
expt-app-70,10,139.5,35.17,1395.0,351.70000000000005
expt-app-81,4,2383.352,2262.036,9533.408,9048.144
expt-app-17,2,1499.734,1350.645,2999.468,2701.29
expt-app-91,8,320.394,199.469,2563.152,1595.752
expt-app-3,6,643.0590000000001,513.792,3858.3540000000003,3082.7520000000004
expt-app-60,6,250.86,171.538,1505.16,1029.228
expt-app-47,2,1016.1610000000001,866.56,2032.3220000000001,1733.12
expt-app-75,8,132.075,28.084,1056.6,224.672
expt-app-37,6,198.448,124.986,1190.688,749.916
expt-app-88,5,1092.2549999999999,1013.766,5461.275,5068.83
expt-app-43,10,85.26,18.677,852.6,186.76999999999998
expt-app-83,6,769.047,665.143,4614.282,3990.858
expt-app-65,9,110.808,44.825,997.272,403.425
expt-app-29,4,477.293,356.849,1909.172,1427.396
expt-app-86,8,104.407,51.791,835.256,414.328
expt-app-10,5,383.278,262.751,1916.39,1313.7549999999999
expt-app-49,8,455.381,441.381,3643.048,3531.048
expt-app-93,6,345.596,325.947,2073.576,1955.682
expt-app-92,9,78.016,26.235,702.144,236.115
expt-app-87,5,375.136,370.11,1875.68,1850.5500000000002
expt-app-0,4,553.218,403.576,2212.872,1614.304
expt-app-16,5,450.104,338.238,2250.52,1691.19
expt-app-61,4,1120.509,999.739,4482.036,3998.956
expt-app-31,8,380.747,302.0,3045.976,2416.0
expt-app-26,10,154.70000000000002,12.063,1547.0000000000002,120.63000000000001
expt-app-82,10,160.626,25.452,1606.26,254.52
expt-app-24,6,51.858000000000004,39.94,311.148,239.64
expt-app-90,5,323.899,219.785,1619.495,1098.925
expt-app-50,9,229.084,93.927,2061.756,845.3430000000001
expt-app-11,9,65.31099999999999,52.416,587.799,471.74399999999997
expt-app-39,7,148.697,136.371,1040.879,954.5970000000001
expt-app-97,5,362.271,257.959,1811.355,1289.795
expt-app-40,8,406.826,354.664,3254.608,2837.312
expt-app-38,7,475.832,396.963,3330.824,2778.741
expt-app-54,7,207.339,140.56,1451.373,983.9200000000001
expt-app-32,8,123.72800000000001,49.565,989.8240000000001,396.52
expt-app-79,3,797.91,648.125,2393.73,1944.375
expt-app-73,7,107.967,42.493,755.769,297.451
expt-app-19,5,1025.558,946.631,5127.79,4733.155
expt-app-18,8,231.759,153.182,1854.072,1225.456
