app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,10,153.40599999999998,18.113,1534.0599999999997,181.13
expt-app-52,6,297.315,230.415,1783.8899999999999,1382.49
expt-app-87,5,471.913,466.853,2359.565,2334.265
expt-app-75,8,142.35600000000002,28.031,1138.8480000000002,224.248
expt-app-12,5,863.4960000000001,858.702,4317.4800000000005,4293.51
expt-app-26,10,146.816,12.042,1468.16,120.42
expt-app-8,6,515.004,394.529,3090.0240000000003,2367.174
expt-app-70,10,139.09,34.312,1390.9,343.12
expt-app-88,5,1193.311,1114.801,5966.554999999999,5574.004999999999
expt-app-34,7,424.26399999999995,280.488,2969.8479999999995,1963.416
expt-app-15,9,160.893,147.882,1448.037,1330.938
expt-app-1,2,3316.776,3181.574,6633.552,6363.148
expt-app-82,10,161.048,26.323,1610.48,263.23
expt-app-40,8,403.506,351.719,3228.048,2813.752
expt-app-11,9,65.606,54.826,590.454,493.434
expt-app-9,5,364.239,298.342,1821.195,1491.71
expt-app-90,5,333.603,228.643,1668.015,1143.215
expt-app-0,4,568.703,417.944,2274.812,1671.776
expt-app-24,6,54.728,42.702,328.368,256.212
expt-app-60,6,262.231,184.366,1573.386,1106.1960000000001
expt-app-29,4,509.87800000000004,381.304,2039.5120000000002,1525.216
expt-app-45,7,492.553,387.75,3447.871,2714.25
expt-app-31,8,379.262,300.199,3034.096,2401.592
expt-app-10,5,379.658,258.961,1898.29,1294.805
expt-app-62,8,257.84200000000004,191.136,2062.7360000000003,1529.088
expt-app-18,8,258.60699999999997,174.226,2068.8559999999998,1393.808
expt-app-44,10,220.251,85.572,2202.51,855.72
expt-app-7,7,157.338,91.482,1101.366,640.374
expt-app-22,7,472.021,393.04,3304.147,2751.28
expt-app-61,4,1340.476,1219.595,5361.904,4878.38
expt-app-13,10,130.874,18.333,1308.74,183.32999999999998
expt-app-83,6,748.71,644.522,4492.26,3867.1320000000005
expt-app-37,6,217.172,150.9,1303.032,905.4000000000001
expt-app-76,1,1059.303,923.406,1059.303,923.406
expt-app-17,2,1386.567,1230.938,2773.134,2461.876
expt-app-32,8,114.84700000000001,48.721,918.7760000000001,389.768
expt-app-72,5,180.74499999999998,121.225,903.7249999999999,606.125
expt-app-58,8,201.33599999999998,96.54,1610.6879999999999,772.32
expt-app-53,5,914.055,910.038,4570.275,4550.1900000000005
expt-app-30,5,1111.612,1028.375,5558.06,5141.875
expt-app-89,8,141.868,76.432,1134.944,611.456
expt-app-57,7,516.9639999999999,438.364,3618.7479999999996,3068.548
expt-app-39,7,106.119,101.363,742.833,709.5409999999999
expt-app-16,5,482.469,378.298,2412.345,1891.49
expt-app-68,9,148.749,81.417,1338.741,732.753
expt-app-36,7,538.458,417.622,3769.2059999999997,2923.3540000000003
expt-app-56,10,125.531,14.1,1255.31,141.0
expt-app-78,2,2654.267,2532.7,5308.534,5065.4
expt-app-59,5,458.926,406.521,2294.63,2032.605
expt-app-19,5,1082.5800000000002,998.491,5412.900000000001,4992.455
expt-app-81,4,2557.132,2435.671,10228.528,9742.684
expt-app-50,9,223.947,88.861,2015.5230000000001,799.749
expt-app-69,8,272.785,206.451,2182.28,1651.608
expt-app-79,3,808.98,659.94,2426.94,1979.8200000000002
expt-app-77,7,139.46900000000002,52.527,976.2830000000001,367.689
expt-app-27,8,158.585,154.389,1268.68,1235.112
expt-app-96,1,840.801,736.131,840.801,736.131
expt-app-73,7,113.163,46.871,792.141,328.09700000000004
expt-app-23,2,467.33599999999996,395.676,934.6719999999999,791.352
expt-app-98,5,522.693,418.185,2613.465,2090.925
expt-app-54,7,214.825,148.625,1503.7749999999999,1040.375
expt-app-94,3,277.214,198.714,831.642,596.142
expt-app-42,6,1041.635,975.016,6249.8099999999995,5850.096
expt-app-14,6,381.947,369.048,2291.682,2214.288
expt-app-38,7,324.306,237.901,2270.142,1665.307
expt-app-49,8,438.97999999999996,433.954,3511.8399999999997,3471.632
expt-app-91,8,314.298,193.498,2514.384,1547.984
expt-app-92,9,80.021,27.905,720.189,251.145
expt-app-86,8,103.27699999999999,51.164,826.2159999999999,409.312
expt-app-41,10,167.22899999999998,24.307,1672.29,243.07
expt-app-4,4,1213.865,1208.798,4855.46,4835.192
expt-app-33,9,120.64,15.911,1085.76,143.19899999999998
expt-app-5,6,228.79,162.797,1372.74,976.7819999999999
expt-app-3,6,630.887,510.557,3785.3219999999997,3063.342
expt-app-65,9,117.33300000000001,51.071,1055.997,459.639
expt-app-20,2,812.326,707.768,1624.652,1415.536
expt-app-99,2,462.748,358.363,925.496,716.726
expt-app-93,6,534.397,530.471,3206.3820000000005,3182.826
expt-app-25,9,285.224,150.887,2567.016,1357.983
expt-app-43,10,93.25,19.477,932.5,194.77
expt-app-97,5,350.111,245.391,1750.5549999999998,1226.955
expt-app-35,9,113.557,109.468,1022.013,985.212
expt-app-47,2,1005.686,856.572,2011.372,1713.144
