app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-80,8,539.937,535.217,4319.496,4281.736
expt-app-16,4,1029.185,962.276,4116.74,3849.104
expt-app-55,3,2557.77,2422.206,7673.3099999999995,7266.618
expt-app-27,4,253.208,248.587,1012.832,994.348
expt-app-47,8,356.735,289.174,2853.88,2313.392
expt-app-93,7,537.697,463.188,3763.879,3242.316
expt-app-32,5,1573.079,1468.07,7865.3949999999995,7340.349999999999
expt-app-86,3,3263.893,3250.173,9791.679,9750.519
expt-app-33,5,181.273,60.365,906.365,301.825
expt-app-9,7,78.993,11.589,552.951,81.123
expt-app-61,3,1669.2389999999998,1590.247,5007.717,4770.741
expt-app-72,7,562.367,457.409,3936.5689999999995,3201.863
expt-app-15,7,533.862,399.146,3737.0339999999997,2794.022
expt-app-74,7,516.8960000000001,504.05,3618.2720000000004,3528.35
expt-app-51,7,972.996,837.592,6810.972,5863.144
expt-app-99,10,144.144,16.333,1441.44,163.32999999999998
expt-app-8,6,688.669,610.403,4132.014,3662.418
expt-app-64,9,453.90999999999997,304.625,4085.1899999999996,2741.625
expt-app-17,6,1447.6789999999999,1380.181,8686.073999999999,8281.086
expt-app-71,3,2522.612,2455.073,7567.836,7365.218999999999
expt-app-0,5,1190.384,1111.302,5951.92,5556.509999999999
expt-app-92,5,814.38,727.3,4071.9,3636.5
expt-app-26,7,1175.408,1170.887,8227.856,8196.208999999999
expt-app-58,8,736.103,669.373,5888.824,5354.984
expt-app-39,9,21.093,10.433,189.837,93.89699999999999
expt-app-24,9,132.446,53.518,1192.014,481.66200000000003
expt-app-48,10,83.687,73.789,836.87,737.89
expt-app-42,4,1883.213,1830.346,7532.852,7321.384
expt-app-35,5,113.591,39.104,567.9549999999999,195.51999999999998
expt-app-31,8,753.212,648.894,6025.696,5191.152
expt-app-67,7,570.148,449.964,3991.036,3149.748
expt-app-46,7,484.692,406.101,3392.844,2842.707
expt-app-84,4,805.014,752.204,3220.056,3008.816
expt-app-3,4,1997.681,1853.359,7990.724,7413.436
expt-app-60,6,1856.897,1735.951,11141.382,10415.706
expt-app-38,7,343.492,261.969,2404.444,1833.783
expt-app-53,8,256.747,152.281,2053.976,1218.248
expt-app-76,3,2445.271,2364.78,7335.813,7094.34
expt-app-34,6,24.389999999999997,19.65,146.33999999999997,117.89999999999999
expt-app-12,7,656.083,498.751,4592.581,3491.2569999999996
expt-app-81,9,97.918,18.553,881.2620000000001,166.977
expt-app-97,10,238.892,111.08,2388.92,1110.8
expt-app-96,3,3551.147,3401.428,10653.440999999999,10204.284
expt-app-73,5,1481.394,1360.13,7406.97,6800.650000000001
expt-app-40,6,955.342,811.52,5732.052,4869.12
expt-app-20,10,484.593,327.906,4845.93,3279.06
expt-app-23,9,597.262,530.143,5375.357999999999,4771.287
expt-app-7,3,2908.093,2772.577,8724.278999999999,8317.731
expt-app-68,5,150.931,84.481,754.6550000000001,422.405
expt-app-59,8,410.795,266.957,3286.36,2135.656
expt-app-89,4,1948.637,1881.129,7794.548,7524.516
expt-app-13,10,115.524,10.412,1155.24,104.12
expt-app-4,5,1034.859,885.681,5174.295,4428.405000000001
expt-app-41,7,169.856,90.969,1188.992,636.7829999999999
expt-app-43,5,2330.232,2194.83,11651.16,10974.15
expt-app-75,6,2216.884,2075.757,13301.304,12454.542000000001
expt-app-29,8,425.996,296.222,3407.968,2369.776
expt-app-62,3,2690.13,2676.746,8070.39,8030.238
expt-app-78,3,1948.868,1943.717,5846.603999999999,5831.151
expt-app-45,6,668.531,601.696,4011.1859999999997,3610.1760000000004
expt-app-95,7,151.199,84.279,1058.393,589.953
expt-app-98,7,451.70500000000004,377.073,3161.9350000000004,2639.511
expt-app-54,5,511.50600000000003,458.58,2557.53,2292.9
