app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-80,8,553.365,548.525,4426.92,4388.2
expt-app-34,6,24.904,19.892,149.424,119.352
expt-app-26,7,712.7959999999999,708.452,4989.571999999999,4959.164
expt-app-99,10,137.16500000000002,16.383,1371.65,163.82999999999998
expt-app-75,6,2615.853,2480.843,15695.118,14885.057999999999
expt-app-20,10,545.8499999999999,396.285,5458.499999999999,3962.8500000000004
expt-app-59,8,391.072,256.7,3128.576,2053.6
expt-app-51,7,1085.015,950.333,7595.1050000000005,6652.331
expt-app-48,10,86.29199999999999,74.207,862.9199999999998,742.0699999999999
expt-app-16,4,1060.0149999999999,993.117,4240.0599999999995,3972.468
expt-app-64,9,460.459,310.665,4144.131,2795.985
expt-app-4,5,990.026,841.012,4950.13,4205.0599999999995
expt-app-29,8,258.08799999999997,137.811,2064.7039999999997,1102.488
expt-app-76,3,3124.457,3045.5,9373.371,9136.5
expt-app-40,6,976.012,831.901,5856.072,4991.406
expt-app-93,7,523.814,457.685,3666.698,3203.795
expt-app-35,5,104.932,37.969,524.66,189.845
expt-app-60,6,1302.2540000000001,1173.336,7813.524000000001,7040.016
expt-app-12,7,535.832,386.771,3750.824,2707.397
expt-app-32,5,1257.436,1152.505,6287.179999999999,5762.525000000001
expt-app-38,7,435.26599999999996,356.572,3046.8619999999996,2496.004
expt-app-24,9,138.853,52.67,1249.6770000000001,474.03000000000003
expt-app-53,8,260.081,155.162,2080.648,1241.296
expt-app-23,9,630.0590000000001,562.756,5670.531000000001,5064.804
expt-app-0,5,1698.05,1619.137,8490.25,8095.6849999999995
expt-app-74,7,465.729,461.159,3260.103,3228.113
expt-app-9,7,79.408,11.942,555.856,83.594
expt-app-46,7,485.408,407.233,3397.856,2850.631
expt-app-72,7,842.981,738.0,5900.867,5166.0
expt-app-68,5,161.38,86.706,806.9,433.53000000000003
expt-app-27,4,262.732,250.703,1050.928,1002.812
expt-app-7,3,2879.9649999999997,2744.136,8639.894999999999,8232.408
expt-app-78,3,2469.836,2464.953,7409.508,7394.859
expt-app-71,3,3025.067,2958.059,9075.201000000001,8874.177
expt-app-73,5,1300.602,1180.301,6503.01,5901.504999999999
expt-app-33,5,182.10999999999999,60.811,910.55,304.055
expt-app-15,7,828.761,692.98,5801.326999999999,4850.860000000001
expt-app-47,8,362.519,291.191,2900.152,2329.528
expt-app-42,4,2162.3920000000003,2109.674,8649.568000000001,8438.696
expt-app-58,8,883.638,817.073,7069.104,6536.584
expt-app-8,6,679.542,592.045,4077.2520000000004,3552.2699999999995
expt-app-13,10,122.495,9.542,1224.95,95.42
expt-app-81,9,103.203,15.515,928.827,139.635
expt-app-96,3,3439.905,3290.504,10319.715,9871.511999999999
expt-app-61,3,2039.1,1960.313,6117.299999999999,5880.939
expt-app-54,5,512.885,459.969,2564.425,2299.845
expt-app-86,3,3292.139,3279.435,9876.417000000001,9838.305
expt-app-31,8,721.647,616.83,5773.176,4934.64
expt-app-62,3,1846.3529999999998,1842.038,5539.058999999999,5526.114
expt-app-97,10,224.107,97.073,2241.07,970.7299999999999
expt-app-17,6,1475.204,1400.917,8851.224,8405.502
expt-app-43,5,2138.41,1996.08,10692.05,9980.4
expt-app-45,6,723.511,656.423,4341.066,3938.538
expt-app-39,9,18.907,8.447,170.163,76.023
expt-app-89,4,2485.169,2409.087,9940.676,9636.348
expt-app-41,7,178.248,91.135,1247.7359999999999,637.945
expt-app-84,4,1227.713,1174.982,4910.852,4699.928
expt-app-3,4,2596.53,2460.549,10386.12,9842.196
expt-app-67,7,334.007,213.178,2338.049,1492.246
expt-app-98,7,347.383,274.654,2431.681,1922.578
expt-app-92,5,1200.457,1122.251,6002.285000000001,5611.255
expt-app-95,7,151.534,84.763,1060.7379999999998,593.341
expt-app-55,3,2501.126,2365.115,7503.378000000001,7095.344999999999
