app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-92,5,1193.1609999999998,1071.998,5965.804999999999,5359.99
expt-app-66,1,3053.9559999999997,3042.796,3053.9559999999997,3042.796
expt-app-58,8,469.039,364.175,3752.312,2913.4
expt-app-77,4,1866.3860000000002,1799.594,7465.544000000001,7198.376
expt-app-31,8,503.51500000000004,398.896,4028.1200000000003,3191.168
expt-app-35,5,307.07800000000003,186.619,1535.39,933.095
expt-app-3,4,2217.364,2150.289,8869.456,8601.156
expt-app-43,5,1718.633,1651.517,8593.165,8257.585000000001
expt-app-38,7,1549.948,1475.422,10849.636,10327.954
expt-app-17,6,904.0550000000001,891.8,5424.33,5350.799999999999
expt-app-34,6,135.61100000000002,14.852,813.6660000000002,89.112
expt-app-62,3,2021.264,1917.685,6063.7919999999995,5753.055
expt-app-64,9,208.344,120.806,1875.096,1087.254
expt-app-4,5,576.2420000000001,565.841,2881.2100000000005,2829.205
expt-app-57,2,3215.0389999999998,3201.632,6430.0779999999995,6403.264
expt-app-33,5,182.113,60.787,910.565,303.935
expt-app-0,5,1545.308,1478.81,7726.54,7394.049999999999
expt-app-67,7,278.36,143.402,1948.52,1003.8139999999999
expt-app-21,7,560.909,508.992,3926.363,3562.944
expt-app-88,1,1681.087,1675.49,1681.087,1675.49
expt-app-47,8,150.65300000000002,83.936,1205.2240000000002,671.488
expt-app-24,9,123.86,49.742,1114.74,447.678
expt-app-53,8,113.881,47.179,911.048,377.432
expt-app-76,3,2414.682,2362.179,7244.045999999999,7086.537
expt-app-40,6,502.425,488.879,3014.55,2933.2740000000003
expt-app-55,3,1564.328,1485.301,4692.984,4455.903
expt-app-89,4,1857.258,1803.967,7429.032,7215.868
expt-app-45,6,336.23199999999997,331.569,2017.3919999999998,1989.4140000000002
expt-app-73,5,2090.166,2011.949,10450.830000000002,10059.745
expt-app-16,4,493.123,477.234,1972.492,1908.936
expt-app-94,4,1646.213,1579.214,6584.852,6316.856
expt-app-42,4,2386.754,2333.51,9547.016,9334.04
expt-app-13,10,139.157,60.845,1391.5700000000002,608.45
expt-app-15,7,813.8910000000001,809.31,5697.237000000001,5665.17
expt-app-80,8,488.34499999999997,374.623,3906.7599999999998,2996.984
expt-app-65,2,1828.178,1706.875,3656.356,3413.75
expt-app-12,7,346.637,280.622,2426.459,1964.354
expt-app-98,7,336.044,269.754,2352.308,1888.2780000000002
expt-app-9,7,25.562,14.114,178.934,98.798
expt-app-74,7,287.841,278.366,2014.8870000000002,1948.562
expt-app-68,5,552.415,417.056,2762.075,2085.2799999999997
expt-app-96,3,2138.236,2071.154,6414.708,6213.4619999999995
expt-app-99,10,130.58800000000002,25.616,1305.88,256.15999999999997
expt-app-97,10,184.10299999999998,49.004,1841.0299999999997,490.03999999999996
expt-app-81,9,96.789,29.816,871.101,268.344
expt-app-72,7,1442.285,1375.065,10095.995,9625.455
expt-app-26,7,1225.203,1146.315,8576.421,8024.205
expt-app-6,9,141.99,31.421,1277.91,282.789
expt-app-54,5,274.60200000000003,263.613,1373.0100000000002,1318.065
expt-app-93,7,296.584,207.032,2076.088,1449.2240000000002
expt-app-75,6,1917.4869999999999,1838.752,11504.921999999999,11032.511999999999
expt-app-95,7,119.74,109.178,838.18,764.246
expt-app-48,10,147.71599999999998,69.331,1477.1599999999999,693.3100000000001
expt-app-46,7,212.375,145.753,1486.625,1020.271
expt-app-8,6,1597.142,1469.007,9582.852,8814.042000000001
expt-app-59,8,224.573,211.702,1796.584,1693.616
expt-app-20,10,334.57,228.732,3345.7,2287.32
expt-app-23,9,407.578,302.671,3668.2019999999998,2724.0389999999998
expt-app-32,5,1804.779,1725.661,9023.895,8628.305
expt-app-51,7,589.4939999999999,484.216,4126.458,3389.512
expt-app-56,5,2675.334,2554.555,13376.669999999998,12772.775
expt-app-60,6,1643.201,1564.742,9859.206,9388.452
expt-app-29,8,302.604,235.639,2420.832,1885.112
expt-app-78,3,1436.133,1375.424,4308.399,4126.272
expt-app-39,9,110.309,5.176,992.781,46.584
expt-app-86,3,2377.826,2298.769,7133.478,6896.306999999999
