app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-58,8,459.45200000000006,353.996,3675.6160000000004,2831.968
expt-app-97,10,154.416,46.726,1544.1599999999999,467.26
expt-app-73,5,907.8850000000001,802.888,4539.425,4014.44
expt-app-9,7,89.81400000000001,4.511,628.6980000000001,31.577
expt-app-51,7,506.494,393.935,3545.458,2757.545
expt-app-16,4,736.567,594.85,2946.268,2379.4
expt-app-72,7,654.9939999999999,527.963,4584.958,3695.741
expt-app-33,5,185.40200000000002,36.072,927.0100000000001,180.36
expt-app-34,6,38.649,34.677,231.894,208.062
expt-app-21,7,368.016,313.186,2576.112,2192.3019999999997
expt-app-20,10,96.232,92.036,962.3199999999999,920.36
expt-app-81,9,84.729,8.799,762.561,79.191
expt-app-45,6,565.432,423.821,3392.592,2542.9260000000004
expt-app-53,8,288.301,167.549,2306.408,1340.392
expt-app-93,7,197.67499999999998,183.67,1383.725,1285.6899999999998
expt-app-47,8,327.971,207.726,2623.768,1661.808
expt-app-56,5,1626.042,1499.32,8130.209999999999,7496.599999999999
expt-app-95,7,146.96699999999998,87.846,1028.7689999999998,614.922
expt-app-0,5,600.228,588.495,3001.14,2942.475
expt-app-24,9,160.583,81.893,1445.247,737.037
expt-app-54,5,485.181,364.169,2425.9049999999997,1820.8449999999998
expt-app-40,6,752.458,631.253,4514.748,3787.518
expt-app-98,7,195.345,116.04,1367.415,812.2800000000001
expt-app-31,8,203.036,191.342,1624.288,1530.736
expt-app-6,9,146.121,10.326,1315.0890000000002,92.934
expt-app-64,9,154.051,142.908,1386.4589999999998,1286.1719999999998
expt-app-4,5,715.5,580.32,3577.5,2901.6000000000004
expt-app-35,5,131.07,52.761,655.3499999999999,263.805
expt-app-75,6,866.0369999999999,798.948,5196.222,4793.688
expt-app-67,7,351.311,230.781,2459.1769999999997,1615.467
expt-app-41,7,237.277,125.581,1660.9389999999999,879.067
expt-app-17,6,915.3580000000001,910.274,5492.148,5461.644
expt-app-30,10,214.91,142.469,2149.1,1424.69
expt-app-80,8,254.12,187.304,2032.96,1498.432
expt-app-48,10,87.353,74.562,873.53,745.62
expt-app-60,6,765.484,698.934,4592.904,4193.603999999999
expt-app-39,9,69.617,3.18,626.553,28.62
expt-app-23,9,170.13400000000001,165.103,1531.2060000000001,1485.9270000000001
expt-app-29,8,174.428,89.53,1395.424,716.24
expt-app-15,7,268.832,202.045,1881.824,1414.3149999999998
expt-app-99,10,70.652,18.222,706.52,182.22000000000003
expt-app-12,7,209.507,130.672,1466.549,914.704
expt-app-59,8,107.704,102.405,861.632,819.24
expt-app-32,5,1079.496,935.85,5397.4800000000005,4679.25
expt-app-26,7,345.368,270.278,2417.576,1891.9460000000001
expt-app-92,5,632.103,516.871,3160.515,2584.355
expt-app-74,7,435.301,293.154,3047.107,2052.078
expt-app-8,6,894.0120000000001,827.853,5364.072,4967.1179999999995
expt-app-13,10,20.136999999999997,15.78,201.36999999999998,157.79999999999998
expt-app-38,7,437.732,331.973,3064.1240000000003,2323.811
expt-app-46,7,461.07,340.151,3227.49,2381.0570000000002
