app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-69,8,403.605,282.688,3228.84,2261.504
expt-app-95,5,1331.168,1326.55,6655.839999999999,6632.75
expt-app-20,2,848.022,781.063,1696.044,1562.126
expt-app-15,9,255.73600000000002,176.536,2301.6240000000003,1588.824
expt-app-87,1,440.423,435.87,440.423,435.87
expt-app-96,4,2290.134,2203.751,9160.536,8815.004
expt-app-0,6,436.724,350.125,2620.344,2100.75
expt-app-80,6,454.125,386.996,2724.75,2321.9759999999997
expt-app-10,10,217.04100000000003,65.422,2170.4100000000003,654.22
expt-app-76,5,443.13599999999997,364.431,2215.68,1822.155
expt-app-93,10,110.98700000000001,44.313,1109.8700000000001,443.13
expt-app-84,6,699.879,594.673,4199.274,3568.038
expt-app-39,4,846.461,717.685,3385.844,2870.74
expt-app-13,4,893.319,750.259,3573.276,3001.036
expt-app-60,2,3033.897,2884.345,6067.794,5768.69
expt-app-59,2,3604.0519999999997,3536.631,7208.103999999999,7073.262
expt-app-81,6,541.691,412.263,3250.146,2473.578
expt-app-57,6,640.357,636.006,3842.142,3816.036
expt-app-94,2,4165.056,4029.306,8330.112,8058.612
expt-app-33,4,2574.185,2506.904,10296.74,10027.616
expt-app-25,7,564.592,450.425,3952.144,3152.975
expt-app-12,1,1317.374,1174.383,1317.374,1174.383
expt-app-44,7,174.976,122.525,1224.8319999999999,857.6750000000001
expt-app-38,1,957.0269999999999,952.215,957.0269999999999,952.215
expt-app-35,3,2800.824,2696.135,8402.472,8088.405000000001
expt-app-79,5,1088.7160000000001,952.532,5443.580000000001,4762.66
expt-app-1,10,146.285,59.897,1462.85,598.97
expt-app-75,3,351.211,230.504,1053.633,691.512
expt-app-36,10,231.72699999999998,227.285,2317.2699999999995,2272.85
expt-app-78,9,375.309,308.109,3377.7810000000004,2772.9809999999998
expt-app-21,2,1015.0570000000001,935.747,2030.1140000000003,1871.494
expt-app-40,1,965.9879999999999,890.312,965.9879999999999,890.312
expt-app-41,10,148.731,27.707,1487.31,277.07
expt-app-17,6,832.3249999999999,765.11,4993.95,4590.66
expt-app-28,10,176.862,35.32,1768.62,353.2
expt-app-62,6,534.322,529.181,3205.932,3175.0860000000002
expt-app-5,2,151.784,46.673,303.568,93.346
expt-app-83,9,398.343,262.278,3585.087,2360.5020000000004
expt-app-7,2,2858.782,2723.685,5717.564,5447.37
expt-app-22,3,3283.23,3203.872,9849.69,9611.616
expt-app-24,6,692.295,614.072,4153.7699999999995,3684.432
expt-app-29,10,143.823,64.704,1438.23,647.04
expt-app-45,8,374.659,239.339,2997.272,1914.712
expt-app-2,1,1960.342,1825.004,1960.342,1825.004
expt-app-43,5,343.667,269.736,1718.3349999999998,1348.6799999999998
expt-app-53,10,126.82,5.438,1268.1999999999998,54.379999999999995
expt-app-4,5,2165.867,2034.019,10829.335000000001,10170.095
expt-app-58,9,203.315,136.808,1829.835,1231.272
expt-app-82,1,3726.554,3577.126,3726.554,3577.126
expt-app-61,9,165.693,112.633,1491.237,1013.697
expt-app-14,3,2609.232,2597.087,7827.696,7791.261
expt-app-68,7,363.773,297.345,2546.411,2081.415
expt-app-32,3,665.794,593.37,1997.382,1780.1100000000001
expt-app-26,5,569.547,434.221,2847.735,2171.105
expt-app-18,4,2569.998,2502.936,10279.992,10011.744
expt-app-50,3,2736.357,2669.146,8209.071,8007.438
expt-app-46,6,769.479,664.097,4616.874,3984.582
expt-app-51,5,550.4559999999999,445.5,2752.2799999999997,2227.5
expt-app-66,9,90.80499999999999,37.438,817.2449999999999,336.942
expt-app-63,4,364.825,298.405,1459.3,1193.62
expt-app-88,2,2792.551,2642.678,5585.102,5285.356
expt-app-55,2,463.055,333.756,926.11,667.512
expt-app-37,7,53.440000000000005,48.783,374.08000000000004,341.481
expt-app-73,5,247.356,171.918,1236.78,859.59
expt-app-92,5,754.162,648.643,3770.8100000000004,3243.215
expt-app-11,9,224.744,140.096,2022.696,1260.864
expt-app-90,6,170.095,34.401,1020.5699999999999,206.406
expt-app-91,7,502.803,349.335,3519.621,2445.345
expt-app-98,1,3020.073,2870.215,3020.073,2870.215
expt-app-6,6,529.568,462.285,3177.408,2773.71
expt-app-31,4,2199.397,2078.493,8797.588,8313.972
expt-app-65,8,442.55,299.379,3540.4,2395.032
expt-app-49,8,260.63100000000003,256.464,2085.0480000000002,2051.712
