app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-60,2,2704.597,2554.645,5409.194,5109.29
expt-app-20,2,928.593,861.288,1857.186,1722.576
expt-app-45,8,366.71500000000003,231.521,2933.7200000000003,1852.168
expt-app-87,1,439.712,435.504,439.712,435.504
expt-app-46,6,836.108,731.526,5016.647999999999,4389.156
expt-app-65,8,428.413,292.879,3427.304,2343.032
expt-app-62,6,591.096,576.542,3546.576,3459.2520000000004
expt-app-39,4,918.646,797.935,3674.584,3191.74
expt-app-94,2,4211.974999999999,4075.874,8423.949999999999,8151.748
expt-app-50,3,2555.498,2488.3,7666.494000000001,7464.900000000001
expt-app-12,1,1355.4109999999998,1212.223,1355.4109999999998,1212.223
expt-app-76,5,433.77900000000005,354.302,2168.8950000000004,1771.5100000000002
expt-app-32,3,720.686,648.227,2162.058,1944.681
expt-app-25,7,560.716,455.93,3925.012,3191.51
expt-app-91,7,472.77599999999995,368.234,3309.432,2577.638
expt-app-79,5,1056.9189999999999,921.24,5284.594999999999,4606.2
expt-app-95,5,1302.4679999999998,1289.811,6512.339999999999,6449.054999999999
expt-app-69,8,400.58500000000004,279.291,3204.6800000000003,2234.328
expt-app-0,6,455.112,376.064,2730.672,2256.384
expt-app-38,1,927.377,922.286,927.377,922.286
expt-app-98,1,3184.8,3025.25,3184.8,3025.25
expt-app-28,10,172.651,37.991,1726.5100000000002,379.90999999999997
expt-app-22,3,3215.658,3136.192,9646.974,9408.576000000001
expt-app-75,3,353.83799999999997,223.802,1061.514,671.406
expt-app-44,7,176.861,123.511,1238.027,864.577
expt-app-84,6,753.904,648.723,4523.424,3892.3379999999997
expt-app-11,9,218.476,139.58,1966.284,1256.22
expt-app-24,6,684.8149999999999,597.777,4108.889999999999,3586.6620000000003
expt-app-13,4,926.544,790.517,3706.176,3162.068
expt-app-17,6,888.185,813.808,5329.11,4882.848
expt-app-14,3,2693.989,2689.346,8081.967000000001,8068.0380000000005
expt-app-40,1,923.671,849.846,923.671,849.846
expt-app-83,9,397.395,261.608,3576.555,2354.472
expt-app-18,4,2530.513,2464.021,10122.052,9856.084
expt-app-66,9,87.726,34.655,789.534,311.895
expt-app-31,4,2587.286,2466.458,10349.144,9865.832
expt-app-2,1,1847.916,1712.036,1847.916,1712.036
expt-app-7,2,2962.6420000000003,2826.91,5925.284000000001,5653.82
expt-app-1,10,137.738,60.113,1377.38,601.13
expt-app-43,5,325.775,259.239,1628.875,1296.195
expt-app-26,5,569.376,434.455,2846.88,2172.275
expt-app-88,2,2881.018,2731.926,5762.036,5463.852
expt-app-93,10,110.841,43.975,1108.4099999999999,439.75
expt-app-36,10,217.88299999999998,205.544,2178.83,2055.44
expt-app-78,9,372.889,306.517,3356.001,2758.653
expt-app-59,2,3340.05,3265.986,6680.1,6531.972
expt-app-35,3,2731.287,2626.276,8193.860999999999,7878.8279999999995
expt-app-73,5,241.06,167.207,1205.3,836.035
expt-app-53,10,125.668,5.369,1256.68,53.69
expt-app-51,5,510.74600000000004,405.705,2553.73,2028.5249999999999
expt-app-57,6,635.239,630.695,3811.434,3784.17
expt-app-41,10,148.918,27.752,1489.18,277.52
expt-app-82,1,3660.6730000000002,3511.261,3660.6730000000002,3511.261
expt-app-61,9,171.016,111.251,1539.144,1001.259
expt-app-33,4,2455.548,2387.225,9822.192,9548.9
expt-app-6,6,520.008,452.636,3120.0480000000002,2715.8160000000003
expt-app-68,7,276.779,210.091,1937.453,1470.6370000000002
expt-app-15,9,265.004,186.305,2385.036,1676.7450000000001
expt-app-29,10,152.308,65.14,1523.08,651.4
expt-app-55,2,499.74,378.547,999.48,757.094
expt-app-96,4,2524.522,2445.506,10098.088,9782.024
expt-app-90,6,169.941,34.6,1019.646,207.60000000000002
expt-app-5,2,161.266,47.867,322.532,95.734
expt-app-21,2,1012.4439999999998,933.544,2024.8879999999997,1867.088
expt-app-4,5,2288.32,2166.675,11441.6,10833.375
expt-app-63,4,371.917,295.065,1487.668,1180.26
expt-app-49,8,262.38,257.511,2099.04,2060.088
expt-app-58,9,202.927,135.848,1826.3429999999998,1222.632
expt-app-81,6,561.9849999999999,441.102,3371.9099999999994,2646.612
expt-app-37,7,81.44999999999999,76.029,570.1499999999999,532.203
expt-app-92,5,693.1279999999999,580.157,3465.6399999999994,2900.7850000000003
expt-app-80,6,475.53299999999996,408.635,2853.198,2451.81
expt-app-10,10,124.533,38.611,1245.33,386.10999999999996
