app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-20,2,838.624,717.391,1677.248,1434.782
expt-app-11,9,63.935,59.635,575.415,536.715
expt-app-89,9,134.246,68.126,1208.2140000000002,613.134
expt-app-92,5,531.021,396.165,2655.1049999999996,1980.825
expt-app-6,6,468.77000000000004,333.954,2812.6200000000003,2003.7240000000002
expt-app-82,1,2521.868,2454.296,2521.868,2454.296
expt-app-45,8,186.005,108.473,1488.04,867.784
expt-app-49,8,150.557,139.501,1204.456,1116.008
expt-app-0,6,228.155,153.86,1368.93,923.1600000000001
expt-app-7,2,2354.607,2232.896,4709.214,4465.792
expt-app-76,5,550.782,539.737,2753.9100000000003,2698.685
expt-app-22,3,3251.266,3106.055,9753.798,9318.164999999999
expt-app-24,6,358.922,272.105,2153.532,1632.63
expt-app-57,6,617.1790000000001,482.19,3703.0740000000005,2893.14
expt-app-37,7,74.423,61.488,520.961,430.416
expt-app-15,9,125.141,120.118,1126.269,1081.062
expt-app-29,10,95.232,16.229,952.3199999999999,162.29
expt-app-33,4,2318.032,2182.363,9272.128,8729.452
expt-app-61,9,240.71300000000002,135.877,2166.4170000000004,1222.893
expt-app-25,7,282.36699999999996,178.015,1976.5689999999997,1246.105
expt-app-59,2,2650.0,2528.8,5300.0,5057.6
expt-app-12,1,755.153,704.453,755.153,704.453
expt-app-83,9,196.227,92.65,1766.0430000000001,833.85
expt-app-46,6,436.005,357.684,2616.0299999999997,2146.1040000000003
expt-app-14,3,2221.502,2154.061,6664.505999999999,6462.183000000001
expt-app-5,2,94.092,42.819,188.184,85.638
expt-app-65,8,308.958,230.387,2471.664,1843.096
expt-app-18,4,2436.676,2307.023,9746.704,9228.092
expt-app-53,10,15.376000000000001,11.55,153.76000000000002,115.5
expt-app-1,10,153.174,49.286,1531.74,492.86
expt-app-85,6,536.6469999999999,525.379,3219.8819999999996,3152.2740000000003
expt-app-36,10,354.36400000000003,224.444,3543.6400000000003,2244.44
expt-app-41,10,38.108000000000004,33.295,381.08000000000004,332.95000000000005
expt-app-55,2,444.416,308.741,888.832,617.482
expt-app-80,6,206.951,202.852,1241.706,1217.112
expt-app-75,3,373.212,238.213,1119.636,714.639
expt-app-44,7,299.87399999999997,171.58,2099.118,1201.0600000000002
expt-app-31,4,2071.332,1941.315,8285.328,7765.26
expt-app-27,7,400.199,394.913,2801.393,2764.391
expt-app-23,7,357.94100000000003,279.471,2505.5870000000004,1956.297
expt-app-13,4,449.447,375.117,1797.788,1500.468
expt-app-28,10,76.307,8.746,763.07,87.46000000000001
expt-app-52,8,320.908,234.107,2567.264,1872.856
expt-app-4,5,2217.0809999999997,1964.404,11085.404999999999,9822.02
expt-app-95,5,1201.184,1080.367,6005.92,5401.835
expt-app-35,3,2215.264,2094.703,6645.792,6284.109
expt-app-96,4,2360.02,2239.299,9440.08,8957.196
expt-app-2,1,1278.353,1199.492,1278.353,1199.492
expt-app-58,9,201.02200000000002,89.299,1809.198,803.691
expt-app-93,10,139.487,34.401,1394.87,344.01000000000005
expt-app-66,9,94.119,35.211,847.071,316.899
expt-app-73,5,334.167,228.794,1670.8349999999998,1143.97
expt-app-32,3,625.5600000000001,490.239,1876.6800000000003,1470.7169999999999
expt-app-17,6,781.657,660.798,4689.942,3964.788
expt-app-69,8,288.873,184.231,2310.984,1473.848
expt-app-60,2,2412.4829999999997,2275.428,4824.965999999999,4550.856
expt-app-62,6,404.815,316.6,2428.89,1899.6000000000001
expt-app-98,1,2492.4629999999997,2372.117,2492.4629999999997,2372.117
expt-app-90,6,125.93499999999999,59.446,755.6099999999999,356.676
expt-app-91,7,298.33500000000004,231.291,2088.3450000000003,1619.037
expt-app-50,3,2795.632,2719.142,8386.896,8157.4259999999995
expt-app-81,6,319.885,214.489,1919.31,1286.934
expt-app-88,2,2561.9559999999997,2495.765,5123.911999999999,4991.53
expt-app-84,6,683.151,562.619,4098.906,3375.714
expt-app-78,9,447.47999999999996,319.486,4027.3199999999997,2875.374
expt-app-68,7,414.522,293.933,2901.654,2057.531
expt-app-94,2,3860.789,3847.273,7721.578,7694.546
expt-app-10,10,95.881,36.428,958.81,364.28
expt-app-21,2,752.7040000000001,700.819,1505.4080000000001,1401.638
