app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-29,10,95.46000000000001,16.386,954.6000000000001,163.85999999999999
expt-app-49,8,155.15699999999998,144.026,1241.2559999999999,1152.208
expt-app-61,9,214.503,109.755,1930.5269999999998,987.795
expt-app-28,10,80.713,7.961,807.1299999999999,79.61
expt-app-18,4,2474.054,2351.9,9896.216,9407.6
expt-app-35,3,2676.449,2555.767,8029.347,7667.3009999999995
expt-app-5,2,101.577,43.251,203.154,86.502
expt-app-23,7,361.34,282.413,2529.3799999999997,1976.891
expt-app-52,8,314.216,235.367,2513.728,1882.936
expt-app-65,8,308.966,230.261,2471.728,1842.088
expt-app-90,6,134.367,59.68,806.202,358.08
expt-app-41,10,36.748000000000005,32.788,367.48,327.88
expt-app-68,7,445.17,324.644,3116.19,2272.508
expt-app-73,5,292.754,178.967,1463.77,894.835
expt-app-95,5,1199.775,1078.984,5998.875,5394.92
expt-app-13,4,446.359,379.781,1785.436,1519.124
expt-app-22,3,3186.322,3050.749,9558.966,9152.247
expt-app-66,9,85.79199999999999,34.081,772.1279999999999,306.72900000000004
expt-app-45,8,170.392,91.908,1363.136,735.264
expt-app-80,6,201.10500000000002,197.934,1206.63,1187.604
expt-app-4,5,2007.787,1638.061,10038.935,8190.304999999999
expt-app-62,6,388.735,310.361,2332.41,1862.166
expt-app-46,6,428.143,350.065,2568.8579999999997,2100.39
expt-app-7,2,2569.404,2441.448,5138.808,4882.896
expt-app-21,2,700.821,647.878,1401.642,1295.756
expt-app-33,4,2638.37,2502.394,10553.48,10009.576
expt-app-92,5,529.781,394.267,2648.9049999999997,1971.335
expt-app-37,7,53.525000000000006,49.09,374.67500000000007,343.63
expt-app-81,6,316.62800000000004,211.751,1899.7680000000003,1270.506
expt-app-84,6,719.462,598.053,4316.772,3588.318
expt-app-53,10,18.4,14.154,184.0,141.54
expt-app-78,9,433.84499999999997,313.277,3904.6049999999996,2819.493
expt-app-12,1,785.981,728.741,785.981,728.741
expt-app-11,9,72.675,60.328,654.0749999999999,542.952
expt-app-76,5,542.476,529.059,2712.38,2645.295
expt-app-27,7,395.565,391.099,2768.955,2737.6929999999998
expt-app-82,1,2792.342,2725.823,2792.342,2725.823
expt-app-69,8,288.51500000000004,182.876,2308.1200000000003,1463.008
expt-app-88,2,2828.817,2762.287,5657.634,5524.574
expt-app-60,2,2704.8920000000003,2563.968,5409.784000000001,5127.936
expt-app-14,3,2307.125,2240.376,6921.375,6721.128000000001
expt-app-85,6,534.298,529.755,3205.788,3178.5299999999997
expt-app-91,7,306.37199999999996,231.686,2144.604,1621.8020000000001
expt-app-96,4,2024.6550000000002,1883.584,8098.620000000001,7534.336
expt-app-83,9,195.178,90.417,1756.6019999999999,813.753
expt-app-36,10,345.32800000000003,225.243,3453.28,2252.43
expt-app-98,1,2541.107,2419.693,2541.107,2419.693
expt-app-10,10,83.38199999999999,31.58,833.8199999999999,315.79999999999995
expt-app-44,7,336.022,215.214,2352.154,1506.498
expt-app-89,9,140.31199999999998,68.528,1262.8079999999998,616.7520000000001
expt-app-15,9,129.559,119.861,1166.031,1078.749
expt-app-94,2,3835.149,3829.901,7670.298,7659.802
expt-app-31,4,2527.522,2406.512,10110.088,9626.048
expt-app-58,9,194.78799999999998,89.913,1753.0919999999999,809.217
expt-app-1,10,160.558,47.96,1605.58,479.6
expt-app-75,3,421.703,276.499,1265.109,829.4970000000001
expt-app-32,3,628.414,493.234,1885.242,1479.702
expt-app-6,6,464.85900000000004,330.252,2789.1540000000005,1981.5120000000002
expt-app-59,2,3237.523,3109.935,6475.046,6219.87
expt-app-25,7,283.04699999999997,178.492,1981.3289999999997,1249.444
expt-app-24,6,556.5740000000001,477.606,3339.4440000000004,2865.636
expt-app-57,6,596.727,455.04,3580.362,2730.2400000000002
expt-app-2,1,1275.191,1196.483,1275.191,1196.483
expt-app-0,6,243.911,176.744,1463.466,1060.464
expt-app-93,10,148.197,36.281,1481.97,362.81
expt-app-17,6,770.981,649.939,4625.886,3899.634
expt-app-55,2,445.615,310.337,891.23,620.674
expt-app-50,3,2475.872,2408.864,7427.616,7226.592000000001
expt-app-20,2,845.332,723.988,1690.664,1447.976
