app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-89,7,416.373,266.585,2914.611,1866.0949999999998
expt-app-35,9,325.363,205.088,2928.267,1845.792
expt-app-82,10,118.45,32.584,1184.5,325.84000000000003
expt-app-5,10,220.68699999999998,78.451,2206.87,784.51
expt-app-59,9,119.448,6.408,1075.032,57.672000000000004
expt-app-72,10,136.792,32.434,1367.92,324.34
expt-app-36,7,292.373,226.006,2046.6109999999999,1582.042
expt-app-66,10,103.203,19.183,1032.03,191.82999999999998
expt-app-80,7,32.648,21.249,228.53600000000003,148.743
expt-app-53,5,147.85999999999999,19.225,739.3,96.125
expt-app-54,10,34.583999999999996,29.807,345.84,298.07
expt-app-30,9,347.166,226.317,3124.494,2036.853
expt-app-27,10,25.179,20.267,251.79,202.67
expt-app-70,9,120.27,35.086,1082.43,315.774
expt-app-62,4,392.233,256.96,1568.932,1027.84
expt-app-32,10,143.60999999999999,8.714,1436.1,87.14
expt-app-0,9,173.65,106.844,1562.8500000000001,961.596
expt-app-20,7,344.609,202.148,2412.263,1415.036
expt-app-22,9,288.90900000000005,161.818,2600.1810000000005,1456.362
expt-app-39,10,243.072,129.827,2430.7200000000003,1298.27
expt-app-85,9,85.29299999999999,6.566,767.637,59.094
expt-app-23,8,459.264,314.65,3674.112,2517.2
expt-app-93,10,99.65100000000001,21.095,996.5100000000001,210.95
expt-app-90,7,142.518,137.487,997.626,962.409
expt-app-76,9,195.285,135.103,1757.565,1215.9270000000001
expt-app-37,10,89.476,28.915,894.76,289.15
expt-app-87,8,143.187,56.223,1145.496,449.784
expt-app-69,5,432.293,353.014,2161.465,1765.0700000000002
expt-app-11,9,242.60899999999998,119.84,2183.4809999999998,1078.56
expt-app-33,5,405.233,248.919,2026.165,1244.595
expt-app-28,9,424.646,346.367,3821.8140000000003,3117.3030000000003
expt-app-56,9,101.83,17.388,916.47,156.49200000000002
expt-app-83,10,146.01500000000001,25.23,1460.15,252.3
expt-app-95,7,169.962,110.382,1189.734,772.674
