app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-68,4,1045.911,966.491,4183.644,3865.964
expt-app-34,10,73.38600000000001,6.797,733.8600000000001,67.97
expt-app-66,3,1932.1029999999998,1810.998,5796.308999999999,5432.994000000001
expt-app-63,8,595.037,460.086,4760.296,3680.688
expt-app-1,5,1187.518,1099.326,5937.59,5496.63
expt-app-61,10,108.988,18.844,1089.88,188.44
expt-app-17,8,591.368,455.361,4730.944,3642.888
expt-app-76,1,3438.2549999999997,3302.523,3438.2549999999997,3302.523
expt-app-31,4,1212.6840000000002,1136.739,4850.736000000001,4546.956
expt-app-93,3,707.283,693.435,2121.849,2080.305
expt-app-57,10,153.528,33.237,1535.28,332.37
expt-app-49,6,1116.8400000000001,1011.409,6701.040000000001,6068.454
expt-app-90,10,88.275,9.047,882.75,90.47
expt-app-12,3,1261.727,1125.045,3785.1810000000005,3375.135
expt-app-24,5,1456.304,1335.247,7281.52,6676.235000000001
expt-app-9,4,498.79699999999997,446.499,1995.1879999999999,1785.996
expt-app-62,5,829.5120000000001,698.948,4147.56,3494.74
expt-app-60,3,1615.8,1510.515,4847.4,4531.545
expt-app-32,7,1090.74,954.818,7635.18,6683.726
expt-app-44,2,1864.523,1715.03,3729.046,3430.06
expt-app-85,8,633.187,518.508,5065.496,4148.064
expt-app-7,1,2329.874,2194.722,2329.874,2194.722
expt-app-41,7,502.50600000000003,372.985,3517.5420000000004,2610.895
expt-app-64,6,867.875,789.7,5207.25,4738.200000000001
expt-app-26,9,414.757,350.237,3732.813,3152.1330000000003
expt-app-46,7,754.5260000000001,605.163,5281.682000000001,4236.141
expt-app-72,7,273.139,195.483,1911.973,1368.381
expt-app-42,9,349.89,219.167,3149.0099999999998,1972.503
expt-app-25,9,277.477,198.843,2497.2929999999997,1789.587
expt-app-19,9,177.15,41.74,1594.3500000000001,375.66
expt-app-2,8,620.7230000000001,499.859,4965.784000000001,3998.872
expt-app-69,7,614.056,493.351,4298.392,3453.457
expt-app-28,4,1293.223,1278.782,5172.892,5115.128
expt-app-6,10,146.161,40.836,1461.6100000000001,408.36
expt-app-4,8,781.888,714.453,6255.104,5715.624
expt-app-15,9,714.552,565.388,6430.968,5088.492
expt-app-11,4,1325.9279999999999,1177.002,5303.7119999999995,4708.008
expt-app-91,2,754.3539999999999,619.212,1508.7079999999999,1238.424
expt-app-29,2,1091.9959999999999,1013.679,2183.9919999999997,2027.358
expt-app-50,6,869.954,865.053,5219.724,5190.318
expt-app-96,4,975.6890000000001,903.88,3902.7560000000003,3615.52
expt-app-89,10,20.951999999999998,15.742,209.51999999999998,157.42000000000002
expt-app-20,3,886.605,873.395,2659.815,2620.185
expt-app-67,5,657.205,652.67,3286.025,3263.35
expt-app-79,1,2136.915,2024.163,2136.915,2024.163
expt-app-36,5,780.0200000000001,630.861,3900.1000000000004,3154.305
expt-app-70,5,1020.4470000000001,916.093,5102.235000000001,4580.465
expt-app-38,1,2395.3959999999997,2289.986,2395.3959999999997,2289.986
expt-app-18,9,548.12,427.89,4933.08,3851.0099999999998
expt-app-48,10,438.421,333.246,4384.21,3332.46
expt-app-87,9,678.233,599.267,6104.097,5393.403
expt-app-55,9,141.314,53.013,1271.826,477.11699999999996
expt-app-16,7,807.557,658.226,5652.899,4607.582
expt-app-0,3,998.653,993.919,2995.959,2981.757
expt-app-5,8,773.952,694.735,6191.616,5557.88
expt-app-30,9,147.611,79.931,1328.4989999999998,719.379
expt-app-37,6,320.935,268.583,1925.6100000000001,1611.498
expt-app-47,4,1220.5140000000001,1153.458,4882.0560000000005,4613.832
expt-app-43,8,581.547,452.424,4652.376,3619.392
expt-app-94,7,772.524,767.066,5407.668,5369.462
expt-app-82,2,665.585,661.378,1331.17,1322.756
expt-app-21,3,1282.848,1147.235,3848.544,3441.705
expt-app-74,5,688.5219999999999,552.469,3442.6099999999997,2762.3450000000003
expt-app-71,10,58.06,53.597,580.6,535.97
expt-app-39,1,1734.926,1673.275,1734.926,1673.275
expt-app-78,1,3434.7870000000003,3367.122,3434.7870000000003,3367.122
expt-app-73,6,1145.502,1040.482,6873.012,6242.892
expt-app-13,9,295.422,175.038,2658.7980000000002,1575.342
expt-app-14,10,176.13,163.612,1761.3,1636.12
expt-app-77,6,949.952,870.893,5699.7119999999995,5225.358
expt-app-40,6,679.363,558.882,4076.1780000000003,3353.2919999999995
expt-app-22,6,560.233,439.613,3361.3979999999997,2637.678
expt-app-3,10,180.971,36.347,1809.71,363.47
expt-app-27,10,374.637,269.948,3746.37,2699.4799999999996
expt-app-51,7,436.81,288.231,3057.67,2017.617
expt-app-45,2,2178.11,2111.395,4356.22,4222.79
expt-app-86,8,164.902,15.442,1319.216,123.536
expt-app-92,8,965.934,887.241,7727.472,7097.928
expt-app-95,10,143.986,58.767,1439.86,587.6700000000001
expt-app-84,10,72.394,5.974,723.94,59.74
