app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-60,3,1287.255,1233.914,3861.7650000000003,3701.742
expt-app-0,3,612.8240000000001,602.346,1838.4720000000002,1807.038
expt-app-23,5,1821.92,1769.446,9109.6,8847.23
expt-app-84,10,163.315,13.894,1633.15,138.94
expt-app-77,6,898.36,819.411,5390.16,4916.465999999999
expt-app-26,9,661.574,508.083,5954.165999999999,4572.747
expt-app-85,8,396.375,391.164,3171.0,3129.312
expt-app-69,7,481.594,474.661,3371.158,3322.627
expt-app-38,1,1718.688,1639.719,1718.688,1639.719
expt-app-86,8,71.66,5.29,573.28,42.32
expt-app-18,9,344.147,259.977,3097.323,2339.7929999999997
expt-app-24,5,1371.357,1250.06,6856.785,6250.299999999999
expt-app-30,9,110.872,106.294,997.848,956.646
expt-app-36,5,667.326,588.955,3336.63,2944.775
expt-app-44,2,1997.64,1892.478,3995.28,3784.956
expt-app-14,10,290.022,211.187,2900.22,2111.87
expt-app-21,3,1593.569,1473.116,4780.707,4419.348
expt-app-50,6,984.033,905.407,5904.198,5432.442
expt-app-66,3,1461.201,1375.537,4383.603,4126.611
expt-app-13,9,359.751,239.248,3237.759,2153.232
expt-app-89,10,89.302,22.665,893.0200000000001,226.64999999999998
expt-app-5,8,1115.8729999999998,1036.973,8926.983999999999,8295.784
expt-app-45,2,2766.119,2630.731,5532.238,5261.462
expt-app-87,9,735.951,724.24,6623.559,6518.16
expt-app-19,9,112.672,8.478,1014.048,76.30199999999999
expt-app-71,10,154.415,40.961,1544.1499999999999,409.61
expt-app-7,1,2046.9409999999998,1941.372,2046.9409999999998,1941.372
expt-app-4,8,1351.337,1230.291,10810.696,9842.328
expt-app-12,3,983.307,904.867,2949.9210000000003,2714.6009999999997
expt-app-90,10,85.18599999999999,9.354,851.8599999999999,93.53999999999999
expt-app-96,4,956.2810000000001,870.901,3825.1240000000003,3483.604
expt-app-16,7,472.814,467.806,3309.6980000000003,3274.642
expt-app-74,5,529.904,451.191,2649.52,2255.955
expt-app-92,8,591.485,486.516,4731.88,3892.128
expt-app-31,4,1631.161,1541.897,6524.644,6167.588
expt-app-93,3,637.528,502.542,1912.584,1507.626
expt-app-64,6,1072.6100000000001,981.06,6435.660000000001,5886.36
expt-app-76,1,3392.406,3287.383,3392.406,3287.383
expt-app-32,7,1046.427,979.694,7324.989,6857.858
expt-app-17,8,453.839,348.866,3630.712,2790.928
expt-app-3,10,160.696,75.216,1606.96,752.16
expt-app-22,6,231.30800000000002,178.987,1387.8480000000002,1073.922
expt-app-82,2,450.395,329.344,900.79,658.688
expt-app-42,9,175.161,96.5,1576.449,868.5
expt-app-28,4,1465.2320000000002,1329.123,5860.928000000001,5316.492
expt-app-25,9,213.616,206.929,1922.544,1862.361
expt-app-48,10,237.45,132.702,2374.5,1327.02
expt-app-62,5,853.719,733.305,4268.595,3666.5249999999996
expt-app-94,7,636.143,509.048,4453.001,3563.3360000000002
expt-app-72,7,175.27,70.115,1226.89,490.80499999999995
expt-app-61,10,180.68699999999998,24.662,1806.87,246.62
expt-app-68,4,1769.1879999999999,1619.667,7076.7519999999995,6478.668
expt-app-79,1,1436.182,1430.821,1436.182,1430.821
expt-app-41,7,241.197,236.759,1688.379,1657.3129999999999
expt-app-51,7,179.434,104.978,1256.038,734.846
expt-app-37,6,412.216,276.651,2473.2960000000003,1659.906
expt-app-47,4,1476.833,1409.933,5907.332,5639.732
expt-app-20,3,666.2090000000001,518.328,1998.6270000000002,1554.984
expt-app-10,5,1164.1999999999998,1075.758,5820.999999999999,5378.79
expt-app-95,10,114.33699999999999,35.703,1143.37,357.03000000000003
expt-app-73,6,743.351,593.649,4460.106,3561.8940000000002
expt-app-57,10,49.901,33.909,499.01000000000005,339.09
expt-app-46,7,403.075,398.498,2821.525,2789.486
expt-app-78,1,3443.527,3438.721,3443.527,3438.721
expt-app-40,6,881.669,802.888,5290.014,4817.328
expt-app-15,9,252.86199999999997,173.989,2275.758,1565.901
expt-app-63,8,426.481,359.607,3411.848,2876.856
expt-app-11,4,950.058,792.966,3800.232,3171.864
expt-app-2,8,545.314,423.686,4362.512,3389.488
expt-app-6,10,136.628,23.713,1366.2799999999997,237.13
expt-app-43,8,1457.924,1178.213,11663.392,9425.704
expt-app-67,5,406.628,339.635,2033.1399999999999,1698.175
expt-app-34,10,74.186,7.394,741.8600000000001,73.94
expt-app-27,10,257.52799999999996,244.559,2575.2799999999997,2445.59
expt-app-49,6,1105.645,1000.513,6633.87,6003.078
expt-app-1,5,1652.156,1516.119,8260.779999999999,7580.594999999999
expt-app-29,2,860.6740000000001,725.864,1721.3480000000002,1451.728
expt-app-55,9,92.096,39.954,828.864,359.586
expt-app-70,5,491.88100000000003,425.03,2459.405,2125.1499999999996
