app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-56,9,35.981,24.581,323.829,221.22899999999998
expt-app-46,3,650.8620000000001,641.106,1952.5860000000002,1923.318
expt-app-45,6,166.192,155.079,997.152,930.474
expt-app-14,4,652.395,630.101,2609.58,2520.404
expt-app-39,6,369.95,351.654,2219.7,2109.924
expt-app-21,4,109.053,58.079,436.212,232.316
expt-app-10,6,43.744,32.529,262.464,195.17400000000004
expt-app-12,2,301.46099999999996,290.946,602.9219999999999,581.892
expt-app-36,7,359.32599999999996,338.677,2515.2819999999997,2370.739
expt-app-42,9,87.79299999999999,75.661,790.137,680.9490000000001
expt-app-4,3,111.091,91.672,333.27299999999997,275.01599999999996
expt-app-32,10,32.465,22.495,324.65000000000003,224.95000000000002
expt-app-50,5,475.286,465.484,2376.43,2327.42
expt-app-24,10,22.761,9.566,227.60999999999999,95.66000000000001
expt-app-58,6,518.023,507.863,3108.138,3047.178
expt-app-55,9,48.086999999999996,37.759,432.78299999999996,339.831
expt-app-7,8,28.964,17.909,231.712,143.272
expt-app-43,7,62.933,51.662,440.531,361.634
expt-app-59,10,29.09,19.126,290.9,191.26000000000002
expt-app-27,1,670.0260000000001,650.824,670.0260000000001,650.824
expt-app-17,10,47.481,33.364,474.81,333.64
expt-app-48,3,470.214,459.389,1410.642,1378.167
expt-app-26,9,68.593,46.633,617.337,419.697
expt-app-52,7,94.508,81.16,661.5559999999999,568.12
expt-app-41,6,45.398,33.16,272.38800000000003,198.95999999999998
expt-app-29,6,254.64999999999998,241.576,1527.8999999999999,1449.456
expt-app-20,1,183.07399999999998,163.929,183.07399999999998,163.929
expt-app-9,3,620.7040000000001,599.758,1862.112,1799.2740000000001
expt-app-28,9,36.392,21.888,327.528,196.99200000000002
expt-app-40,7,24.240000000000002,15.433,169.68,108.031
expt-app-6,7,158.11,90.73,1106.77,635.11
expt-app-51,10,59.156,40.949,591.56,409.49
expt-app-34,9,158.393,142.969,1425.537,1286.721
expt-app-16,7,150.538,129.765,1053.766,908.3549999999999
expt-app-15,10,188.032,157.426,1880.3200000000002,1574.2599999999998
expt-app-57,2,381.637,369.138,763.274,738.276
expt-app-23,5,162.31400000000002,149.233,811.5700000000002,746.165
expt-app-31,6,279.06399999999996,261.914,1674.3839999999998,1571.484
expt-app-0,10,90.389,66.398,903.89,663.98
expt-app-38,6,44.783,34.716,268.698,208.296
expt-app-49,7,521.109,509.112,3647.7630000000004,3563.784
