app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-28,9,36.325,20.439,326.925,183.951
expt-app-39,6,168.606,159.661,1011.636,957.966
expt-app-0,10,47.275,26.607,472.75,266.07
expt-app-15,10,77.271,67.676,772.71,676.76
expt-app-37,6,39.305,17.283,235.82999999999998,103.69800000000001
expt-app-38,6,37.882,26.809,227.29199999999997,160.854
expt-app-41,6,1050.6709999999998,18.758,6304.025999999999,112.548
expt-app-59,10,29.925,18.478,299.25,184.78000000000003
expt-app-32,10,32.964,24.271,329.64,242.71
expt-app-51,10,39.635999999999996,23.861,396.35999999999996,238.61
expt-app-24,10,20.092,9.537,200.92,95.37
expt-app-16,7,121.896,101.76,853.272,712.32
expt-app-50,5,386.941,369.715,1934.705,1848.5749999999998
expt-app-2,9,113.693,103.375,1023.237,930.375
expt-app-10,6,73.345,63.818,440.07,382.908
expt-app-31,6,353.178,343.079,2119.068,2058.474
expt-app-40,7,30.23,15.035,211.61,105.245
expt-app-27,1,474.48,464.875,474.48,464.875
expt-app-52,7,94.256,83.309,659.792,583.163
expt-app-6,7,213.575,187.647,1495.0249999999999,1313.529
expt-app-17,10,31.048,20.134,310.47999999999996,201.34
expt-app-34,9,67.591,56.269,608.319,506.421
expt-app-25,8,166.769,156.435,1334.152,1251.48
expt-app-26,9,63.16,45.754,568.4399999999999,411.786
expt-app-56,9,56.814,43.838,511.326,394.54200000000003
expt-app-29,6,246.738,231.153,1480.4279999999999,1386.918
expt-app-55,9,51.235,36.751,461.115,330.75899999999996
expt-app-9,3,326.28200000000004,316.558,978.8460000000001,949.674
expt-app-45,6,240.414,231.906,1442.484,1391.4360000000001
expt-app-30,4,212.994,203.37,851.976,813.48
expt-app-57,2,276.422,266.141,552.844,532.282
expt-app-58,6,289.451,280.754,1736.7060000000001,1684.5240000000001
expt-app-43,7,60.138,47.19,420.966,330.33
expt-app-42,9,59.933,49.277,539.397,443.493
expt-app-4,3,153.222,142.634,459.66600000000005,427.90199999999993
expt-app-7,8,25.463,16.869,203.704,134.952
expt-app-49,7,417.527,399.712,2922.689,2797.984
expt-app-36,7,281.125,270.123,1967.875,1890.8609999999999
expt-app-21,4,98.902,88.637,395.608,354.548
