app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-26,10,109.998,28.152,1099.98,281.52
expt-app-6,7,984.598,927.405,6892.186,6491.835
expt-app-8,10,142.19,34.115,1421.9,341.15000000000003
expt-app-75,5,687.297,660.463,3436.485,3302.3149999999996
expt-app-3,5,503.298,437.109,2516.49,2185.545
expt-app-0,10,70.729,24.545,707.29,245.45000000000002
expt-app-70,2,1151.7440000000001,1051.516,2303.4880000000003,2103.032
expt-app-42,7,202.763,161.961,1419.3410000000001,1133.727
expt-app-55,10,177.383,91.548,1773.8300000000002,915.48
expt-app-91,6,346.831,279.306,2080.986,1675.8359999999998
expt-app-44,8,304.086,222.941,2432.688,1783.528
expt-app-81,9,393.679,272.935,3543.111,2456.415
expt-app-16,1,1629.392,1559.166,1629.392,1559.166
expt-app-37,7,626.186,560.642,4383.302000000001,3924.4940000000006
expt-app-64,9,280.24,252.47,2522.16,2272.23
expt-app-41,3,683.701,645.638,2051.103,1936.9140000000002
expt-app-83,4,1112.5529999999999,1045.508,4450.2119999999995,4182.032
expt-app-24,6,607.108,509.477,3642.6479999999997,3056.862
expt-app-74,9,194.78799999999998,166.269,1753.0919999999999,1496.421
expt-app-18,10,425.808,331.579,4258.08,3315.79
expt-app-53,9,533.927,494.9,4805.343,4454.099999999999
expt-app-63,10,291.943,225.048,2919.43,2250.48
expt-app-27,4,686.7760000000001,574.071,2747.1040000000003,2296.284
expt-app-86,4,888.895,805.884,3555.58,3223.536
expt-app-84,4,595.253,566.751,2381.012,2267.004
expt-app-72,10,96.254,12.405,962.5400000000001,124.05
expt-app-89,6,237.42,227.511,1424.52,1365.066
expt-app-59,7,197.697,183.934,1383.879,1287.538
expt-app-52,2,1459.023,1345.835,2918.046,2691.67
expt-app-93,9,219.59,178.936,1976.31,1610.424
expt-app-97,8,468.389,360.006,3747.112,2880.048
expt-app-25,8,189.12599999999998,160.905,1513.0079999999998,1287.24
expt-app-17,5,628.793,599.558,3143.965,2997.79
expt-app-35,8,485.918,472.53,3887.344,3780.24
expt-app-45,10,165.44,109.047,1654.4,1090.47
expt-app-71,9,285.32099999999997,216.626,2567.8889999999997,1949.634
expt-app-49,4,676.2510000000001,664.172,2705.0040000000004,2656.688
expt-app-1,8,535.427,435.441,4283.416,3483.528
expt-app-12,6,810.071,713.544,4860.426,4281.264
expt-app-43,8,195.36100000000002,113.533,1562.8880000000001,908.264
expt-app-7,8,387.639,332.351,3101.112,2658.808
expt-app-80,9,627.2330000000001,592.606,5645.097000000001,5333.454
expt-app-22,10,92.934,26.675,929.3399999999999,266.75
expt-app-58,10,353.39,244.846,3533.8999999999996,2448.46
expt-app-38,4,641.6809999999999,613.603,2566.7239999999997,2454.412
expt-app-60,9,1091.736,54.92,9825.624000000002,494.28000000000003
expt-app-56,7,839.851,800.367,5878.957,5602.5689999999995
expt-app-77,10,136.283,81.167,1362.83,811.6700000000001
expt-app-10,7,598.7139999999999,569.31,4190.998,3985.1699999999996
expt-app-85,8,255.654,226.938,2045.232,1815.504
expt-app-57,9,155.696,58.905,1401.264,530.145
expt-app-96,5,608.2429999999999,524.882,3041.2149999999997,2624.41
expt-app-13,4,361.616,306.995,1446.464,1227.98
expt-app-46,10,164.026,48.462,1640.2600000000002,484.62
expt-app-67,10,118.20400000000001,23.028,1182.04,230.27999999999997
expt-app-23,6,328.985,301.343,1973.91,1808.058
expt-app-11,8,461.078,395.839,3688.624,3166.712
expt-app-30,9,152.342,122.58,1371.0780000000002,1103.22
expt-app-90,4,881.8000000000001,826.359,3527.2000000000003,3305.436
