app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-13,10,113.051,105.212,1130.51,1052.1200000000001
expt-app-57,6,30.238,16.478,181.428,98.86800000000001
expt-app-4,9,73.44399999999999,62.549,660.9959999999999,562.941
expt-app-59,5,46.521,37.752,232.60500000000002,188.76000000000002
expt-app-28,9,42.839,35.281,385.551,317.529
expt-app-40,8,127.353,117.748,1018.824,941.984
expt-app-8,9,153.409,141.267,1380.681,1271.403
expt-app-38,9,44.377,36.077,399.39300000000003,324.693
expt-app-19,10,48.563,37.401,485.63,374.01000000000005
expt-app-11,5,92.89500000000001,79.991,464.475,399.955
expt-app-35,9,84.61399999999999,75.791,761.526,682.1189999999999
expt-app-46,10,46.845,38.309,468.45,383.09
expt-app-50,2,48.292,36.966,96.584,73.932
expt-app-48,10,28.892999999999997,21.069,288.92999999999995,210.69
expt-app-52,9,45.5,37.206,409.5,334.85400000000004
expt-app-14,10,94.462,82.864,944.62,828.6400000000001
expt-app-10,10,157.339,143.112,1573.3899999999999,1431.12
