app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-52,9,47.242,36.942,425.178,332.478
expt-app-50,2,45.041,36.424,90.082,72.848
expt-app-46,10,44.984,37.299,449.84000000000003,372.99
expt-app-4,9,76.272,63.721,686.4480000000001,573.4889999999999
expt-app-48,10,32.558,22.16,325.58,221.6
expt-app-8,9,96.103,80.816,864.9269999999999,727.344
expt-app-10,10,147.915,134.544,1479.1499999999999,1345.44
expt-app-28,9,45.302,36.049,407.718,324.441
expt-app-57,6,27.944,20.025,167.664,120.14999999999999
expt-app-35,9,149.29799999999997,137.825,1343.6819999999998,1240.425
expt-app-59,5,41.474,34.695,207.36999999999998,173.475
expt-app-38,9,49.234,36.882,443.106,331.938
expt-app-11,5,92.016,80.471,460.08000000000004,402.355
expt-app-14,10,75.715,64.251,757.1500000000001,642.51
expt-app-13,10,88.115,79.122,881.15,791.22
expt-app-40,8,158.173,146.281,1265.384,1170.248
expt-app-19,10,48.211,37.744,482.11,377.44
