app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-15,10,38.39,29.859,383.9,298.59000000000003
expt-app-24,6,170.11100000000002,160.838,1020.6660000000002,965.028
expt-app-41,7,32.178,24.221,225.24599999999998,169.547
expt-app-7,8,115.04,106.976,920.32,855.808
expt-app-25,8,94.622,83.147,756.976,665.176
expt-app-3,9,58.262,46.694,524.358,420.24600000000004
expt-app-54,10,71.425,59.089,714.25,590.89
expt-app-13,10,27.262,15.578,272.62,155.78
expt-app-18,10,45.882,36.853,458.82,368.53000000000003
expt-app-30,9,75.757,68.119,681.8130000000001,613.071
expt-app-8,8,71.007,60.096,568.056,480.768
expt-app-29,10,39.885999999999996,25.329,398.85999999999996,253.29000000000002
expt-app-55,7,59.421,48.981,415.947,342.867
expt-app-51,8,28.59,17.18,228.72,137.44
expt-app-49,5,57.275,47.288,286.375,236.44
expt-app-56,9,21.11,10.508,189.99,94.57199999999999
expt-app-11,10,13.549,4.747,135.49,47.47
