app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-26,7,64.16199999999999,53.861,449.13399999999996,377.027
expt-app-29,10,36.245,21.765,362.45,217.65
expt-app-11,10,19.657999999999998,9.846,196.57999999999998,98.46000000000001
expt-app-8,8,42.928000000000004,32.842,343.42400000000004,262.736
expt-app-18,10,49.848000000000006,35.967,498.4800000000001,359.66999999999996
expt-app-41,7,56.779,43.238,397.45300000000003,302.666
expt-app-47,9,91.558,80.664,824.022,725.976
expt-app-15,10,40.08,30.995,400.79999999999995,309.95
expt-app-51,8,30.075999999999997,15.552,240.60799999999998,124.416
expt-app-54,10,65.226,57.875,652.26,578.75
expt-app-59,6,79.984,68.836,479.904,413.01599999999996
expt-app-49,5,74.232,45.427,371.15999999999997,227.135
expt-app-2,9,146.547,131.704,1318.923,1185.336
expt-app-55,7,49.092,34.25,343.644,239.75
expt-app-13,10,25.859,12.999,258.59000000000003,129.99
expt-app-56,9,42.676,28.829,384.084,259.461
expt-app-10,6,50.556,36.326,303.336,217.95600000000002
expt-app-38,9,125.59500000000001,113.136,1130.355,1018.2239999999999
expt-app-25,8,55.732,44.127,445.856,353.016
expt-app-31,2,240.671,231.443,481.342,462.886
expt-app-30,9,1060.006,22.912,9540.054,206.208
expt-app-3,9,56.618,45.782,509.562,412.03799999999995
expt-app-7,8,76.512,60.309,612.096,482.472
